DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
08/23/2018,21,2,HB_BUSAVG,SH,33.18,N
08/23/2018,21,2,HB_BUSAVG,SH,33.18,N
08/23/2018,21,1,HB_BUSAVG,SH,33.77,N
08/23/2018,20,4,HB_BUSAVG,SH,32.54,N
08/23/2018,20,3,HB_BUSAVG,SH,33.21,N
08/23/2018,20,2,HB_BUSAVG,SH,33.56,N
08/23/2018,20,1,HB_BUSAVG,SH,34.53,N
08/23/2018,19,4,HB_BUSAVG,SH,33.73,N
08/23/2018,19,3,HB_BUSAVG,SH,34.8,N
08/23/2018,19,2,HB_BUSAVG,SH,35.77,N
08/23/2018,19,1,HB_BUSAVG,SH,38.16,N
08/23/2018,18,4,HB_BUSAVG,SH,42.23,N
08/23/2018,18,3,HB_BUSAVG,SH,44.48,N
08/23/2018,18,2,HB_BUSAVG,SH,42.02,N
08/23/2018,18,1,HB_BUSAVG,SH,39.77,N
08/23/2018,17,4,HB_BUSAVG,SH,43.96,N
08/23/2018,17,3,HB_BUSAVG,SH,44.79,N
08/23/2018,17,2,HB_BUSAVG,SH,43.33,N
08/23/2018,17,1,HB_BUSAVG,SH,42.39,N
08/23/2018,16,4,HB_BUSAVG,SH,41.1,N
08/23/2018,16,3,HB_BUSAVG,SH,43.05,N
08/23/2018,16,2,HB_BUSAVG,SH,43.69,N
08/23/2018,16,1,HB_BUSAVG,SH,43.74,N
08/23/2018,15,4,HB_BUSAVG,SH,41.87,N
08/23/2018,15,3,HB_BUSAVG,SH,37.3,N
08/23/2018,15,2,HB_BUSAVG,SH,37.2,N
08/23/2018,15,1,HB_BUSAVG,SH,33.15,N
08/23/2018,14,4,HB_BUSAVG,SH,32.12,N
08/23/2018,14,3,HB_BUSAVG,SH,30.17,N
08/23/2018,14,2,HB_BUSAVG,SH,29.23,N
08/23/2018,14,1,HB_BUSAVG,SH,27.89,N
08/23/2018,13,4,HB_BUSAVG,SH,26.02,N
08/23/2018,13,3,HB_BUSAVG,SH,24.54,N
08/23/2018,13,2,HB_BUSAVG,SH,23.25,N
08/23/2018,13,1,HB_BUSAVG,SH,22.87,N
08/23/2018,12,4,HB_BUSAVG,SH,21.19,N
08/23/2018,12,3,HB_BUSAVG,SH,21.34,N
08/23/2018,12,2,HB_BUSAVG,SH,20.31,N
08/23/2018,12,1,HB_BUSAVG,SH,20.89,N
08/23/2018,11,4,HB_BUSAVG,SH,19.77,N
08/23/2018,11,3,HB_BUSAVG,SH,19.44,N
08/23/2018,11,2,HB_BUSAVG,SH,19.2,N
08/23/2018,11,1,HB_BUSAVG,SH,19.17,N
08/23/2018,10,4,HB_BUSAVG,SH,19.07,N
08/23/2018,10,3,HB_BUSAVG,SH,19.09,N
08/23/2018,10,2,HB_BUSAVG,SH,19.1,N
08/23/2018,10,1,HB_BUSAVG,SH,19.07,N
08/23/2018,9,4,HB_BUSAVG,SH,18.95,N
08/23/2018,9,3,HB_BUSAVG,SH,18.92,N
08/23/2018,9,2,HB_BUSAVG,SH,18.52,N
08/23/2018,9,1,HB_BUSAVG,SH,17.69,N
08/23/2018,8,4,HB_BUSAVG,SH,18.11,N
08/23/2018,8,3,HB_BUSAVG,SH,18.59,N
08/23/2018,8,2,HB_BUSAVG,SH,18.58,N
08/23/2018,8,1,HB_BUSAVG,SH,18.71,N
08/23/2018,7,4,HB_BUSAVG,SH,19.03,N
08/23/2018,7,3,HB_BUSAVG,SH,19.03,N
08/23/2018,7,2,HB_BUSAVG,SH,18.75,N
08/23/2018,7,1,HB_BUSAVG,SH,18.27,N
08/23/2018,6,4,HB_BUSAVG,SH,17.89,N
08/23/2018,6,3,HB_BUSAVG,SH,17.27,N
08/23/2018,6,2,HB_BUSAVG,SH,16.87,N
08/23/2018,6,1,HB_BUSAVG,SH,16.38,N
08/23/2018,5,4,HB_BUSAVG,SH,16.1,N
08/23/2018,5,3,HB_BUSAVG,SH,16.09,N
08/23/2018,5,2,HB_BUSAVG,SH,16.07,N
08/23/2018,5,1,HB_BUSAVG,SH,16.3,N
08/23/2018,4,4,HB_BUSAVG,SH,16.33,N
08/23/2018,4,3,HB_BUSAVG,SH,16.72,N
08/23/2018,4,2,HB_BUSAVG,SH,17.03,N
08/23/2018,4,1,HB_BUSAVG,SH,17.4,N
08/23/2018,3,4,HB_BUSAVG,SH,17.35,N
08/23/2018,3,3,HB_BUSAVG,SH,17.38,N
08/23/2018,3,2,HB_BUSAVG,SH,17.32,N
08/23/2018,3,1,HB_BUSAVG,SH,17.51,N
08/23/2018,2,4,HB_BUSAVG,SH,17.55,N
08/23/2018,2,3,HB_BUSAVG,SH,18.09,N
08/23/2018,2,2,HB_BUSAVG,SH,18.39,N
08/23/2018,2,1,HB_BUSAVG,SH,18.53,N
08/23/2018,1,4,HB_BUSAVG,SH,18.62,N
08/23/2018,1,3,HB_BUSAVG,SH,18.8,N
08/23/2018,1,2,HB_BUSAVG,SH,19.02,N
08/23/2018,1,1,HB_BUSAVG,SH,19.12,N
08/22/2018,24,4,HB_BUSAVG,SH,18.97,N
08/22/2018,24,3,HB_BUSAVG,SH,19.54,N
08/22/2018,24,2,HB_BUSAVG,SH,19.86,N
08/22/2018,24,1,HB_BUSAVG,SH,19.93,N
08/22/2018,23,4,HB_BUSAVG,SH,20.13,N
08/22/2018,23,3,HB_BUSAVG,SH,21.41,N
08/22/2018,23,2,HB_BUSAVG,SH,21.57,N
08/22/2018,23,1,HB_BUSAVG,SH,21.92,N
08/22/2018,22,4,HB_BUSAVG,SH,22.92,N
08/22/2018,22,3,HB_BUSAVG,SH,25.0,N
08/22/2018,22,2,HB_BUSAVG,SH,27.55,N
08/22/2018,22,1,HB_BUSAVG,SH,28.73,N
08/22/2018,21,4,HB_BUSAVG,SH,30.78,N
08/22/2018,21,3,HB_BUSAVG,SH,32.15,N
08/22/2018,21,2,HB_BUSAVG,SH,33.1,N
08/22/2018,21,1,HB_BUSAVG,SH,33.85,N
08/22/2018,20,4,HB_BUSAVG,SH,30.97,N
08/22/2018,20,3,HB_BUSAVG,SH,31.36,N
08/22/2018,20,2,HB_BUSAVG,SH,32.38,N
08/22/2018,20,1,HB_BUSAVG,SH,33.49,N
08/22/2018,19,4,HB_BUSAVG,SH,33.25,N
08/22/2018,19,3,HB_BUSAVG,SH,33.31,N
08/22/2018,19,2,HB_BUSAVG,SH,34.51,N
08/22/2018,19,1,HB_BUSAVG,SH,34.95,N
08/22/2018,18,4,HB_BUSAVG,SH,37.38,N
08/22/2018,18,3,HB_BUSAVG,SH,39.49,N
08/22/2018,18,2,HB_BUSAVG,SH,40.09,N
08/22/2018,18,1,HB_BUSAVG,SH,40.84,N
08/22/2018,17,4,HB_BUSAVG,SH,48.94,N
08/22/2018,17,3,HB_BUSAVG,SH,48.65,N
08/22/2018,17,2,HB_BUSAVG,SH,46.36,N
08/22/2018,17,1,HB_BUSAVG,SH,41.22,N
08/22/2018,16,4,HB_BUSAVG,SH,41.86,N
08/22/2018,16,3,HB_BUSAVG,SH,43.29,N
08/22/2018,16,2,HB_BUSAVG,SH,41.26,N
08/22/2018,16,1,HB_BUSAVG,SH,41.73,N
08/22/2018,15,4,HB_BUSAVG,SH,41.58,N
08/22/2018,15,3,HB_BUSAVG,SH,48.82,N
08/22/2018,15,2,HB_BUSAVG,SH,78.19,N
08/22/2018,15,1,HB_BUSAVG,SH,60.15,N
08/22/2018,14,4,HB_BUSAVG,SH,50.44,N
08/22/2018,14,3,HB_BUSAVG,SH,48.52,N
08/22/2018,14,2,HB_BUSAVG,SH,41.58,N
08/22/2018,14,1,HB_BUSAVG,SH,34.96,N
08/22/2018,13,4,HB_BUSAVG,SH,36.29,N
08/22/2018,13,3,HB_BUSAVG,SH,34.39,N
08/22/2018,13,2,HB_BUSAVG,SH,35.89,N
08/22/2018,13,1,HB_BUSAVG,SH,32.62,N
08/22/2018,12,4,HB_BUSAVG,SH,32.41,N
08/22/2018,12,3,HB_BUSAVG,SH,31.71,N
08/22/2018,12,2,HB_BUSAVG,SH,29.19,N
08/22/2018,12,1,HB_BUSAVG,SH,27.0,N
08/22/2018,11,4,HB_BUSAVG,SH,28.0,N
08/22/2018,11,3,HB_BUSAVG,SH,29.01,N
08/22/2018,11,2,HB_BUSAVG,SH,27.43,N
08/22/2018,11,1,HB_BUSAVG,SH,25.01,N
08/22/2018,10,4,HB_BUSAVG,SH,24.5,N
08/22/2018,10,3,HB_BUSAVG,SH,24.94,N
08/22/2018,10,2,HB_BUSAVG,SH,23.05,N
08/22/2018,10,1,HB_BUSAVG,SH,21.72,N
08/22/2018,9,4,HB_BUSAVG,SH,21.14,N
08/22/2018,9,3,HB_BUSAVG,SH,21.1,N
08/22/2018,9,2,HB_BUSAVG,SH,20.77,N
08/22/2018,9,1,HB_BUSAVG,SH,20.34,N
08/22/2018,8,4,HB_BUSAVG,SH,19.77,N
08/22/2018,8,3,HB_BUSAVG,SH,19.57,N
08/22/2018,8,2,HB_BUSAVG,SH,19.63,N
08/22/2018,8,1,HB_BUSAVG,SH,19.83,N
08/22/2018,7,4,HB_BUSAVG,SH,20.41,N
08/22/2018,7,3,HB_BUSAVG,SH,20.31,N
08/22/2018,7,2,HB_BUSAVG,SH,20.01,N
08/22/2018,7,1,HB_BUSAVG,SH,19.34,N
08/22/2018,6,4,HB_BUSAVG,SH,18.93,N
08/22/2018,6,3,HB_BUSAVG,SH,18.92,N
08/22/2018,6,2,HB_BUSAVG,SH,18.81,N
08/22/2018,6,1,HB_BUSAVG,SH,18.75,N
08/22/2018,5,4,HB_BUSAVG,SH,18.63,N
08/22/2018,5,3,HB_BUSAVG,SH,18.51,N
08/22/2018,5,2,HB_BUSAVG,SH,18.38,N
08/22/2018,5,1,HB_BUSAVG,SH,18.33,N
08/22/2018,4,4,HB_BUSAVG,SH,18.3,N
08/22/2018,4,3,HB_BUSAVG,SH,18.35,N
08/22/2018,4,2,HB_BUSAVG,SH,18.46,N
08/22/2018,4,1,HB_BUSAVG,SH,18.44,N
08/22/2018,3,4,HB_BUSAVG,SH,18.58,N
08/22/2018,3,3,HB_BUSAVG,SH,18.66,N
08/22/2018,3,2,HB_BUSAVG,SH,18.76,N
08/22/2018,3,1,HB_BUSAVG,SH,18.79,N
08/22/2018,2,4,HB_BUSAVG,SH,18.73,N
08/22/2018,2,3,HB_BUSAVG,SH,18.77,N
08/22/2018,2,2,HB_BUSAVG,SH,18.81,N
08/22/2018,2,1,HB_BUSAVG,SH,18.87,N
08/22/2018,1,4,HB_BUSAVG,SH,18.99,N
08/22/2018,1,3,HB_BUSAVG,SH,18.92,N
08/22/2018,1,2,HB_BUSAVG,SH,18.81,N
08/22/2018,1,1,HB_BUSAVG,SH,19.35,N
08/21/2018,24,4,HB_BUSAVG,SH,19.35,N
08/21/2018,24,3,HB_BUSAVG,SH,19.74,N
08/21/2018,24,2,HB_BUSAVG,SH,20.01,N
08/21/2018,24,1,HB_BUSAVG,SH,19.97,N
08/21/2018,23,4,HB_BUSAVG,SH,20.25,N
08/21/2018,23,3,HB_BUSAVG,SH,20.73,N
08/21/2018,23,2,HB_BUSAVG,SH,21.37,N
08/21/2018,23,1,HB_BUSAVG,SH,22.27,N
08/21/2018,22,4,HB_BUSAVG,SH,23.02,N
08/21/2018,22,3,HB_BUSAVG,SH,24.7,N
08/21/2018,22,2,HB_BUSAVG,SH,26.88,N
08/21/2018,22,1,HB_BUSAVG,SH,28.89,N
08/21/2018,21,4,HB_BUSAVG,SH,29.78,N
08/21/2018,21,3,HB_BUSAVG,SH,30.45,N
08/21/2018,21,2,HB_BUSAVG,SH,31.0,N
08/21/2018,21,1,HB_BUSAVG,SH,31.09,N
08/21/2018,20,4,HB_BUSAVG,SH,32.2,N
08/21/2018,20,3,HB_BUSAVG,SH,32.77,N
08/21/2018,20,2,HB_BUSAVG,SH,33.41,N
08/21/2018,20,1,HB_BUSAVG,SH,34.82,N
08/21/2018,19,4,HB_BUSAVG,SH,33.88,N
08/21/2018,19,3,HB_BUSAVG,SH,34.55,N
08/21/2018,19,2,HB_BUSAVG,SH,35.01,N
08/21/2018,19,1,HB_BUSAVG,SH,34.97,N
08/21/2018,18,4,HB_BUSAVG,SH,37.07,N
08/21/2018,18,3,HB_BUSAVG,SH,38.57,N
08/21/2018,18,2,HB_BUSAVG,SH,40.47,N
08/21/2018,18,1,HB_BUSAVG,SH,41.94,N
08/21/2018,17,4,HB_BUSAVG,SH,53.66,N
08/21/2018,17,3,HB_BUSAVG,SH,53.04,N
08/21/2018,17,2,HB_BUSAVG,SH,60.49,N
08/21/2018,17,1,HB_BUSAVG,SH,57.8,N
08/21/2018,16,4,HB_BUSAVG,SH,68.73,N
08/21/2018,16,3,HB_BUSAVG,SH,62.68,N
08/21/2018,16,2,HB_BUSAVG,SH,60.73,N
08/21/2018,16,1,HB_BUSAVG,SH,55.17,N
08/21/2018,15,4,HB_BUSAVG,SH,61.56,N
08/21/2018,15,3,HB_BUSAVG,SH,54.25,N
08/21/2018,15,2,HB_BUSAVG,SH,53.38,N
08/21/2018,15,1,HB_BUSAVG,SH,44.4,N
08/21/2018,14,4,HB_BUSAVG,SH,39.96,N
08/21/2018,14,3,HB_BUSAVG,SH,40.13,N
08/21/2018,14,2,HB_BUSAVG,SH,37.74,N
08/21/2018,14,1,HB_BUSAVG,SH,35.07,N
08/21/2018,13,4,HB_BUSAVG,SH,33.62,N
08/21/2018,13,3,HB_BUSAVG,SH,32.85,N
08/21/2018,13,2,HB_BUSAVG,SH,31.7,N
08/21/2018,13,1,HB_BUSAVG,SH,31.74,N
08/21/2018,12,4,HB_BUSAVG,SH,32.3,N
08/21/2018,12,3,HB_BUSAVG,SH,31.37,N
08/21/2018,12,2,HB_BUSAVG,SH,30.82,N
08/21/2018,12,1,HB_BUSAVG,SH,29.86,N
08/21/2018,11,4,HB_BUSAVG,SH,30.24,N
08/21/2018,11,3,HB_BUSAVG,SH,29.46,N
08/21/2018,11,2,HB_BUSAVG,SH,27.02,N
08/21/2018,11,1,HB_BUSAVG,SH,25.51,N
08/21/2018,10,4,HB_BUSAVG,SH,24.53,N
08/21/2018,10,3,HB_BUSAVG,SH,24.99,N
08/21/2018,10,2,HB_BUSAVG,SH,24.79,N
08/21/2018,10,1,HB_BUSAVG,SH,22.6,N
08/21/2018,9,4,HB_BUSAVG,SH,22.04,N
08/21/2018,9,3,HB_BUSAVG,SH,21.75,N
08/21/2018,9,2,HB_BUSAVG,SH,21.16,N
08/21/2018,9,1,HB_BUSAVG,SH,20.89,N
08/21/2018,8,4,HB_BUSAVG,SH,20.78,N
08/21/2018,8,3,HB_BUSAVG,SH,20.61,N
08/21/2018,8,2,HB_BUSAVG,SH,20.73,N
08/21/2018,8,1,HB_BUSAVG,SH,20.82,N
08/21/2018,7,4,HB_BUSAVG,SH,20.95,N
08/21/2018,7,3,HB_BUSAVG,SH,20.9,N
08/21/2018,7,2,HB_BUSAVG,SH,20.78,N
08/21/2018,7,1,HB_BUSAVG,SH,20.13,N
08/21/2018,6,4,HB_BUSAVG,SH,19.72,N
08/21/2018,6,3,HB_BUSAVG,SH,19.45,N
08/21/2018,6,2,HB_BUSAVG,SH,19.33,N
08/21/2018,6,1,HB_BUSAVG,SH,19.03,N
08/21/2018,5,4,HB_BUSAVG,SH,18.83,N
08/21/2018,5,3,HB_BUSAVG,SH,18.79,N
08/21/2018,5,2,HB_BUSAVG,SH,18.74,N
08/21/2018,5,1,HB_BUSAVG,SH,18.7,N
08/21/2018,4,4,HB_BUSAVG,SH,18.71,N
08/21/2018,4,3,HB_BUSAVG,SH,18.74,N
08/21/2018,4,2,HB_BUSAVG,SH,18.79,N
08/21/2018,4,1,HB_BUSAVG,SH,18.81,N
08/21/2018,3,4,HB_BUSAVG,SH,18.83,N
08/21/2018,3,3,HB_BUSAVG,SH,18.85,N
08/21/2018,3,2,HB_BUSAVG,SH,19.09,N
08/21/2018,3,1,HB_BUSAVG,SH,19.57,N
08/21/2018,2,4,HB_BUSAVG,SH,19.64,N
08/21/2018,2,3,HB_BUSAVG,SH,19.79,N
08/21/2018,2,2,HB_BUSAVG,SH,19.95,N
08/21/2018,2,1,HB_BUSAVG,SH,20.43,N
08/21/2018,1,4,HB_BUSAVG,SH,20.66,N
