DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
08/23/2018,21,2,LZ_AEN,LZ,33.18,N
08/23/2018,21,2,LZ_AEN,LZEW,33.18,N
08/23/2018,21,2,LZ_AEN,LZ,33.18,N
08/23/2018,21,2,LZ_AEN,LZEW,33.18,N
08/23/2018,21,1,LZ_AEN,LZ,33.77,N
08/23/2018,21,1,LZ_AEN,LZEW,33.77,N
08/23/2018,20,4,LZ_AEN,LZEW,32.49,N
08/23/2018,20,4,LZ_AEN,LZ,32.49,N
08/23/2018,20,3,LZ_AEN,LZ,33.16,N
08/23/2018,20,3,LZ_AEN,LZEW,33.16,N
08/23/2018,20,2,LZ_AEN,LZ,33.51,N
08/23/2018,20,2,LZ_AEN,LZEW,33.51,N
08/23/2018,20,1,LZ_AEN,LZ,34.45,N
08/23/2018,20,1,LZ_AEN,LZEW,34.45,N
08/23/2018,19,4,LZ_AEN,LZEW,33.72,N
08/23/2018,19,4,LZ_AEN,LZ,33.72,N
08/23/2018,19,3,LZ_AEN,LZEW,34.76,N
08/23/2018,19,3,LZ_AEN,LZ,34.76,N
08/23/2018,19,2,LZ_AEN,LZEW,35.75,N
08/23/2018,19,2,LZ_AEN,LZ,35.75,N
08/23/2018,19,1,LZ_AEN,LZ,38.53,N
08/23/2018,19,1,LZ_AEN,LZEW,38.53,N
08/23/2018,18,4,LZ_AEN,LZ,42.76,N
08/23/2018,18,4,LZ_AEN,LZEW,42.76,N
08/23/2018,18,3,LZ_AEN,LZ,45.05,N
08/23/2018,18,3,LZ_AEN,LZEW,45.04,N
08/23/2018,18,2,LZ_AEN,LZ,42.74,N
08/23/2018,18,2,LZ_AEN,LZEW,42.74,N
08/23/2018,18,1,LZ_AEN,LZEW,40.75,N
08/23/2018,18,1,LZ_AEN,LZ,40.74,N
08/23/2018,17,4,LZ_AEN,LZ,45.28,N
08/23/2018,17,4,LZ_AEN,LZEW,45.28,N
08/23/2018,17,3,LZ_AEN,LZEW,45.99,N
08/23/2018,17,3,LZ_AEN,LZ,45.99,N
08/23/2018,17,2,LZ_AEN,LZ,44.83,N
08/23/2018,17,2,LZ_AEN,LZEW,44.83,N
08/23/2018,17,1,LZ_AEN,LZEW,43.92,N
08/23/2018,17,1,LZ_AEN,LZ,43.92,N
08/23/2018,16,4,LZ_AEN,LZ,45.66,N
08/23/2018,16,4,LZ_AEN,LZEW,45.66,N
08/23/2018,16,3,LZ_AEN,LZEW,45.56,N
08/23/2018,16,3,LZ_AEN,LZ,45.56,N
08/23/2018,16,2,LZ_AEN,LZ,45.26,N
08/23/2018,16,2,LZ_AEN,LZEW,45.26,N
08/23/2018,16,1,LZ_AEN,LZ,45.93,N
08/23/2018,16,1,LZ_AEN,LZEW,45.93,N
08/23/2018,15,4,LZ_AEN,LZ,43.82,N
08/23/2018,15,4,LZ_AEN,LZEW,43.82,N
08/23/2018,15,3,LZ_AEN,LZ,39.09,N
08/23/2018,15,3,LZ_AEN,LZEW,39.09,N
08/23/2018,15,2,LZ_AEN,LZ,41.51,N
08/23/2018,15,2,LZ_AEN,LZEW,41.51,N
08/23/2018,15,1,LZ_AEN,LZ,37.63,N
08/23/2018,15,1,LZ_AEN,LZEW,37.63,N
08/23/2018,14,4,LZ_AEN,LZ,36.57,N
08/23/2018,14,4,LZ_AEN,LZEW,36.57,N
08/23/2018,14,3,LZ_AEN,LZ,32.46,N
08/23/2018,14,3,LZ_AEN,LZEW,32.46,N
08/23/2018,14,2,LZ_AEN,LZ,31.54,N
08/23/2018,14,2,LZ_AEN,LZEW,31.54,N
08/23/2018,14,1,LZ_AEN,LZ,30.83,N
08/23/2018,14,1,LZ_AEN,LZEW,30.83,N
08/23/2018,13,4,LZ_AEN,LZ,29.74,N
