DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
08/23/2018,21,2,LZ_RAYBN,LZEW,33.18,N
08/23/2018,21,2,LZ_RAYBN,LZ,33.18,N
08/23/2018,21,2,LZ_RAYBN,LZEW,33.18,N
08/23/2018,21,2,LZ_RAYBN,LZ,33.18,N
08/23/2018,21,1,LZ_RAYBN,LZEW,33.77,N
08/23/2018,21,1,LZ_RAYBN,LZ,33.77,N
08/23/2018,20,4,LZ_RAYBN,LZEW,32.48,N
08/23/2018,20,4,LZ_RAYBN,LZ,32.48,N
08/23/2018,20,3,LZ_RAYBN,LZ,33.15,N
08/23/2018,20,3,LZ_RAYBN,LZEW,33.15,N
08/23/2018,20,2,LZ_RAYBN,LZ,33.5,N
08/23/2018,20,2,LZ_RAYBN,LZEW,33.5,N
08/23/2018,20,1,LZ_RAYBN,LZEW,34.46,N
08/23/2018,20,1,LZ_RAYBN,LZ,34.46,N
08/23/2018,19,4,LZ_RAYBN,LZEW,33.59,N
08/23/2018,19,4,LZ_RAYBN,LZ,33.59,N
08/23/2018,19,3,LZ_RAYBN,LZEW,34.69,N
08/23/2018,19,3,LZ_RAYBN,LZ,34.69,N
08/23/2018,19,2,LZ_RAYBN,LZEW,35.66,N
08/23/2018,19,2,LZ_RAYBN,LZ,35.66,N
08/23/2018,19,1,LZ_RAYBN,LZ,38.31,N
08/23/2018,19,1,LZ_RAYBN,LZEW,38.31,N
08/23/2018,18,4,LZ_RAYBN,LZEW,42.6,N
08/23/2018,18,4,LZ_RAYBN,LZ,42.6,N
08/23/2018,18,3,LZ_RAYBN,LZ,44.89,N
08/23/2018,18,3,LZ_RAYBN,LZEW,44.89,N
08/23/2018,18,2,LZ_RAYBN,LZEW,42.25,N
08/23/2018,18,2,LZ_RAYBN,LZ,42.25,N
08/23/2018,18,1,LZ_RAYBN,LZEW,39.73,N
08/23/2018,18,1,LZ_RAYBN,LZ,39.74,N
08/23/2018,17,4,LZ_RAYBN,LZEW,43.65,N
08/23/2018,17,4,LZ_RAYBN,LZ,43.65,N
08/23/2018,17,3,LZ_RAYBN,LZEW,44.63,N
08/23/2018,17,3,LZ_RAYBN,LZ,44.63,N
08/23/2018,17,2,LZ_RAYBN,LZEW,42.87,N
08/23/2018,17,2,LZ_RAYBN,LZ,42.87,N
08/23/2018,17,1,LZ_RAYBN,LZEW,41.93,N
08/23/2018,17,1,LZ_RAYBN,LZ,41.93,N
08/23/2018,16,4,LZ_RAYBN,LZEW,42.99,N
08/23/2018,16,4,LZ_RAYBN,LZ,42.99,N
08/23/2018,16,3,LZ_RAYBN,LZEW,42.04,N
08/23/2018,16,3,LZ_RAYBN,LZ,42.04,N
08/23/2018,16,2,LZ_RAYBN,LZEW,41.06,N
08/23/2018,16,2,LZ_RAYBN,LZ,41.06,N
08/23/2018,16,1,LZ_RAYBN,LZEW,41.17,N
08/23/2018,16,1,LZ_RAYBN,LZ,41.17,N
08/23/2018,15,4,LZ_RAYBN,LZ,39.53,N
08/23/2018,15,4,LZ_RAYBN,LZEW,39.54,N
08/23/2018,15,3,LZ_RAYBN,LZEW,35.1,N
08/23/2018,15,3,LZ_RAYBN,LZ,35.09,N
08/23/2018,15,2,LZ_RAYBN,LZEW,33.97,N
08/23/2018,15,2,LZ_RAYBN,LZ,33.96,N
08/23/2018,15,1,LZ_RAYBN,LZEW,30.22,N
08/23/2018,15,1,LZ_RAYBN,LZ,30.22,N
08/23/2018,14,4,LZ_RAYBN,LZEW,29.2,N
08/23/2018,14,4,LZ_RAYBN,LZ,29.2,N
08/23/2018,14,3,LZ_RAYBN,LZEW,27.72,N
08/23/2018,14,3,LZ_RAYBN,LZ,27.72,N
08/23/2018,14,2,LZ_RAYBN,LZEW,26.77,N
08/23/2018,14,2,LZ_RAYBN,LZ,26.77,N
08/23/2018,14,1,LZ_RAYBN,LZEW,25.07,N
08/23/2018,14,1,LZ_RAYBN,LZ,25.06,N
08/23/2018,13,4,LZ_RAYBN,LZEW,22.46,N
08/23/2018,13,4,LZ_RAYBN,LZ,22.46,N
08/23/2018,13,3,LZ_RAYBN,LZEW,20.84,N
08/23/2018,13,3,LZ_RAYBN,LZ,20.84,N
08/23/2018,13,2,LZ_RAYBN,LZEW,19.24,N
08/23/2018,13,2,LZ_RAYBN,LZ,19.24,N
08/23/2018,13,1,LZ_RAYBN,LZEW,19.03,N
08/23/2018,13,1,LZ_RAYBN,LZ,19.02,N
08/23/2018,12,4,LZ_RAYBN,LZ,17.89,N
08/23/2018,12,4,LZ_RAYBN,LZEW,17.89,N
08/23/2018,12,3,LZ_RAYBN,LZEW,18.35,N
08/23/2018,12,3,LZ_RAYBN,LZ,18.35,N
08/23/2018,12,2,LZ_RAYBN,LZ,18.25,N
08/23/2018,12,2,LZ_RAYBN,LZEW,18.25,N
08/23/2018,12,1,LZ_RAYBN,LZEW,18.34,N
08/23/2018,12,1,LZ_RAYBN,LZ,18.35,N
08/23/2018,11,4,LZ_RAYBN,LZEW,18.48,N
08/23/2018,11,4,LZ_RAYBN,LZ,18.48,N
08/23/2018,11,3,LZ_RAYBN,LZEW,18.46,N
08/23/2018,11,3,LZ_RAYBN,LZ,18.46,N
08/23/2018,11,2,LZ_RAYBN,LZEW,18.65,N
08/23/2018,11,2,LZ_RAYBN,LZ,18.65,N
08/23/2018,11,1,LZ_RAYBN,LZEW,18.76,N
08/23/2018,11,1,LZ_RAYBN,LZ,18.76,N
08/23/2018,10,4,LZ_RAYBN,LZEW,18.62,N
08/23/2018,10,4,LZ_RAYBN,LZ,18.62,N
08/23/2018,10,3,LZ_RAYBN,LZEW,18.71,N
08/23/2018,10,3,LZ_RAYBN,LZ,18.71,N
08/23/2018,10,2,LZ_RAYBN,LZEW,18.73,N
08/23/2018,10,2,LZ_RAYBN,LZ,18.73,N
08/23/2018,10,1,LZ_RAYBN,LZEW,18.76,N
08/23/2018,10,1,LZ_RAYBN,LZ,18.76,N
08/23/2018,9,4,LZ_RAYBN,LZEW,18.71,N
08/23/2018,9,4,LZ_RAYBN,LZ,18.71,N
08/23/2018,9,3,LZ_RAYBN,LZ,18.72,N
08/23/2018,9,3,LZ_RAYBN,LZEW,18.72,N
08/23/2018,9,2,LZ_RAYBN,LZEW,18.34,N
08/23/2018,9,2,LZ_RAYBN,LZ,18.34,N
08/23/2018,9,1,LZ_RAYBN,LZEW,17.34,N
08/23/2018,9,1,LZ_RAYBN,LZ,17.34,N
08/23/2018,8,4,LZ_RAYBN,LZ,18.0,N
08/23/2018,8,4,LZ_RAYBN,LZEW,17.99,N
08/23/2018,8,3,LZ_RAYBN,LZEW,18.59,N
08/23/2018,8,3,LZ_RAYBN,LZ,18.59,N
08/23/2018,8,2,LZ_RAYBN,LZEW,18.58,N
08/23/2018,8,2,LZ_RAYBN,LZ,18.58,N
08/23/2018,8,1,LZ_RAYBN,LZEW,18.7,N
08/23/2018,8,1,LZ_RAYBN,LZ,18.7,N
08/23/2018,7,4,LZ_RAYBN,LZ,18.39,N
08/23/2018,7,4,LZ_RAYBN,LZEW,18.39,N
08/23/2018,7,3,LZ_RAYBN,LZEW,18.16,N
08/23/2018,7,3,LZ_RAYBN,LZ,18.16,N
08/23/2018,7,2,LZ_RAYBN,LZEW,17.83,N
08/23/2018,7,2,LZ_RAYBN,LZ,17.83,N
08/23/2018,7,1,LZ_RAYBN,LZ,17.36,N
08/23/2018,7,1,LZ_RAYBN,LZEW,17.36,N
08/23/2018,6,4,LZ_RAYBN,LZEW,16.96,N
08/23/2018,6,4,LZ_RAYBN,LZ,16.96,N
08/23/2018,6,3,LZ_RAYBN,LZEW,16.11,N
08/23/2018,6,3,LZ_RAYBN,LZ,16.11,N
08/23/2018,6,2,LZ_RAYBN,LZEW,15.61,N
08/23/2018,6,2,LZ_RAYBN,LZ,15.61,N
08/23/2018,6,1,LZ_RAYBN,LZ,14.8,N
08/23/2018,6,1,LZ_RAYBN,LZEW,14.8,N
08/23/2018,5,4,LZ_RAYBN,LZEW,14.85,N
08/23/2018,5,4,LZ_RAYBN,LZ,14.85,N
08/23/2018,5,3,LZ_RAYBN,LZEW,14.99,N
08/23/2018,5,3,LZ_RAYBN,LZ,14.99,N
08/23/2018,5,2,LZ_RAYBN,LZ,14.98,N
08/23/2018,5,2,LZ_RAYBN,LZEW,14.98,N
08/23/2018,5,1,LZ_RAYBN,LZEW,15.27,N
08/23/2018,5,1,LZ_RAYBN,LZ,15.27,N
08/23/2018,4,4,LZ_RAYBN,LZEW,15.37,N
08/23/2018,4,4,LZ_RAYBN,LZ,15.37,N
08/23/2018,4,3,LZ_RAYBN,LZEW,15.83,N
08/23/2018,4,3,LZ_RAYBN,LZ,15.83,N
08/23/2018,4,2,LZ_RAYBN,LZ,16.14,N
