DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
08/21/2018,23,2,HB_HOUSTON,HU,21.42,N
08/21/2018,23,2,HB_HOUSTON,HU,21.42,N
08/21/2018,23,1,HB_HOUSTON,HU,22.27,N
08/21/2018,22,4,HB_HOUSTON,HU,23.13,N
08/21/2018,22,3,HB_HOUSTON,HU,24.94,N
08/21/2018,22,2,HB_HOUSTON,HU,26.98,N
08/21/2018,22,1,HB_HOUSTON,HU,29.16,N
08/21/2018,21,4,HB_HOUSTON,HU,29.89,N
08/21/2018,21,3,HB_HOUSTON,HU,30.45,N
08/21/2018,21,2,HB_HOUSTON,HU,31.0,N
08/21/2018,21,1,HB_HOUSTON,HU,31.09,N
08/21/2018,20,4,HB_HOUSTON,HU,32.2,N
08/21/2018,20,3,HB_HOUSTON,HU,32.77,N
08/21/2018,20,2,HB_HOUSTON,HU,33.36,N
08/21/2018,20,1,HB_HOUSTON,HU,34.73,N
08/21/2018,19,4,HB_HOUSTON,HU,33.7,N
08/21/2018,19,3,HB_HOUSTON,HU,34.41,N
08/21/2018,19,2,HB_HOUSTON,HU,35.09,N
08/21/2018,19,1,HB_HOUSTON,HU,34.99,N
08/21/2018,18,4,HB_HOUSTON,HU,37.08,N
08/21/2018,18,3,HB_HOUSTON,HU,38.64,N
08/21/2018,18,2,HB_HOUSTON,HU,40.55,N
08/21/2018,18,1,HB_HOUSTON,HU,42.01,N
08/21/2018,17,4,HB_HOUSTON,HU,54.0,N
08/21/2018,17,3,HB_HOUSTON,HU,53.53,N
08/21/2018,17,2,HB_HOUSTON,HU,60.96,N
08/21/2018,17,1,HB_HOUSTON,HU,58.72,N
08/21/2018,16,4,HB_HOUSTON,HU,68.97,N
08/21/2018,16,3,HB_HOUSTON,HU,63.88,N
08/21/2018,16,2,HB_HOUSTON,HU,62.51,N
08/21/2018,16,1,HB_HOUSTON,HU,56.54,N
08/21/2018,15,4,HB_HOUSTON,HU,63.4,N
08/21/2018,15,3,HB_HOUSTON,HU,55.47,N
08/21/2018,15,2,HB_HOUSTON,HU,54.56,N
08/21/2018,15,1,HB_HOUSTON,HU,45.46,N
08/21/2018,14,4,HB_HOUSTON,HU,40.44,N
08/21/2018,14,3,HB_HOUSTON,HU,40.62,N
08/21/2018,14,2,HB_HOUSTON,HU,38.11,N
08/21/2018,14,1,HB_HOUSTON,HU,35.3,N
08/21/2018,13,4,HB_HOUSTON,HU,33.54,N
08/21/2018,13,3,HB_HOUSTON,HU,32.77,N
08/21/2018,13,2,HB_HOUSTON,HU,31.99,N
08/21/2018,13,1,HB_HOUSTON,HU,32.72,N
08/21/2018,12,4,HB_HOUSTON,HU,33.33,N
08/21/2018,12,3,HB_HOUSTON,HU,32.32,N
08/21/2018,12,2,HB_HOUSTON,HU,31.73,N
08/21/2018,12,1,HB_HOUSTON,HU,30.59,N
08/21/2018,11,4,HB_HOUSTON,HU,30.82,N
08/21/2018,11,3,HB_HOUSTON,HU,30.08,N
08/21/2018,11,2,HB_HOUSTON,HU,27.56,N
08/21/2018,11,1,HB_HOUSTON,HU,26.09,N
08/21/2018,10,4,HB_HOUSTON,HU,24.89,N
08/21/2018,10,3,HB_HOUSTON,HU,25.36,N
08/21/2018,10,2,HB_HOUSTON,HU,25.14,N
08/21/2018,10,1,HB_HOUSTON,HU,22.76,N
08/21/2018,9,4,HB_HOUSTON,HU,22.14,N
08/21/2018,9,3,HB_HOUSTON,HU,21.75,N
08/21/2018,9,2,HB_HOUSTON,HU,21.16,N
