DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
08/21/2018,23,2,HB_HUBAVG,AH,21.5,N
08/21/2018,23,2,HB_HUBAVG,AH,21.5,N
08/21/2018,23,1,HB_HUBAVG,AH,22.28,N
08/21/2018,22,4,HB_HUBAVG,AH,23.28,N
08/21/2018,22,3,HB_HUBAVG,AH,25.29,N
08/21/2018,22,2,HB_HUBAVG,AH,27.11,N
08/21/2018,22,1,HB_HUBAVG,AH,29.57,N
08/21/2018,21,4,HB_HUBAVG,AH,30.05,N
08/21/2018,21,3,HB_HUBAVG,AH,30.45,N
08/21/2018,21,2,HB_HUBAVG,AH,31.0,N
08/21/2018,21,1,HB_HUBAVG,AH,31.09,N
08/21/2018,20,4,HB_HUBAVG,AH,32.2,N
08/21/2018,20,3,HB_HUBAVG,AH,32.77,N
08/21/2018,20,2,HB_HUBAVG,AH,33.43,N
08/21/2018,20,1,HB_HUBAVG,AH,34.84,N
08/21/2018,19,4,HB_HUBAVG,AH,33.92,N
08/21/2018,19,3,HB_HUBAVG,AH,34.57,N
08/21/2018,19,2,HB_HUBAVG,AH,34.96,N
08/21/2018,19,1,HB_HUBAVG,AH,34.94,N
08/21/2018,18,4,HB_HUBAVG,AH,37.04,N
08/21/2018,18,3,HB_HUBAVG,AH,38.51,N
08/21/2018,18,2,HB_HUBAVG,AH,40.41,N
08/21/2018,18,1,HB_HUBAVG,AH,41.88,N
08/21/2018,17,4,HB_HUBAVG,AH,53.67,N
08/21/2018,17,3,HB_HUBAVG,AH,53.1,N
08/21/2018,17,2,HB_HUBAVG,AH,60.54,N
08/21/2018,17,1,HB_HUBAVG,AH,57.99,N
08/21/2018,16,4,HB_HUBAVG,AH,68.7,N
08/21/2018,16,3,HB_HUBAVG,AH,62.95,N
08/21/2018,16,2,HB_HUBAVG,AH,61.18,N
08/21/2018,16,1,HB_HUBAVG,AH,55.5,N
08/21/2018,15,4,HB_HUBAVG,AH,62.03,N
08/21/2018,15,3,HB_HUBAVG,AH,54.69,N
08/21/2018,15,2,HB_HUBAVG,AH,53.8,N
08/21/2018,15,1,HB_HUBAVG,AH,44.78,N
08/21/2018,14,4,HB_HUBAVG,AH,40.16,N
08/21/2018,14,3,HB_HUBAVG,AH,40.33,N
08/21/2018,14,2,HB_HUBAVG,AH,37.9,N
08/21/2018,14,1,HB_HUBAVG,AH,35.19,N
08/21/2018,13,4,HB_HUBAVG,AH,33.64,N
08/21/2018,13,3,HB_HUBAVG,AH,32.87,N
08/21/2018,13,2,HB_HUBAVG,AH,31.84,N
08/21/2018,13,1,HB_HUBAVG,AH,32.09,N
08/21/2018,12,4,HB_HUBAVG,AH,32.67,N
08/21/2018,12,3,HB_HUBAVG,AH,31.71,N
08/21/2018,12,2,HB_HUBAVG,AH,31.15,N
08/21/2018,12,1,HB_HUBAVG,AH,30.13,N
08/21/2018,11,4,HB_HUBAVG,AH,30.46,N
08/21/2018,11,3,HB_HUBAVG,AH,29.7,N
08/21/2018,11,2,HB_HUBAVG,AH,27.23,N
08/21/2018,11,1,HB_HUBAVG,AH,25.73,N
08/21/2018,10,4,HB_HUBAVG,AH,24.68,N
08/21/2018,10,3,HB_HUBAVG,AH,25.14,N
08/21/2018,10,2,HB_HUBAVG,AH,24.92,N
08/21/2018,10,1,HB_HUBAVG,AH,22.65,N
08/21/2018,9,4,HB_HUBAVG,AH,22.07,N
08/21/2018,9,3,HB_HUBAVG,AH,21.75,N
08/21/2018,9,2,HB_HUBAVG,AH,21.16,N
08/21/2018,9,1,HB_HUBAVG,AH,20.89,N
08/21/2018,8,4,HB_HUBAVG,AH,20.78,N
08/21/2018,8,3,HB_HUBAVG,AH,20.61,N
08/21/2018,8,2,HB_HUBAVG,AH,20.73,N
08/21/2018,8,1,HB_HUBAVG,AH,20.82,N
08/21/2018,7,4,HB_HUBAVG,AH,20.95,N
08/21/2018,7,3,HB_HUBAVG,AH,20.9,N
08/21/2018,7,2,HB_HUBAVG,AH,20.78,N
08/21/2018,7,1,HB_HUBAVG,AH,20.13,N
