DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
08/21/2018,23,2,HB_NORTH,HU,21.15,N
08/21/2018,23,2,HB_NORTH,HU,21.15,N
08/21/2018,23,1,HB_NORTH,HU,22.25,N
08/21/2018,22,4,HB_NORTH,HU,22.6,N
08/21/2018,22,3,HB_NORTH,HU,23.76,N
08/21/2018,22,2,HB_NORTH,HU,26.52,N
08/21/2018,22,1,HB_NORTH,HU,27.79,N
08/21/2018,21,4,HB_NORTH,HU,29.35,N
08/21/2018,21,3,HB_NORTH,HU,30.45,N
08/21/2018,21,2,HB_NORTH,HU,31.0,N
08/21/2018,21,1,HB_NORTH,HU,31.09,N
08/21/2018,20,4,HB_NORTH,HU,32.2,N
08/21/2018,20,3,HB_NORTH,HU,32.77,N
08/21/2018,20,2,HB_NORTH,HU,33.42,N
08/21/2018,20,1,HB_NORTH,HU,34.84,N
08/21/2018,19,4,HB_NORTH,HU,33.87,N
08/21/2018,19,3,HB_NORTH,HU,34.51,N
08/21/2018,19,2,HB_NORTH,HU,35.39,N
08/21/2018,19,1,HB_NORTH,HU,35.31,N
08/21/2018,18,4,HB_NORTH,HU,37.3,N
08/21/2018,18,3,HB_NORTH,HU,38.99,N
08/21/2018,18,2,HB_NORTH,HU,40.92,N
08/21/2018,18,1,HB_NORTH,HU,42.4,N
08/21/2018,17,4,HB_NORTH,HU,54.04,N
08/21/2018,17,3,HB_NORTH,HU,53.33,N
08/21/2018,17,2,HB_NORTH,HU,60.84,N
08/21/2018,17,1,HB_NORTH,HU,57.86,N
08/21/2018,16,4,HB_NORTH,HU,69.27,N
08/21/2018,16,3,HB_NORTH,HU,62.63,N
08/21/2018,16,2,HB_NORTH,HU,60.32,N
08/21/2018,16,1,HB_NORTH,HU,54.96,N
08/21/2018,15,4,HB_NORTH,HU,61.1,N
08/21/2018,15,3,HB_NORTH,HU,53.49,N
08/21/2018,15,2,HB_NORTH,HU,52.64,N
08/21/2018,15,1,HB_NORTH,HU,43.74,N
08/21/2018,14,4,HB_NORTH,HU,39.64,N
08/21/2018,14,3,HB_NORTH,HU,39.8,N
08/21/2018,14,2,HB_NORTH,HU,37.48,N
08/21/2018,14,1,HB_NORTH,HU,34.91,N
08/21/2018,13,4,HB_NORTH,HU,33.64,N
08/21/2018,13,3,HB_NORTH,HU,32.87,N
08/21/2018,13,2,HB_NORTH,HU,31.5,N
08/21/2018,13,1,HB_NORTH,HU,31.11,N
08/21/2018,12,4,HB_NORTH,HU,31.65,N
08/21/2018,12,3,HB_NORTH,HU,30.76,N
08/21/2018,12,2,HB_NORTH,HU,30.24,N
08/21/2018,12,1,HB_NORTH,HU,29.39,N
08/21/2018,11,4,HB_NORTH,HU,29.86,N
08/21/2018,11,3,HB_NORTH,HU,29.07,N
08/21/2018,11,2,HB_NORTH,HU,26.67,N
08/21/2018,11,1,HB_NORTH,HU,25.14,N
08/21/2018,10,4,HB_NORTH,HU,24.29,N
08/21/2018,10,3,HB_NORTH,HU,24.74,N
08/21/2018,10,2,HB_NORTH,HU,24.56,N
08/21/2018,10,1,HB_NORTH,HU,22.5,N
08/21/2018,9,4,HB_NORTH,HU,21.98,N
08/21/2018,9,3,HB_NORTH,HU,21.75,N
08/21/2018,9,2,HB_NORTH,HU,21.16,N
08/21/2018,9,1,HB_NORTH,HU,20.89,N
08/21/2018,8,4,HB_NORTH,HU,20.78,N
08/21/2018,8,3,HB_NORTH,HU,20.61,N
08/21/2018,8,2,HB_NORTH,HU,20.73,N
