DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
08/21/2018,23,2,HB_SOUTH,HU,21.6,N
08/21/2018,23,2,HB_SOUTH,HU,21.6,N
08/21/2018,23,1,HB_SOUTH,HU,22.29,N
08/21/2018,22,4,HB_SOUTH,HU,23.47,N
08/21/2018,22,3,HB_SOUTH,HU,25.71,N
08/21/2018,22,2,HB_SOUTH,HU,27.28,N
08/21/2018,22,1,HB_SOUTH,HU,30.06,N
08/21/2018,21,4,HB_SOUTH,HU,30.24,N
08/21/2018,21,3,HB_SOUTH,HU,30.45,N
08/21/2018,21,2,HB_SOUTH,HU,31.0,N
08/21/2018,21,1,HB_SOUTH,HU,31.09,N
08/21/2018,20,4,HB_SOUTH,HU,32.2,N
08/21/2018,20,3,HB_SOUTH,HU,32.77,N
08/21/2018,20,2,HB_SOUTH,HU,33.31,N
08/21/2018,20,1,HB_SOUTH,HU,34.64,N
08/21/2018,19,4,HB_SOUTH,HU,33.77,N
08/21/2018,19,3,HB_SOUTH,HU,34.64,N
08/21/2018,19,2,HB_SOUTH,HU,33.66,N
08/21/2018,19,1,HB_SOUTH,HU,33.73,N
08/21/2018,18,4,HB_SOUTH,HU,36.21,N
08/21/2018,18,3,HB_SOUTH,HU,37.02,N
08/21/2018,18,2,HB_SOUTH,HU,38.85,N
08/21/2018,18,1,HB_SOUTH,HU,40.27,N
08/21/2018,17,4,HB_SOUTH,HU,51.9,N
08/21/2018,17,3,HB_SOUTH,HU,51.42,N
08/21/2018,17,2,HB_SOUTH,HU,58.67,N
08/21/2018,17,1,HB_SOUTH,HU,56.39,N
08/21/2018,16,4,HB_SOUTH,HU,66.56,N
08/21/2018,16,3,HB_SOUTH,HU,61.35,N
08/21/2018,16,2,HB_SOUTH,HU,59.86,N
08/21/2018,16,1,HB_SOUTH,HU,54.18,N
08/21/2018,15,4,HB_SOUTH,HU,60.79,N
08/21/2018,15,3,HB_SOUTH,HU,55.01,N
08/21/2018,15,2,HB_SOUTH,HU,54.11,N
08/21/2018,15,1,HB_SOUTH,HU,45.07,N
08/21/2018,14,4,HB_SOUTH,HU,40.2,N
08/21/2018,14,3,HB_SOUTH,HU,40.37,N
08/21/2018,14,2,HB_SOUTH,HU,37.9,N
08/21/2018,14,1,HB_SOUTH,HU,35.13,N
08/21/2018,13,4,HB_SOUTH,HU,33.45,N
08/21/2018,13,3,HB_SOUTH,HU,32.69,N
08/21/2018,13,2,HB_SOUTH,HU,31.82,N
08/21/2018,13,1,HB_SOUTH,HU,32.39,N
08/21/2018,12,4,HB_SOUTH,HU,32.99,N
08/21/2018,12,3,HB_SOUTH,HU,32.0,N
08/21/2018,12,2,HB_SOUTH,HU,31.42,N
08/21/2018,12,1,HB_SOUTH,HU,30.32,N
08/21/2018,11,4,HB_SOUTH,HU,30.6,N
08/21/2018,11,3,HB_SOUTH,HU,29.84,N
08/21/2018,11,2,HB_SOUTH,HU,27.36,N
08/21/2018,11,1,HB_SOUTH,HU,25.9,N
08/21/2018,10,4,HB_SOUTH,HU,24.75,N
08/21/2018,10,3,HB_SOUTH,HU,25.22,N
08/21/2018,10,2,HB_SOUTH,HU,25.03,N
08/21/2018,10,1,HB_SOUTH,HU,22.73,N
08/21/2018,9,4,HB_SOUTH,HU,22.13,N
08/21/2018,9,3,HB_SOUTH,HU,21.75,N
08/21/2018,9,2,HB_SOUTH,HU,21.16,N
08/21/2018,9,1,HB_SOUTH,HU,20.89,N
08/21/2018,8,4,HB_SOUTH,HU,20.78,N
08/21/2018,8,3,HB_SOUTH,HU,20.61,N
08/21/2018,8,2,HB_SOUTH,HU,20.73,N
08/21/2018,8,1,HB_SOUTH,HU,20.82,N
08/21/2018,7,4,HB_SOUTH,HU,20.95,N
08/21/2018,7,3,HB_SOUTH,HU,20.9,N
08/21/2018,7,2,HB_SOUTH,HU,20.78,N
08/21/2018,7,1,HB_SOUTH,HU,20.13,N
08/21/2018,6,4,HB_SOUTH,HU,19.72,N
08/21/2018,6,3,HB_SOUTH,HU,19.45,N
08/21/2018,6,2,HB_SOUTH,HU,19.33,N
08/21/2018,6,1,HB_SOUTH,HU,19.03,N
08/21/2018,5,4,HB_SOUTH,HU,18.83,N
08/21/2018,5,3,HB_SOUTH,HU,18.79,N
08/21/2018,5,2,HB_SOUTH,HU,18.74,N
08/21/2018,5,1,HB_SOUTH,HU,18.7,N
08/21/2018,4,4,HB_SOUTH,HU,18.71,N
08/21/2018,4,3,HB_SOUTH,HU,18.74,N
08/21/2018,4,2,HB_SOUTH,HU,18.79,N
08/21/2018,4,1,HB_SOUTH,HU,18.81,N
08/21/2018,3,4,HB_SOUTH,HU,18.83,N
08/21/2018,3,3,HB_SOUTH,HU,18.85,N
08/21/2018,3,2,HB_SOUTH,HU,19.09,N
08/21/2018,3,1,HB_SOUTH,HU,19.57,N
08/21/2018,2,4,HB_SOUTH,HU,19.64,N
08/21/2018,2,3,HB_SOUTH,HU,19.79,N
08/21/2018,2,2,HB_SOUTH,HU,19.95,N
08/21/2018,2,1,HB_SOUTH,HU,20.43,N
08/21/2018,1,4,HB_SOUTH,HU,20.66,N
08/21/2018,1,3,HB_SOUTH,HU,20.93,N
08/21/2018,1,2,HB_SOUTH,HU,21.23,N
08/21/2018,1,1,HB_SOUTH,HU,21.38,N
08/20/2018,24,4,HB_SOUTH,HU,20.8,N
08/20/2018,24,3,HB_SOUTH,HU,21.59,N
08/20/2018,24,2,HB_SOUTH,HU,22.28,N
08/20/2018,24,1,HB_SOUTH,HU,23.16,N
08/20/2018,23,4,HB_SOUTH,HU,24.25,N
08/20/2018,23,3,HB_SOUTH,HU,26.57,N
08/20/2018,23,2,HB_SOUTH,HU,28.39,N
08/20/2018,23,1,HB_SOUTH,HU,28.48,N
08/20/2018,22,4,HB_SOUTH,HU,29.39,N
08/20/2018,22,3,HB_SOUTH,HU,29.14,N
08/20/2018,22,2,HB_SOUTH,HU,31.62,N
08/20/2018,22,1,HB_SOUTH,HU,34.07,N
08/20/2018,21,4,HB_SOUTH,HU,37.23,N
08/20/2018,21,3,HB_SOUTH,HU,44.4,N
08/20/2018,21,2,HB_SOUTH,HU,47.94,N
08/20/2018,21,1,HB_SOUTH,HU,40.3,N
08/20/2018,20,4,HB_SOUTH,HU,35.25,N
08/20/2018,20,3,HB_SOUTH,HU,36.03,N
08/20/2018,20,2,HB_SOUTH,HU,40.12,N
08/20/2018,20,1,HB_SOUTH,HU,41.46,N
08/20/2018,19,4,HB_SOUTH,HU,40.26,N
08/20/2018,19,3,HB_SOUTH,HU,40.18,N
08/20/2018,19,2,HB_SOUTH,HU,41.99,N
08/20/2018,19,1,HB_SOUTH,HU,37.8,N
08/20/2018,18,4,HB_SOUTH,HU,43.33,N
08/20/2018,18,3,HB_SOUTH,HU,43.06,N
08/20/2018,18,2,HB_SOUTH,HU,50.22,N
08/20/2018,18,1,HB_SOUTH,HU,48.1,N
08/20/2018,17,4,HB_SOUTH,HU,59.84,N
08/20/2018,17,3,HB_SOUTH,HU,52.49,N
08/20/2018,17,2,HB_SOUTH,HU,61.87,N
08/20/2018,17,1,HB_SOUTH,HU,58.46,N
08/20/2018,16,4,HB_SOUTH,HU,65.7,N
08/20/2018,16,3,HB_SOUTH,HU,51.4,N
08/20/2018,16,2,HB_SOUTH,HU,64.21,N
08/20/2018,16,1,HB_SOUTH,HU,63.98,N
08/20/2018,15,4,HB_SOUTH,HU,63.11,N
08/20/2018,15,3,HB_SOUTH,HU,59.38,N
08/20/2018,15,2,HB_SOUTH,HU,54.76,N
08/20/2018,15,1,HB_SOUTH,HU,52.28,N
08/20/2018,14,4,HB_SOUTH,HU,50.39,N
08/20/2018,14,3,HB_SOUTH,HU,43.16,N
08/20/2018,14,2,HB_SOUTH,HU,42.15,N
08/20/2018,14,1,HB_SOUTH,HU,39.16,N
08/20/2018,13,4,HB_SOUTH,HU,41.27,N
08/20/2018,13,3,HB_SOUTH,HU,33.88,N
08/20/2018,13,2,HB_SOUTH,HU,32.61,N
08/20/2018,13,1,HB_SOUTH,HU,31.28,N
08/20/2018,12,4,HB_SOUTH,HU,39.11,N
08/20/2018,12,3,HB_SOUTH,HU,33.96,N
08/20/2018,12,2,HB_SOUTH,HU,33.35,N
08/20/2018,12,1,HB_SOUTH,HU,31.15,N
08/20/2018,11,4,HB_SOUTH,HU,28.33,N
08/20/2018,11,3,HB_SOUTH,HU,26.87,N
08/20/2018,11,2,HB_SOUTH,HU,24.92,N
08/20/2018,11,1,HB_SOUTH,HU,21.96,N
08/20/2018,10,4,HB_SOUTH,HU,21.21,N
08/20/2018,10,3,HB_SOUTH,HU,20.8,N
08/20/2018,10,2,HB_SOUTH,HU,20.44,N
08/20/2018,10,1,HB_SOUTH,HU,20.47,N
08/20/2018,9,4,HB_SOUTH,HU,20.8,N
08/20/2018,9,3,HB_SOUTH,HU,21.12,N
08/20/2018,9,2,HB_SOUTH,HU,21.63,N
08/20/2018,9,1,HB_SOUTH,HU,20.83,N
08/20/2018,8,4,HB_SOUTH,HU,20.08,N
08/20/2018,8,3,HB_SOUTH,HU,20.16,N
08/20/2018,8,2,HB_SOUTH,HU,20.41,N
08/20/2018,8,1,HB_SOUTH,HU,20.58,N
08/20/2018,7,4,HB_SOUTH,HU,20.83,N
08/20/2018,7,3,HB_SOUTH,HU,20.93,N
08/20/2018,7,2,HB_SOUTH,HU,20.4,N
08/20/2018,7,1,HB_SOUTH,HU,19.82,N
08/20/2018,6,4,HB_SOUTH,HU,19.62,N
08/20/2018,6,3,HB_SOUTH,HU,19.33,N
08/20/2018,6,2,HB_SOUTH,HU,19.42,N
08/20/2018,6,1,HB_SOUTH,HU,19.2,N
08/20/2018,5,4,HB_SOUTH,HU,19.05,N
08/20/2018,5,3,HB_SOUTH,HU,19.08,N
08/20/2018,5,2,HB_SOUTH,HU,19.19,N
08/20/2018,5,1,HB_SOUTH,HU,18.94,N
08/20/2018,4,4,HB_SOUTH,HU,18.95,N
08/20/2018,4,3,HB_SOUTH,HU,18.97,N
08/20/2018,4,2,HB_SOUTH,HU,19.12,N
08/20/2018,4,1,HB_SOUTH,HU,19.16,N
08/20/2018,3,4,HB_SOUTH,HU,19.33,N
08/20/2018,3,3,HB_SOUTH,HU,19.65,N
08/20/2018,3,2,HB_SOUTH,HU,19.92,N
08/20/2018,3,1,HB_SOUTH,HU,20.25,N
08/20/2018,2,4,HB_SOUTH,HU,20.08,N
08/20/2018,2,3,HB_SOUTH,HU,20.38,N
08/20/2018,2,2,HB_SOUTH,HU,20.68,N
08/20/2018,2,1,HB_SOUTH,HU,21.04,N
08/20/2018,1,4,HB_SOUTH,HU,21.12,N
08/20/2018,1,3,HB_SOUTH,HU,21.97,N
08/20/2018,1,2,HB_SOUTH,HU,23.53,N
08/20/2018,1,1,HB_SOUTH,HU,23.07,N
08/19/2018,24,4,HB_SOUTH,HU,21.97,N
08/19/2018,24,3,HB_SOUTH,HU,23.0,N
08/19/2018,24,2,HB_SOUTH,HU,25.06,N
08/19/2018,24,1,HB_SOUTH,HU,24.59,N
08/19/2018,23,4,HB_SOUTH,HU,26.09,N
08/19/2018,23,3,HB_SOUTH,HU,28.37,N
08/19/2018,23,2,HB_SOUTH,HU,30.43,N
08/19/2018,23,1,HB_SOUTH,HU,30.62,N
08/19/2018,22,4,HB_SOUTH,HU,29.08,N
08/19/2018,22,3,HB_SOUTH,HU,31.21,N
08/19/2018,22,2,HB_SOUTH,HU,32.64,N
08/19/2018,22,1,HB_SOUTH,HU,32.73,N
08/19/2018,21,4,HB_SOUTH,HU,32.76,N
08/19/2018,21,3,HB_SOUTH,HU,34.73,N
08/19/2018,21,2,HB_SOUTH,HU,36.98,N
08/19/2018,21,1,HB_SOUTH,HU,34.2,N
08/19/2018,20,4,HB_SOUTH,HU,33.06,N
08/19/2018,20,3,HB_SOUTH,HU,33.98,N
08/19/2018,20,2,HB_SOUTH,HU,37.06,N
08/19/2018,20,1,HB_SOUTH,HU,44.04,N
08/19/2018,19,4,HB_SOUTH,HU,52.36,N
08/19/2018,19,3,HB_SOUTH,HU,61.58,N
08/19/2018,19,2,HB_SOUTH,HU,87.98,N
08/19/2018,19,1,HB_SOUTH,HU,433.73,N
08/19/2018,18,4,HB_SOUTH,HU,128.96,N
08/19/2018,18,3,HB_SOUTH,HU,141.54,N
08/19/2018,18,2,HB_SOUTH,HU,137.99,N
08/19/2018,18,1,HB_SOUTH,HU,142.35,N
08/19/2018,17,4,HB_SOUTH,HU,174.08,N
08/19/2018,17,3,HB_SOUTH,HU,220.64,N
08/19/2018,17,2,HB_SOUTH,HU,585.61,N
08/19/2018,17,1,HB_SOUTH,HU,251.29,N
08/19/2018,16,4,HB_SOUTH,HU,152.07,N
08/19/2018,16,3,HB_SOUTH,HU,298.12,N
08/19/2018,16,2,HB_SOUTH,HU,136.44,N
08/19/2018,16,1,HB_SOUTH,HU,123.43,N
08/19/2018,15,4,HB_SOUTH,HU,142.37,N
08/19/2018,15,3,HB_SOUTH,HU,101.52,N
08/19/2018,15,2,HB_SOUTH,HU,52.34,N
08/19/2018,15,1,HB_SOUTH,HU,58.74,N
08/19/2018,14,4,HB_SOUTH,HU,79.69,N
08/19/2018,14,3,HB_SOUTH,HU,62.66,N
08/19/2018,14,2,HB_SOUTH,HU,41.92,N
08/19/2018,14,1,HB_SOUTH,HU,37.75,N
08/19/2018,13,4,HB_SOUTH,HU,36.07,N
08/19/2018,13,3,HB_SOUTH,HU,34.12,N
08/19/2018,13,2,HB_SOUTH,HU,32.1,N
08/19/2018,13,1,HB_SOUTH,HU,31.08,N
08/19/2018,12,4,HB_SOUTH,HU,31.4,N
08/19/2018,12,3,HB_SOUTH,HU,30.2,N
08/19/2018,12,2,HB_SOUTH,HU,28.13,N
08/19/2018,12,1,HB_SOUTH,HU,27.53,N
08/19/2018,11,4,HB_SOUTH,HU,25.7,N
08/19/2018,11,3,HB_SOUTH,HU,25.24,N
08/19/2018,11,2,HB_SOUTH,HU,23.82,N
08/19/2018,11,1,HB_SOUTH,HU,21.52,N
08/19/2018,10,4,HB_SOUTH,HU,20.81,N
08/19/2018,10,3,HB_SOUTH,HU,21.22,N
08/19/2018,10,2,HB_SOUTH,HU,21.16,N
08/19/2018,10,1,HB_SOUTH,HU,20.25,N
08/19/2018,9,4,HB_SOUTH,HU,19.81,N
08/19/2018,9,3,HB_SOUTH,HU,19.5,N
08/19/2018,9,2,HB_SOUTH,HU,19.56,N
08/19/2018,9,1,HB_SOUTH,HU,19.4,N
08/19/2018,8,4,HB_SOUTH,HU,19.46,N
08/19/2018,8,3,HB_SOUTH,HU,19.11,N
08/19/2018,8,2,HB_SOUTH,HU,18.99,N
08/19/2018,8,1,HB_SOUTH,HU,19.06,N
08/19/2018,7,4,HB_SOUTH,HU,19.4,N
08/19/2018,7,3,HB_SOUTH,HU,19.38,N
08/19/2018,7,2,HB_SOUTH,HU,19.25,N
08/19/2018,7,1,HB_SOUTH,HU,19.15,N
08/19/2018,6,4,HB_SOUTH,HU,18.91,N
08/19/2018,6,3,HB_SOUTH,HU,18.93,N
08/19/2018,6,2,HB_SOUTH,HU,18.91,N
08/19/2018,6,1,HB_SOUTH,HU,18.82,N
08/19/2018,5,4,HB_SOUTH,HU,18.71,N
08/19/2018,5,3,HB_SOUTH,HU,18.53,N
08/19/2018,5,2,HB_SOUTH,HU,18.51,N
08/19/2018,5,1,HB_SOUTH,HU,18.44,N
08/19/2018,4,4,HB_SOUTH,HU,18.34,N
