DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
08/21/2018,23,2,LZ_HOUSTON,LZEW,21.43,N
08/21/2018,23,2,LZ_HOUSTON,LZ,21.43,N
08/21/2018,23,2,LZ_HOUSTON,LZEW,21.43,N
08/21/2018,23,2,LZ_HOUSTON,LZ,21.43,N
08/21/2018,23,1,LZ_HOUSTON,LZEW,22.27,N
08/21/2018,23,1,LZ_HOUSTON,LZ,22.27,N
08/21/2018,22,4,LZ_HOUSTON,LZEW,23.14,N
08/21/2018,22,4,LZ_HOUSTON,LZ,23.14,N
08/21/2018,22,3,LZ_HOUSTON,LZEW,24.96,N
08/21/2018,22,3,LZ_HOUSTON,LZ,24.96,N
08/21/2018,22,2,LZ_HOUSTON,LZEW,26.99,N
08/21/2018,22,2,LZ_HOUSTON,LZ,26.98,N
08/21/2018,22,1,LZ_HOUSTON,LZEW,29.19,N
08/21/2018,22,1,LZ_HOUSTON,LZ,29.19,N
08/21/2018,21,4,LZ_HOUSTON,LZEW,29.9,N
08/21/2018,21,4,LZ_HOUSTON,LZ,29.9,N
08/21/2018,21,3,LZ_HOUSTON,LZEW,30.45,N
08/21/2018,21,3,LZ_HOUSTON,LZ,30.45,N
08/21/2018,21,2,LZ_HOUSTON,LZEW,31.0,N
08/21/2018,21,2,LZ_HOUSTON,LZ,31.0,N
08/21/2018,21,1,LZ_HOUSTON,LZEW,31.09,N
08/21/2018,21,1,LZ_HOUSTON,LZ,31.09,N
08/21/2018,20,4,LZ_HOUSTON,LZ,32.2,N
08/21/2018,20,4,LZ_HOUSTON,LZEW,32.2,N
08/21/2018,20,3,LZ_HOUSTON,LZEW,32.77,N
08/21/2018,20,3,LZ_HOUSTON,LZ,32.77,N
08/21/2018,20,2,LZ_HOUSTON,LZ,33.36,N
08/21/2018,20,2,LZ_HOUSTON,LZEW,33.36,N
08/21/2018,20,1,LZ_HOUSTON,LZ,34.73,N
08/21/2018,20,1,LZ_HOUSTON,LZEW,34.73,N
08/21/2018,19,4,LZ_HOUSTON,LZEW,33.7,N
08/21/2018,19,4,LZ_HOUSTON,LZ,33.7,N
08/21/2018,19,3,LZ_HOUSTON,LZ,34.41,N
08/21/2018,19,3,LZ_HOUSTON,LZEW,34.41,N
08/21/2018,19,2,LZ_HOUSTON,LZEW,35.08,N
08/21/2018,19,2,LZ_HOUSTON,LZ,35.09,N
08/21/2018,19,1,LZ_HOUSTON,LZ,34.98,N
08/21/2018,19,1,LZ_HOUSTON,LZEW,34.98,N
08/21/2018,18,4,LZ_HOUSTON,LZEW,37.07,N
08/21/2018,18,4,LZ_HOUSTON,LZ,37.07,N
08/21/2018,18,3,LZ_HOUSTON,LZEW,38.63,N
08/21/2018,18,3,LZ_HOUSTON,LZ,38.63,N
08/21/2018,18,2,LZ_HOUSTON,LZEW,40.54,N
08/21/2018,18,2,LZ_HOUSTON,LZ,40.54,N
08/21/2018,18,1,LZ_HOUSTON,LZEW,42.01,N
08/21/2018,18,1,LZ_HOUSTON,LZ,42.01,N
08/21/2018,17,4,LZ_HOUSTON,LZEW,53.98,N
08/21/2018,17,4,LZ_HOUSTON,LZ,53.99,N
08/21/2018,17,3,LZ_HOUSTON,LZ,53.51,N
08/21/2018,17,3,LZ_HOUSTON,LZEW,53.51,N
08/21/2018,17,2,LZ_HOUSTON,LZEW,60.94,N
08/21/2018,17,2,LZ_HOUSTON,LZ,60.94,N
08/21/2018,17,1,LZ_HOUSTON,LZEW,58.71,N
08/21/2018,17,1,LZ_HOUSTON,LZ,58.71,N
08/21/2018,16,4,LZ_HOUSTON,LZ,68.95,N
08/21/2018,16,4,LZ_HOUSTON,LZEW,68.95,N
08/21/2018,16,3,LZ_HOUSTON,LZEW,63.86,N
08/21/2018,16,3,LZ_HOUSTON,LZ,63.86,N
