DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
08/21/2018,23,2,LZ_RAYBN,LZ,21.06,N
08/21/2018,23,2,LZ_RAYBN,LZEW,21.07,N
08/21/2018,23,2,LZ_RAYBN,LZ,21.06,N
08/21/2018,23,2,LZ_RAYBN,LZEW,21.07,N
08/21/2018,23,1,LZ_RAYBN,LZEW,22.24,N
08/21/2018,23,1,LZ_RAYBN,LZ,22.24,N
08/21/2018,22,4,LZ_RAYBN,LZEW,22.44,N
08/21/2018,22,4,LZ_RAYBN,LZ,22.43,N
08/21/2018,22,3,LZ_RAYBN,LZEW,23.41,N
08/21/2018,22,3,LZ_RAYBN,LZ,23.4,N
08/21/2018,22,2,LZ_RAYBN,LZEW,26.38,N
08/21/2018,22,2,LZ_RAYBN,LZ,26.37,N
08/21/2018,22,1,LZ_RAYBN,LZEW,27.37,N
08/21/2018,22,1,LZ_RAYBN,LZ,27.37,N
08/21/2018,21,4,LZ_RAYBN,LZEW,29.19,N
08/21/2018,21,4,LZ_RAYBN,LZ,29.18,N
08/21/2018,21,3,LZ_RAYBN,LZEW,30.45,N
08/21/2018,21,3,LZ_RAYBN,LZ,30.45,N
08/21/2018,21,2,LZ_RAYBN,LZ,31.0,N
08/21/2018,21,2,LZ_RAYBN,LZEW,31.0,N
08/21/2018,21,1,LZ_RAYBN,LZEW,31.09,N
08/21/2018,21,1,LZ_RAYBN,LZ,31.09,N
08/21/2018,20,4,LZ_RAYBN,LZ,32.2,N
08/21/2018,20,4,LZ_RAYBN,LZEW,32.2,N
08/21/2018,20,3,LZ_RAYBN,LZEW,32.77,N
08/21/2018,20,3,LZ_RAYBN,LZ,32.77,N
08/21/2018,20,2,LZ_RAYBN,LZ,33.43,N
08/21/2018,20,2,LZ_RAYBN,LZEW,33.43,N
08/21/2018,20,1,LZ_RAYBN,LZ,34.85,N
08/21/2018,20,1,LZ_RAYBN,LZEW,34.85,N
08/21/2018,19,4,LZ_RAYBN,LZEW,33.89,N
08/21/2018,19,4,LZ_RAYBN,LZ,33.89,N
08/21/2018,19,3,LZ_RAYBN,LZ,34.52,N
08/21/2018,19,3,LZ_RAYBN,LZEW,34.52,N
08/21/2018,19,2,LZ_RAYBN,LZEW,35.4,N
08/21/2018,19,2,LZ_RAYBN,LZ,35.4,N
08/21/2018,19,1,LZ_RAYBN,LZ,35.33,N
08/21/2018,19,1,LZ_RAYBN,LZEW,35.33,N
08/21/2018,18,4,LZ_RAYBN,LZ,37.32,N
08/21/2018,18,4,LZ_RAYBN,LZEW,37.32,N
08/21/2018,18,3,LZ_RAYBN,LZEW,39.01,N
08/21/2018,18,3,LZ_RAYBN,LZ,39.01,N
08/21/2018,18,2,LZ_RAYBN,LZEW,40.94,N
08/21/2018,18,2,LZ_RAYBN,LZ,40.94,N
08/21/2018,18,1,LZ_RAYBN,LZEW,42.41,N
08/21/2018,18,1,LZ_RAYBN,LZ,42.42,N
08/21/2018,17,4,LZ_RAYBN,LZEW,53.78,N
08/21/2018,17,4,LZ_RAYBN,LZ,53.78,N
08/21/2018,17,3,LZ_RAYBN,LZ,52.9,N
08/21/2018,17,3,LZ_RAYBN,LZEW,52.92,N
08/21/2018,17,2,LZ_RAYBN,LZEW,60.42,N
08/21/2018,17,2,LZ_RAYBN,LZ,60.45,N
08/21/2018,17,1,LZ_RAYBN,LZEW,56.95,N
08/21/2018,17,1,LZ_RAYBN,LZ,56.95,N
08/21/2018,16,4,LZ_RAYBN,LZ,69.13,N
08/21/2018,16,4,LZ_RAYBN,LZEW,69.13,N
08/21/2018,16,3,LZ_RAYBN,LZEW,61.41,N
08/21/2018,16,3,LZ_RAYBN,LZ,61.41,N
08/21/2018,16,2,LZ_RAYBN,LZEW,58.45,N
08/21/2018,16,2,LZ_RAYBN,LZ,58.45,N
08/21/2018,16,1,LZ_RAYBN,LZEW,53.55,N
08/21/2018,16,1,LZ_RAYBN,LZ,53.54,N
08/21/2018,15,4,LZ_RAYBN,LZEW,59.2,N
08/21/2018,15,4,LZ_RAYBN,LZ,59.17,N
08/21/2018,15,3,LZ_RAYBN,LZEW,52.03,N
08/21/2018,15,3,LZ_RAYBN,LZ,52.03,N
08/21/2018,15,2,LZ_RAYBN,LZ,51.2,N
08/21/2018,15,2,LZ_RAYBN,LZEW,51.2,N
08/21/2018,15,1,LZ_RAYBN,LZEW,42.46,N
08/21/2018,15,1,LZ_RAYBN,LZ,42.46,N
08/21/2018,14,4,LZ_RAYBN,LZEW,39.02,N
08/21/2018,14,4,LZ_RAYBN,LZ,39.02,N
08/21/2018,14,3,LZ_RAYBN,LZEW,39.19,N
08/21/2018,14,3,LZ_RAYBN,LZ,39.18,N
08/21/2018,14,2,LZ_RAYBN,LZEW,37.01,N
