DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
08/21/2018,23,2,LZ_WEST,LZ,22.38,N
08/21/2018,23,2,LZ_WEST,LZEW,22.38,N
08/21/2018,23,2,LZ_WEST,LZ,22.38,N
08/21/2018,23,2,LZ_WEST,LZEW,22.38,N
08/21/2018,23,1,LZ_WEST,LZEW,22.36,N
08/21/2018,23,1,LZ_WEST,LZ,22.36,N
08/21/2018,22,4,LZ_WEST,LZEW,24.99,N
08/21/2018,22,4,LZ_WEST,LZ,24.99,N
08/21/2018,22,3,LZ_WEST,LZEW,29.07,N
08/21/2018,22,3,LZ_WEST,LZ,29.07,N
08/21/2018,22,2,LZ_WEST,LZEW,28.58,N
08/21/2018,22,2,LZ_WEST,LZ,28.58,N
08/21/2018,22,1,LZ_WEST,LZEW,33.96,N
08/21/2018,22,1,LZ_WEST,LZ,33.96,N
08/21/2018,21,4,LZ_WEST,LZEW,31.77,N
08/21/2018,21,4,LZ_WEST,LZ,31.78,N
08/21/2018,21,3,LZ_WEST,LZEW,30.45,N
08/21/2018,21,3,LZ_WEST,LZ,30.45,N
08/21/2018,21,2,LZ_WEST,LZ,31.0,N
08/21/2018,21,2,LZ_WEST,LZEW,31.0,N
08/21/2018,21,1,LZ_WEST,LZEW,31.09,N
08/21/2018,21,1,LZ_WEST,LZ,31.09,N
08/21/2018,20,4,LZ_WEST,LZEW,32.2,N
08/21/2018,20,4,LZ_WEST,LZ,32.2,N
08/21/2018,20,3,LZ_WEST,LZEW,32.77,N
08/21/2018,20,3,LZ_WEST,LZ,32.77,N
08/21/2018,20,2,LZ_WEST,LZEW,34.57,N
08/21/2018,20,2,LZ_WEST,LZ,34.56,N
08/21/2018,20,1,LZ_WEST,LZEW,36.75,N
08/21/2018,20,1,LZ_WEST,LZ,36.74,N
08/21/2018,19,4,LZ_WEST,LZEW,36.69,N
08/21/2018,19,4,LZ_WEST,LZ,36.69,N
08/21/2018,19,3,LZ_WEST,LZ,35.76,N
08/21/2018,19,3,LZ_WEST,LZEW,35.76,N
08/21/2018,19,2,LZ_WEST,LZEW,36.8,N
08/21/2018,19,2,LZ_WEST,LZ,36.8,N
08/21/2018,19,1,LZ_WEST,LZEW,37.58,N
08/21/2018,19,1,LZ_WEST,LZ,37.58,N
08/21/2018,18,4,LZ_WEST,LZ,38.52,N
08/21/2018,18,4,LZ_WEST,LZEW,38.52,N
08/21/2018,18,3,LZ_WEST,LZEW,40.9,N
08/21/2018,18,3,LZ_WEST,LZ,40.9,N
08/21/2018,18,2,LZ_WEST,LZEW,42.92,N
08/21/2018,18,2,LZ_WEST,LZ,42.92,N
08/21/2018,18,1,LZ_WEST,LZEW,44.59,N
08/21/2018,18,1,LZ_WEST,LZ,44.59,N
08/21/2018,17,4,LZ_WEST,LZEW,56.79,N
08/21/2018,17,4,LZ_WEST,LZ,56.8,N
08/21/2018,17,3,LZ_WEST,LZEW,56.17,N
08/21/2018,17,3,LZ_WEST,LZ,56.16,N
08/21/2018,17,2,LZ_WEST,LZEW,63.94,N
08/21/2018,17,2,LZ_WEST,LZ,63.95,N
08/21/2018,17,1,LZ_WEST,LZ,61.2,N
08/21/2018,17,1,LZ_WEST,LZEW,61.2,N
08/21/2018,16,4,LZ_WEST,LZ,72.59,N
08/21/2018,16,4,LZ_WEST,LZEW,72.59,N
08/21/2018,16,3,LZ_WEST,LZEW,66.45,N
08/21/2018,16,3,LZ_WEST,LZ,66.45,N
08/21/2018,16,2,LZ_WEST,LZEW,64.56,N
08/21/2018,16,2,LZ_WEST,LZ,64.55,N
08/21/2018,16,1,LZ_WEST,LZEW,58.63,N
08/21/2018,16,1,LZ_WEST,LZ,58.63,N
08/21/2018,15,4,LZ_WEST,LZEW,65.43,N
08/21/2018,15,4,LZ_WEST,LZ,65.43,N
08/21/2018,15,3,LZ_WEST,LZEW,57.07,N
08/21/2018,15,3,LZ_WEST,LZ,57.07,N
08/21/2018,15,2,LZ_WEST,LZ,56.15,N
08/21/2018,15,2,LZ_WEST,LZEW,56.17,N
08/21/2018,15,1,LZ_WEST,LZEW,46.76,N
08/21/2018,15,1,LZ_WEST,LZ,46.75,N
08/21/2018,14,4,LZ_WEST,LZEW,41.67,N
08/21/2018,14,4,LZ_WEST,LZ,41.67,N
08/21/2018,14,3,LZ_WEST,LZEW,41.7,N
08/21/2018,14,3,LZ_WEST,LZ,41.7,N
08/21/2018,14,2,LZ_WEST,LZEW,39.22,N
08/21/2018,14,2,LZ_WEST,LZ,39.22,N
08/21/2018,14,1,LZ_WEST,LZEW,36.44,N
08/21/2018,14,1,LZ_WEST,LZ,36.44,N
08/21/2018,13,4,LZ_WEST,LZEW,34.88,N
08/21/2018,13,4,LZ_WEST,LZ,34.88,N
08/21/2018,13,3,LZ_WEST,LZEW,34.08,N
08/21/2018,13,3,LZ_WEST,LZ,34.08,N
08/21/2018,13,2,LZ_WEST,LZEW,32.99,N
08/21/2018,13,2,LZ_WEST,LZ,32.99,N
08/21/2018,13,1,LZ_WEST,LZEW,33.14,N
08/21/2018,13,1,LZ_WEST,LZ,33.14,N
08/21/2018,12,4,LZ_WEST,LZEW,33.69,N
08/21/2018,12,4,LZ_WEST,LZ,33.69,N
