DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
08/21/2018,10,4,HB_BUSAVG,SH,24.53,N
08/21/2018,10,4,HB_HOUSTON,HU,24.89,N
08/21/2018,10,4,HB_HUBAVG,AH,24.68,N
08/21/2018,10,4,HB_NORTH,HU,24.29,N
08/21/2018,10,4,HB_SOUTH,HU,24.75,N
08/21/2018,10,4,HB_WEST,HU,24.77,N
08/21/2018,10,4,LZ_AEN,LZ,24.77,N
08/21/2018,10,4,LZ_AEN,LZEW,24.77,N
08/21/2018,10,4,LZ_CPS,LZEW,24.71,N
08/21/2018,10,4,LZ_CPS,LZ,24.71,N
08/21/2018,10,4,LZ_HOUSTON,LZ,24.89,N
08/21/2018,10,4,LZ_HOUSTON,LZEW,24.89,N
08/21/2018,10,4,LZ_LCRA,LZ,24.74,N
08/21/2018,10,4,LZ_LCRA,LZEW,24.74,N
08/21/2018,10,4,LZ_NORTH,LZ,24.51,N
08/21/2018,10,4,LZ_NORTH,LZEW,24.51,N
08/21/2018,10,4,LZ_RAYBN,LZ,24.12,N
08/21/2018,10,4,LZ_RAYBN,LZEW,24.12,N
08/21/2018,10,4,LZ_SOUTH,LZ,24.71,N
08/21/2018,10,4,LZ_SOUTH,LZEW,24.71,N
08/21/2018,10,4,LZ_WEST,LZ,25.5,N
08/21/2018,10,4,LZ_WEST,LZEW,25.5,N
08/21/2018,10,4,HB_BUSAVG,SH,24.53,N
08/21/2018,10,4,HB_HOUSTON,HU,24.89,N
08/21/2018,10,4,HB_HUBAVG,AH,24.68,N
08/21/2018,10,4,HB_NORTH,HU,24.29,N
08/21/2018,10,4,HB_SOUTH,HU,24.75,N
08/21/2018,10,4,HB_WEST,HU,24.77,N
08/21/2018,10,4,LZ_AEN,LZ,24.77,N
08/21/2018,10,4,LZ_AEN,LZEW,24.77,N
08/21/2018,10,4,LZ_CPS,LZEW,24.71,N
08/21/2018,10,4,LZ_CPS,LZ,24.71,N
08/21/2018,10,4,LZ_HOUSTON,LZ,24.89,N
08/21/2018,10,4,LZ_HOUSTON,LZEW,24.89,N
08/21/2018,10,4,LZ_LCRA,LZ,24.74,N
08/21/2018,10,4,LZ_LCRA,LZEW,24.74,N
08/21/2018,10,4,LZ_NORTH,LZ,24.51,N
08/21/2018,10,4,LZ_NORTH,LZEW,24.51,N
08/21/2018,10,4,LZ_RAYBN,LZ,24.12,N
08/21/2018,10,4,LZ_RAYBN,LZEW,24.12,N
08/21/2018,10,4,LZ_SOUTH,LZ,24.71,N
08/21/2018,10,4,LZ_SOUTH,LZEW,24.71,N
08/21/2018,10,4,LZ_WEST,LZ,25.5,N
08/21/2018,10,4,LZ_WEST,LZEW,25.5,N
08/21/2018,10,3,HB_BUSAVG,SH,24.99,N
08/21/2018,10,3,HB_HOUSTON,HU,25.36,N
08/21/2018,10,3,HB_HUBAVG,AH,25.14,N
08/21/2018,10,3,HB_NORTH,HU,24.74,N
08/21/2018,10,3,HB_SOUTH,HU,25.22,N
08/21/2018,10,3,HB_WEST,HU,25.23,N
08/21/2018,10,3,LZ_AEN,LZ,25.23,N
08/21/2018,10,3,LZ_AEN,LZEW,25.23,N
08/21/2018,10,3,LZ_CPS,LZEW,25.17,N
08/21/2018,10,3,LZ_CPS,LZ,25.17,N
08/21/2018,10,3,LZ_HOUSTON,LZEW,25.36,N
08/21/2018,10,3,LZ_HOUSTON,LZ,25.36,N
08/21/2018,10,3,LZ_LCRA,LZ,25.2,N
08/21/2018,10,3,LZ_LCRA,LZEW,25.2,N
08/21/2018,10,3,LZ_NORTH,LZEW,24.96,N
08/21/2018,10,3,LZ_NORTH,LZ,24.96,N
08/21/2018,10,3,LZ_RAYBN,LZEW,24.57,N
08/21/2018,10,3,LZ_RAYBN,LZ,24.57,N
08/21/2018,10,3,LZ_SOUTH,LZEW,25.17,N
08/21/2018,10,3,LZ_SOUTH,LZ,25.18,N
08/21/2018,10,3,LZ_WEST,LZEW,25.98,N
08/21/2018,10,3,LZ_WEST,LZ,25.98,N
08/21/2018,10,2,HB_BUSAVG,SH,24.79,N
08/21/2018,10,2,HB_HOUSTON,HU,25.14,N
08/21/2018,10,2,HB_HUBAVG,AH,24.92,N
08/21/2018,10,2,HB_NORTH,HU,24.56,N
08/21/2018,10,2,HB_SOUTH,HU,25.03,N
08/21/2018,10,2,HB_WEST,HU,24.94,N
08/21/2018,10,2,LZ_AEN,LZEW,25.04,N
08/21/2018,10,2,LZ_AEN,LZ,25.04,N
08/21/2018,10,2,LZ_CPS,LZEW,25.0,N
08/21/2018,10,2,LZ_CPS,LZ,25.0,N
08/21/2018,10,2,LZ_HOUSTON,LZEW,25.14,N
08/21/2018,10,2,LZ_HOUSTON,LZ,25.14,N
08/21/2018,10,2,LZ_LCRA,LZ,25.01,N
08/21/2018,10,2,LZ_LCRA,LZEW,25.02,N
08/21/2018,10,2,LZ_NORTH,LZEW,24.76,N
08/21/2018,10,2,LZ_NORTH,LZ,24.76,N
08/21/2018,10,2,LZ_RAYBN,LZEW,24.42,N
08/21/2018,10,2,LZ_RAYBN,LZ,24.42,N
08/21/2018,10,2,LZ_SOUTH,LZEW,25.0,N
08/21/2018,10,2,LZ_SOUTH,LZ,25.0,N
08/21/2018,10,2,LZ_WEST,LZEW,25.55,N
08/21/2018,10,2,LZ_WEST,LZ,25.55,N
08/21/2018,10,1,HB_BUSAVG,SH,22.6,N
08/21/2018,10,1,HB_HOUSTON,HU,22.76,N
08/21/2018,10,1,HB_HUBAVG,AH,22.65,N
08/21/2018,10,1,HB_NORTH,HU,22.5,N
08/21/2018,10,1,HB_SOUTH,HU,22.73,N
08/21/2018,10,1,HB_WEST,HU,22.6,N
08/21/2018,10,1,LZ_AEN,LZEW,22.73,N
08/21/2018,10,1,LZ_AEN,LZ,22.73,N
08/21/2018,10,1,LZ_CPS,LZ,22.73,N
08/21/2018,10,1,LZ_CPS,LZEW,22.73,N
08/21/2018,10,1,LZ_HOUSTON,LZEW,22.77,N
08/21/2018,10,1,LZ_HOUSTON,LZ,22.76,N
08/21/2018,10,1,LZ_LCRA,LZ,22.73,N
08/21/2018,10,1,LZ_LCRA,LZEW,22.73,N
08/21/2018,10,1,LZ_NORTH,LZEW,22.58,N
08/21/2018,10,1,LZ_NORTH,LZ,22.58,N
08/21/2018,10,1,LZ_RAYBN,LZ,22.45,N
08/21/2018,10,1,LZ_RAYBN,LZEW,22.44,N
08/21/2018,10,1,LZ_SOUTH,LZ,22.73,N
08/21/2018,10,1,LZ_SOUTH,LZEW,22.74,N
08/21/2018,10,1,LZ_WEST,LZ,22.61,N
08/21/2018,10,1,LZ_WEST,LZEW,22.61,N
08/21/2018,9,4,HB_BUSAVG,SH,22.04,N
08/21/2018,9,4,HB_HOUSTON,HU,22.14,N
08/21/2018,9,4,HB_HUBAVG,AH,22.07,N
08/21/2018,9,4,HB_NORTH,HU,21.98,N
08/21/2018,9,4,HB_SOUTH,HU,22.13,N
08/21/2018,9,4,HB_WEST,HU,22.04,N
08/21/2018,9,4,LZ_AEN,LZEW,22.13,N
08/21/2018,9,4,LZ_AEN,LZ,22.13,N
08/21/2018,9,4,LZ_CPS,LZEW,22.12,N
08/21/2018,9,4,LZ_CPS,LZ,22.12,N
08/21/2018,9,4,LZ_HOUSTON,LZEW,22.15,N
08/21/2018,9,4,LZ_HOUSTON,LZ,22.14,N
08/21/2018,9,4,LZ_LCRA,LZEW,22.12,N
08/21/2018,9,4,LZ_LCRA,LZ,22.12,N
08/21/2018,9,4,LZ_NORTH,LZEW,22.03,N
08/21/2018,9,4,LZ_NORTH,LZ,22.03,N
08/21/2018,9,4,LZ_RAYBN,LZEW,21.96,N
08/21/2018,9,4,LZ_RAYBN,LZ,21.95,N
08/21/2018,9,4,LZ_SOUTH,LZ,22.12,N
08/21/2018,9,4,LZ_SOUTH,LZEW,22.13,N
08/21/2018,9,4,LZ_WEST,LZ,22.05,N
08/21/2018,9,4,LZ_WEST,LZEW,22.05,N
08/21/2018,9,3,HB_BUSAVG,SH,21.75,N
08/21/2018,9,3,HB_HOUSTON,HU,21.75,N
08/21/2018,9,3,HB_HUBAVG,AH,21.75,N
08/21/2018,9,3,HB_NORTH,HU,21.75,N
08/21/2018,9,3,HB_SOUTH,HU,21.75,N
08/21/2018,9,3,HB_WEST,HU,21.75,N
08/21/2018,9,3,LZ_AEN,LZ,21.75,N
08/21/2018,9,3,LZ_AEN,LZEW,21.75,N
08/21/2018,9,3,LZ_CPS,LZEW,21.75,N
08/21/2018,9,3,LZ_CPS,LZ,21.75,N
08/21/2018,9,3,LZ_HOUSTON,LZ,21.75,N
08/21/2018,9,3,LZ_HOUSTON,LZEW,21.75,N
08/21/2018,9,3,LZ_LCRA,LZ,21.75,N
08/21/2018,9,3,LZ_LCRA,LZEW,21.75,N
08/21/2018,9,3,LZ_NORTH,LZ,21.75,N
08/21/2018,9,3,LZ_NORTH,LZEW,21.75,N
08/21/2018,9,3,LZ_RAYBN,LZ,21.74,N
08/21/2018,9,3,LZ_RAYBN,LZEW,21.74,N
08/21/2018,9,3,LZ_SOUTH,LZEW,21.75,N
08/21/2018,9,3,LZ_SOUTH,LZ,21.75,N
08/21/2018,9,3,LZ_WEST,LZEW,21.75,N
08/21/2018,9,3,LZ_WEST,LZ,21.75,N
08/21/2018,9,2,HB_BUSAVG,SH,21.16,N
08/21/2018,9,2,HB_HOUSTON,HU,21.16,N
08/21/2018,9,2,HB_HUBAVG,AH,21.16,N
08/21/2018,9,2,HB_NORTH,HU,21.16,N
08/21/2018,9,2,HB_SOUTH,HU,21.16,N
08/21/2018,9,2,HB_WEST,HU,21.16,N
08/21/2018,9,2,LZ_AEN,LZ,21.16,N
08/21/2018,9,2,LZ_AEN,LZEW,21.16,N
08/21/2018,9,2,LZ_CPS,LZEW,21.16,N
08/21/2018,9,2,LZ_CPS,LZ,21.16,N
08/21/2018,9,2,LZ_HOUSTON,LZEW,21.16,N
08/21/2018,9,2,LZ_HOUSTON,LZ,21.16,N
08/21/2018,9,2,LZ_LCRA,LZ,21.16,N
08/21/2018,9,2,LZ_LCRA,LZEW,21.16,N
08/21/2018,9,2,LZ_NORTH,LZEW,21.16,N
08/21/2018,9,2,LZ_NORTH,LZ,21.16,N
08/21/2018,9,2,LZ_RAYBN,LZEW,21.16,N
08/21/2018,9,2,LZ_RAYBN,LZ,21.16,N
08/21/2018,9,2,LZ_SOUTH,LZEW,21.16,N
08/21/2018,9,2,LZ_SOUTH,LZ,21.16,N
08/21/2018,9,2,LZ_WEST,LZEW,21.16,N
08/21/2018,9,2,LZ_WEST,LZ,21.16,N
08/21/2018,9,1,HB_BUSAVG,SH,20.89,N
08/21/2018,9,1,HB_HOUSTON,HU,20.89,N
08/21/2018,9,1,HB_HUBAVG,AH,20.89,N
08/21/2018,9,1,HB_NORTH,HU,20.89,N
08/21/2018,9,1,HB_SOUTH,HU,20.89,N
08/21/2018,9,1,HB_WEST,HU,20.89,N
08/21/2018,9,1,LZ_AEN,LZEW,20.89,N
08/21/2018,9,1,LZ_AEN,LZ,20.89,N
