Date,SettlementPointPrice
2018-08-24 05:00:00,16.25
2018-08-24 05:15:00,16.71
2018-08-24 05:30:00,16.95
2018-08-24 05:45:00,17.28
2018-08-24 06:00:00,17.61
2018-08-24 06:15:00,18.03
2018-08-24 06:30:00,18.38
2018-08-24 06:45:00,18.5
2018-08-24 07:00:00,18.44
2018-08-24 07:15:00,18.19
2018-08-24 07:30:00,18.2
2018-08-24 07:45:00,18.18
2018-08-24 08:00:00,18.53
2018-08-24 08:15:00,18.96
2018-08-24 08:30:00,19.31
2018-08-24 08:45:00,19.26
2018-08-24 09:00:00,18.9
2018-08-24 09:15:00,18.79
2018-08-24 09:30:00,18.64
2018-08-24 09:45:00,16.2
2018-08-24 10:00:00,15.07
2018-08-24 10:15:00,16.39
2018-08-24 10:30:00,18.04
2018-08-24 10:45:00,18.41
2018-08-24 11:00:00,18.75
2018-08-24 11:15:00,17.85
2018-08-24 11:30:00,19.79
2018-08-24 11:45:00,21.53
2018-08-24 12:00:00,23.58
2018-08-24 12:15:00,24.78
2018-08-24 12:30:00,25.69
2018-08-24 12:45:00,27.67
2018-08-24 13:00:00,29.15
2018-08-24 13:15:00,29.31
2018-08-24 13:30:00,32.74
2018-08-24 13:45:00,34.88
2018-08-24 14:00:00,36.43
2018-08-24 14:15:00,38.87
2018-08-24 14:30:00,40.11
2018-08-24 14:45:00,41.28
2018-08-24 15:00:00,50.1
2018-08-24 15:15:00,51.94
2018-08-24 15:30:00,54.66
2018-08-24 15:45:00,114.34
2018-08-24 16:00:00,79.36
2018-08-24 16:15:00,69.57
2018-08-24 16:30:00,77.21
2018-08-24 16:45:00,74.33
2018-08-24 17:00:00,60.54
2018-08-24 17:15:00,56.14
2018-08-24 17:30:00,55.77
2018-08-24 17:45:00,52.67
2018-08-24 18:00:00,47.07
2018-08-24 18:15:00,43.07
2018-08-24 18:30:00,41.99
2018-08-24 18:45:00,40.62
2018-08-24 19:00:00,33.83
2018-08-24 19:15:00,41.33
2018-08-24 19:30:00,34.53
2018-08-24 19:45:00,31.95
2018-08-24 20:00:00,32.22
2018-08-24 20:15:00,32.53
2018-08-24 20:30:00,32.45
2018-08-24 20:45:00,30.59
2018-08-24 21:00:00,29.86
2018-08-24 21:15:00,28.49
2018-08-24 21:30:00,26.26
2018-08-24 21:45:00,24.45
2018-08-24 22:00:00,22.06
2018-08-24 22:15:00,21.3
2018-08-24 22:30:00,21.11
2018-08-24 22:45:00,20.37
2018-08-24 23:00:00,19.72
2018-08-24 23:15:00,19.44
2018-08-24 23:30:00,19.18
2018-08-24 23:45:00,19.1
2018-08-25 00:00:00,18.91
2018-08-25 00:15:00,19.01
2018-08-25 00:30:00,19.19
2018-08-25 00:45:00,19.0
2018-08-25 01:00:00,18.74
2018-08-25 01:15:00,18.68
2018-08-25 01:30:00,18.53
2018-08-25 01:45:00,18.21
2018-08-25 02:00:00,18.01
2018-08-25 02:15:00,18.13
2018-08-25 02:30:00,17.96
2018-08-25 02:45:00,17.76
2018-08-25 03:00:00,17.5
2018-08-25 03:15:00,17.36
2018-08-25 03:30:00,17.19
2018-08-25 03:45:00,16.87
2018-08-25 04:00:00,16.6
2018-08-25 04:15:00,16.64
2018-08-25 04:30:00,16.48
2018-08-25 04:45:00,16.47
2018-08-25 05:00:00,16.49
2018-08-25 05:15:00,16.52
2018-08-25 05:30:00,16.59
2018-08-25 05:45:00,16.57
2018-08-25 06:00:00,16.4
2018-08-25 06:15:00,16.51
2018-08-25 06:30:00,16.55
2018-08-25 06:45:00,16.57
2018-08-25 07:00:00,16.59
2018-08-25 07:15:00,16.57
2018-08-25 07:30:00,16.79
2018-08-25 07:45:00,17.12
2018-08-25 08:00:00,17.22
2018-08-25 08:15:00,17.66
2018-08-25 08:30:00,18.28
