Date,SettlementPointPrice
2018-08-24 05:00:00,16.55
2018-08-24 05:15:00,17.0
2018-08-24 05:30:00,17.24
2018-08-24 05:45:00,17.57
2018-08-24 06:00:00,17.9
2018-08-24 06:15:00,18.32
2018-08-24 06:30:00,18.68
2018-08-24 06:45:00,18.79
2018-08-24 07:00:00,18.74
2018-08-24 07:15:00,18.48
2018-08-24 07:30:00,18.48
2018-08-24 07:45:00,18.47
2018-08-24 08:00:00,18.75
2018-08-24 08:15:00,19.07
2018-08-24 08:30:00,19.47
2018-08-24 08:45:00,19.44
2018-08-24 09:00:00,19.17
2018-08-24 09:15:00,19.13
2018-08-24 09:30:00,19.05
2018-08-24 09:45:00,19.56
2018-08-24 10:00:00,20.17
2018-08-24 10:15:00,19.8
2018-08-24 10:30:00,19.93
2018-08-24 10:45:00,20.18
2018-08-24 11:00:00,20.62
2018-08-24 11:15:00,21.97
2018-08-24 11:30:00,22.95
2018-08-24 11:45:00,24.11
2018-08-24 12:00:00,26.43
2018-08-24 12:15:00,27.21
2018-08-24 12:30:00,27.49
2018-08-24 12:45:00,28.88
2018-08-24 13:00:00,30.09
2018-08-24 13:15:00,30.1
2018-08-24 13:30:00,32.87
2018-08-24 13:45:00,34.83
2018-08-24 14:00:00,36.38
2018-08-24 14:15:00,38.82
2018-08-24 14:30:00,40.04
2018-08-24 14:45:00,41.16
2018-08-24 15:00:00,50.04
2018-08-24 15:15:00,52.11
2018-08-24 15:30:00,54.87
2018-08-24 15:45:00,114.83
2018-08-24 16:00:00,79.54
2018-08-24 16:15:00,69.73
2018-08-24 16:30:00,77.37
2018-08-24 16:45:00,74.69
2018-08-24 17:00:00,60.83
2018-08-24 17:15:00,56.44
2018-08-24 17:30:00,56.06
2018-08-24 17:45:00,52.95
2018-08-24 18:00:00,47.29
2018-08-24 18:15:00,43.32
2018-08-24 18:30:00,42.16
2018-08-24 18:45:00,40.79
2018-08-24 19:00:00,33.96
2018-08-24 19:15:00,41.46
2018-08-24 19:30:00,34.68
2018-08-24 19:45:00,31.85
2018-08-24 20:00:00,32.09
2018-08-24 20:15:00,32.4
2018-08-24 20:30:00,32.32
2018-08-24 20:45:00,30.48
2018-08-24 21:00:00,29.75
2018-08-24 21:15:00,28.4
2018-08-24 21:30:00,26.23
2018-08-24 21:45:00,24.45
2018-08-24 22:00:00,22.42
2018-08-24 22:15:00,21.81
2018-08-24 22:30:00,21.63
2018-08-24 22:45:00,20.87
2018-08-24 23:00:00,20.22
2018-08-24 23:15:00,19.94
2018-08-24 23:30:00,19.68
2018-08-24 23:45:00,19.59
2018-08-25 00:00:00,19.4
2018-08-25 00:15:00,19.5
2018-08-25 00:30:00,19.68
2018-08-25 00:45:00,19.49
2018-08-25 01:00:00,19.23
2018-08-25 01:15:00,19.17
2018-08-25 01:30:00,19.02
2018-08-25 01:45:00,18.7
2018-08-25 02:00:00,18.49
2018-08-25 02:15:00,18.61
2018-08-25 02:30:00,18.43
2018-08-25 02:45:00,18.23
2018-08-25 03:00:00,17.96
2018-08-25 03:15:00,17.83
2018-08-25 03:30:00,17.66
2018-08-25 03:45:00,17.39
2018-08-25 04:00:00,17.17
2018-08-25 04:15:00,17.22
2018-08-25 04:30:00,17.06
2018-08-25 04:45:00,17.04
2018-08-25 05:00:00,17.06
2018-08-25 05:15:00,17.09
2018-08-25 05:30:00,17.16
2018-08-25 05:45:00,17.14
2018-08-25 06:00:00,16.97
2018-08-25 06:15:00,17.08
2018-08-25 06:30:00,17.12
2018-08-25 06:45:00,17.14
2018-08-25 07:00:00,17.17
2018-08-25 07:15:00,17.14
2018-08-25 07:30:00,17.36
2018-08-25 07:45:00,17.69
2018-08-25 08:00:00,17.78
2018-08-25 08:15:00,18.16
2018-08-25 08:30:00,18.77
2018-08-25 08:45:00,19.17
2018-08-25 09:00:00,19.17
2018-08-25 09:15:00,19.23
