Date,SettlementPointPrice
2018-08-24 05:00:00,14.84
2018-08-24 05:15:00,15.26
2018-08-24 05:30:00,15.48
2018-08-24 05:45:00,15.78
2018-08-24 06:00:00,16.08
2018-08-24 06:15:00,16.47
2018-08-24 06:30:00,16.79
2018-08-24 06:45:00,16.89
2018-08-24 07:00:00,16.84
2018-08-24 07:15:00,16.61
2018-08-24 07:30:00,16.61
2018-08-24 07:45:00,16.59
2018-08-24 08:00:00,16.97
2018-08-24 08:15:00,17.52
2018-08-24 08:30:00,19.14
2018-08-24 08:45:00,19.09
2018-08-24 09:00:00,18.65
2018-08-24 09:15:00,18.46
2018-08-24 09:30:00,18.22
2018-08-24 09:45:00,15.45
2018-08-24 10:00:00,14.08
2018-08-24 10:15:00,15.39
2018-08-24 10:30:00,17.41
2018-08-24 10:45:00,17.69
2018-08-24 11:00:00,17.93
2018-08-24 11:15:00,16.71
2018-08-24 11:30:00,18.46
2018-08-24 11:45:00,20.11
2018-08-24 12:00:00,22.06
2018-08-24 12:15:00,22.87
2018-08-24 12:30:00,24.57
2018-08-24 12:45:00,26.98
2018-08-24 13:00:00,28.63
2018-08-24 13:15:00,28.92
2018-08-24 13:30:00,32.74
2018-08-24 13:45:00,34.88
2018-08-24 14:00:00,36.43
2018-08-24 14:15:00,38.87
2018-08-24 14:30:00,40.11
2018-08-24 14:45:00,41.3
2018-08-24 15:00:00,50.31
2018-08-24 15:15:00,52.51
2018-08-24 15:30:00,55.29
2018-08-24 15:45:00,115.5
2018-08-24 16:00:00,80.14
2018-08-24 16:15:00,70.52
2018-08-24 16:30:00,77.96
2018-08-24 16:45:00,75.08
2018-08-24 17:00:00,61.16
2018-08-24 17:15:00,56.75
2018-08-24 17:30:00,56.38
2018-08-24 17:45:00,53.26
2018-08-24 18:00:00,47.64
2018-08-24 18:15:00,43.6
2018-08-24 18:30:00,42.52
2018-08-24 18:45:00,41.12
2018-08-24 19:00:00,34.25
2018-08-24 19:15:00,41.66
2018-08-24 19:30:00,34.89
2018-08-24 19:45:00,31.94
2018-08-24 20:00:00,32.29
2018-08-24 20:15:00,32.6
2018-08-24 20:30:00,32.52
2018-08-24 20:45:00,30.61
2018-08-24 21:00:00,29.87
2018-08-24 21:15:00,28.46
2018-08-24 21:30:00,26.23
2018-08-24 21:45:00,24.46
2018-08-24 22:00:00,21.73
2018-08-24 22:15:00,20.82
2018-08-24 22:30:00,20.64
2018-08-24 22:45:00,19.9
2018-08-24 23:00:00,19.25
2018-08-24 23:15:00,18.98
2018-08-24 23:30:00,18.72
2018-08-24 23:45:00,18.64
2018-08-25 00:00:00,18.45
2018-08-25 00:15:00,18.55
2018-08-25 00:30:00,18.73
2018-08-25 00:45:00,18.54
2018-08-25 01:00:00,18.29
2018-08-25 01:15:00,18.23
2018-08-25 01:30:00,18.08
2018-08-25 01:45:00,17.76
2018-08-25 02:00:00,17.56
2018-08-25 02:15:00,17.68
2018-08-25 02:30:00,17.51
2018-08-25 02:45:00,17.32
2018-08-25 03:00:00,17.07
2018-08-25 03:15:00,16.93
2018-08-25 03:30:00,16.76
2018-08-25 03:45:00,16.39
2018-08-25 04:00:00,16.07
2018-08-25 04:15:00,16.11
2018-08-25 04:30:00,15.95
2018-08-25 04:45:00,15.94
2018-08-25 05:00:00,15.96
2018-08-25 05:15:00,15.99
2018-08-25 05:30:00,16.06
2018-08-25 05:45:00,16.04
2018-08-25 06:00:00,15.87
2018-08-25 06:15:00,15.98
2018-08-25 06:30:00,16.02
2018-08-25 06:45:00,16.05
2018-08-25 07:00:00,16.07
2018-08-25 07:15:00,16.05
2018-08-25 07:30:00,16.26
2018-08-25 07:45:00,16.6
2018-08-25 08:00:00,16.7
2018-08-25 08:15:00,17.2
2018-08-25 08:30:00,17.83
2018-08-25 08:45:00,18.25
2018-08-25 09:00:00,18.13
2018-08-25 09:15:00,18.21
