Date,SettlementPointPrice
2018-08-24 05:00:00,16.07
2018-08-24 05:15:00,16.58
2018-08-24 05:30:00,16.83
2018-08-24 05:45:00,17.2
2018-08-24 06:00:00,17.55
2018-08-24 06:15:00,18.03
2018-08-24 06:30:00,18.43
2018-08-24 06:45:00,18.56
2018-08-24 07:00:00,18.48
2018-08-24 07:15:00,18.2
2018-08-24 07:30:00,18.21
2018-08-24 07:45:00,18.17
2018-08-24 08:00:00,18.85
2018-08-24 08:15:00,19.76
2018-08-24 08:30:00,18.59
2018-08-24 08:45:00,18.42
2018-08-24 09:00:00,17.66
2018-08-24 09:15:00,17.42
2018-08-24 09:30:00,17.39
2018-08-24 09:45:00,9.74
2018-08-24 10:00:00,5.45
2018-08-24 10:15:00,8.89
2018-08-24 10:30:00,13.37
2018-08-24 10:45:00,14.15
2018-08-24 11:00:00,14.02
2018-08-24 11:15:00,8.86
2018-08-24 11:30:00,11.42
2018-08-24 11:45:00,13.67
2018-08-24 12:00:00,16.07
2018-08-24 12:15:00,17.13
2018-08-24 12:30:00,20.17
2018-08-24 12:45:00,24.6
2018-08-24 13:00:00,27.13
2018-08-24 13:15:00,27.92
2018-08-24 13:30:00,33.79
2018-08-24 13:45:00,36.29
2018-08-24 14:00:00,37.9
2018-08-24 14:15:00,40.42
2018-08-24 14:30:00,42.08
2018-08-24 14:45:00,43.58
2018-08-24 15:00:00,53.04
2018-08-24 15:15:00,54.71
2018-08-24 15:30:00,56.87
2018-08-24 15:45:00,115.66
2018-08-24 16:00:00,83.32
2018-08-24 16:15:00,73.21
2018-08-24 16:30:00,81.02
2018-08-24 16:45:00,75.32
2018-08-24 17:00:00,61.32
2018-08-24 17:15:00,56.91
2018-08-24 17:30:00,56.53
2018-08-24 17:45:00,53.42
2018-08-24 18:00:00,48.42
2018-08-24 18:15:00,43.74
2018-08-24 18:30:00,43.83
2018-08-24 18:45:00,42.29
2018-08-24 19:00:00,35.31
2018-08-24 19:15:00,41.78
2018-08-24 19:30:00,34.98
2018-08-24 19:45:00,32.0
2018-08-24 20:00:00,32.45
2018-08-24 20:15:00,32.77
2018-08-24 20:30:00,32.67
2018-08-24 20:45:00,30.71
2018-08-24 21:00:00,29.96
2018-08-24 21:15:00,28.51
2018-08-24 21:30:00,26.24
2018-08-24 21:45:00,24.46
2018-08-24 22:00:00,20.46
2018-08-24 22:15:00,18.96
2018-08-24 22:30:00,18.78
2018-08-24 22:45:00,18.06
2018-08-24 23:00:00,17.44
2018-08-24 23:15:00,17.17
2018-08-24 23:30:00,16.93
2018-08-24 23:45:00,16.85
2018-08-25 00:00:00,16.66
2018-08-25 00:15:00,16.76
2018-08-25 00:30:00,16.93
2018-08-25 00:45:00,16.75
2018-08-25 01:00:00,16.5
2018-08-25 01:15:00,16.44
2018-08-25 01:30:00,16.29
2018-08-25 01:45:00,15.96
2018-08-25 02:00:00,15.79
2018-08-25 02:15:00,15.91
2018-08-25 02:30:00,15.78
2018-08-25 02:45:00,15.58
2018-08-25 03:00:00,15.36
2018-08-25 03:15:00,15.23
2018-08-25 03:30:00,15.06
2018-08-25 03:45:00,14.5
2018-08-25 04:00:00,13.97
2018-08-25 04:15:00,14.01
2018-08-25 04:30:00,13.86
2018-08-25 04:45:00,13.86
2018-08-25 05:00:00,13.88
2018-08-25 05:15:00,13.9
2018-08-25 05:30:00,13.97
2018-08-25 05:45:00,13.96
2018-08-25 06:00:00,13.79
2018-08-25 06:15:00,13.9
2018-08-25 06:30:00,13.93
2018-08-25 06:45:00,13.95
2018-08-25 07:00:00,13.98
2018-08-25 07:15:00,13.96
2018-08-25 07:30:00,14.16
2018-08-25 07:45:00,14.53
2018-08-25 08:00:00,14.63
2018-08-25 08:15:00,15.38
2018-08-25 08:30:00,16.05
2018-08-25 08:45:00,16.5
2018-08-25 09:00:00,16.38
2018-08-25 09:15:00,17.05
2018-08-25 09:30:00,17.51
2018-08-25 09:45:00,17.14
2018-08-25 10:00:00,16.97
2018-08-25 10:15:00,17.23
2018-08-25 10:30:00,17.14
2018-08-25 10:45:00,15.83
2018-08-25 11:00:00,18.12
2018-08-25 11:15:00,18.73
2018-08-25 11:30:00,17.07
2018-08-25 11:45:00,16.86
2018-08-25 12:00:00,20.59
2018-08-25 12:15:00,20.4
2018-08-25 12:30:00,20.33
2018-08-25 12:45:00,28.58
2018-08-25 13:00:00,32.46
2018-08-25 13:15:00,34.55
2018-08-25 13:30:00,35.85
2018-08-25 13:45:00,37.26
2018-08-25 14:00:00,37.37
2018-08-25 14:15:00,37.6
2018-08-25 14:30:00,38.25
2018-08-25 14:45:00,38.61
2018-08-25 15:00:00,38.66
2018-08-25 15:15:00,39.42
2018-08-25 15:30:00,39.79
2018-08-25 15:45:00,41.61
2018-08-25 16:00:00,41.98
2018-08-25 16:15:00,41.81
2018-08-25 16:30:00,40.02
2018-08-25 16:45:00,39.52
2018-08-25 17:00:00,39.1
2018-08-25 17:15:00,38.91
2018-08-25 17:30:00,36.49
2018-08-25 17:45:00,35.54
2018-08-25 18:00:00,34.06
2018-08-25 18:15:00,32.76
2018-08-25 18:30:00,32.29
2018-08-25 18:45:00,30.46
2018-08-25 19:00:00,29.23
