Date,Value,s&pValue
2010-12-01,10000.0,10000.0
2010-12-02,9926.329007999997,10128.185625147815
2010-12-03,9921.727805999997,10154.551691316252
2010-12-04,9914.293313999997,10154.551691316252
2010-12-05,10005.626608000004,10154.551691316252
2010-12-06,10146.481220000009,10141.368658232033
2010-12-07,10308.466074000013,10146.592277327172
2010-12-08,10308.466074000013,10184.15252841397
2010-12-09,10275.845090000012,10223.287663284498
2010-12-10,10344.750200000011,10284.644171043792
2010-12-11,14531.65152000001,10284.644171043792
2010-12-12,14531.537890000007,10284.644171043792
2010-12-13,14915.439808000006,10285.141132270615
2010-12-14,14915.439808000006,10294.51044790399
2010-12-15,14904.05224400001,10241.77730401716
2010-12-16,14923.776902000007,10305.123671492267
2010-12-17,14818.895460000007,10313.747043656123
2010-12-18,14928.819564000007,10313.747043656123
2010-12-19,15003.42473200001,10313.747043656123
2010-12-20,15009.42245800001,10340.030112979866
2010-12-21,15009.42245800001,10402.381554742762
2010-12-22,15098.897496000012,10437.536978473056
2010-12-23,15272.592882000012,10420.374242539992
2010-12-24,15366.863638000017,10420.374242539992
2010-12-25,15366.863638000017,10420.374242539992
2010-12-26,15394.840526000016,10420.374242539992
2010-12-27,15498.465340000012,10426.758772745341
2010-12-28,15509.809234000017,10434.801183579115
2010-12-29,15508.980756000017,10445.331410322699
2010-12-30,15512.000004000018,10429.577564483976
2010-12-31,15533.723310000018,10427.587713059555
2011-01-01,15403.218368000009,10427.587713059555
2011-01-02,15403.218368000009,10427.587713059555
2011-01-03,15450.693394000009,10545.574070709827
2011-01-04,15458.41212000001,10531.727079450831
2011-01-05,15460.607896000007,10584.461234887614
2011-01-06,16847.63053800001,10561.990871464763
2011-01-07,16660.008288000008,10542.5062967285
2011-01-08,21954.852566000005,10542.5062967285
2011-01-09,21954.695848000007,10542.5062967285
2011-01-10,21954.261034000006,10527.99635884468
2011-01-11,21954.261034000006,10567.214482268511
2011-01-12,22160.517422000004,10662.399517249889
2011-01-13,22160.517422000004,10644.158858759922
2011-01-14,22158.21936200001,10722.761099296973
2011-01-15,22158.21936200001,10722.761099296973
2011-01-16,22152.09029000001,10722.761099296973
2011-01-17,22184.45702400001,10722.761099296973
2011-01-18,22203.31249200001,10737.520027714876
2011-01-19,22216.10075600001,10628.902977406586
2011-01-20,22330.83436600001,10615.138982992285
2011-01-21,22737.988494000016,10640.759105691204
2011-01-22,22728.25458400002,10640.759105691204
2011-01-23,22902.61516400002,10640.759105691204
2011-01-24,22983.72126800002,10702.861556920017
2011-01-25,22980.48953000002,10705.681360208606
2011-01-26,22987.057074000026,10750.869046197093
2011-01-27,23010.44475200002,10774.99728195698
2011-01-28,22816.570236000018,10582.636357311238
2011-01-29,22835.84978000002,10582.636357311238
2011-01-30,22822.99114000002,10582.636357311238
2011-01-31,22791.67325800001,10663.726422049489
2011-02-01,22799.14477400001,10841.742390950849
2011-02-02,22766.878936000005,10812.225553956388
2011-02-03,26601.168604,10837.67969125731
2011-02-04,26300.94219199999,10868.93840069206
2011-02-05,26216.599847999987,10868.93840069206
2011-02-06,26201.240485999984,10868.93840069206
2011-02-07,26198.763175999986,10936.762443792792
2011-02-08,26175.432053999986,10982.530079561406
2011-02-09,26858.101089999982,10951.935328301432
2011-02-10,26829.048453999974,10960.143724533204
2011-02-11,26840.566463999974,11020.505306580288
2011-02-12,26840.566463999974,11020.505306580288
2011-02-13,26840.566463999974,11020.505306580288
2011-02-14,26832.558723999977,11046.78837590403
2011-02-15,26850.10165799998,11011.053002393612
2011-02-16,26784.211755999986,11079.9539482099
2011-02-17,26826.86816599999,11114.032469224632
2011-02-18,26813.06071,11135.423898540625
2011-02-19,26800.171926000006,11135.423898540625
2011-02-20,26860.423564000004,11135.423898540625
2011-02-21,26825.759012,11135.423898540625
2011-02-22,26844.214228000008,10906.829619316293
2011-02-23,30344.741648000014,10840.167507167118
2011-02-24,30338.661718000014,10829.388298180842
2011-02-25,30332.294274000025,10943.643935224964
2011-02-26,30316.415552000028,10943.643935224964
2011-02-27,30346.88689000003,10943.643935224964
2011-02-28,30647.479722000026,11004.502478498871
2011-03-01,30830.54190800003,10831.29515276057
2011-03-02,30815.621500000034,10848.789867781019
2011-03-03,30867.666784000037,11035.595202535626
2011-03-04,30817.47187600004,10954.174161968547
2011-03-05,30811.03967800003,10954.174161968547
2011-03-06,30893.73322600004,10954.174161968547
2011-03-07,30958.10308800004,10862.802852729406
2011-03-08,30954.530552000033,10959.728748601121
2011-03-09,32928.06426600004,10944.804854626565
2011-03-10,32945.08364200005,10738.265962893001
2011-03-11,32960.81405600005,10814.298402225504
2011-03-12,33107.014542000055,10814.298402225504
2011-03-13,33261.7665460001,10814.298402225504
2011-03-14,33477.66125600009,10748.879194772671
2011-03-15,33516.046646000075,10628.488001474501
2011-03-16,33513.94787000007,10421.286171407508
2011-03-17,33548.55903000007,10560.912948907857
2011-03-18,33658.21579600006,10606.432613983734
2011-03-19,33794.918810000025,10606.432613983734
2011-03-20,33813.606414000016,10606.432613983734
2011-03-21,34018.36865800003,10765.378984080911
2011-03-22,34097.72613200002,10727.155786369292
2011-03-23,34212.94565800001,10758.414495804043
2011-03-24,34229.49987400002,10858.906138433866
2011-03-25,34601.21020600005,10893.232630141336
2011-03-26,37233.72182000005,10893.232630141336
2011-03-27,37463.59786000006,10893.232630141336
2011-03-28,37515.27479400006,10863.299805664838
2011-03-29,37508.56161000006,10939.995191622163
2011-03-30,37494.09138000005,11013.125850662727
2011-03-31,37494.09138000005,10992.977317751685
2011-04-01,37468.96988600005,11047.535330923502
2011-04-02,37516.578464000086,11047.535330923502
2011-04-03,37645.57597200007,11047.535330923502
2011-04-04,37585.19389000006,11051.349048374348
2011-04-05,37579.195966000065,11049.359196949925
2011-04-06,37559.54871200006,11073.487432709811
2011-04-07,37564.962158000075,11056.655664314183
2011-04-08,37565.58608200008,11012.37990719321
2011-04-09,37569.58500400008,11012.37990719321
2011-04-10,37587.34415000008,11012.37990719321
2011-04-11,39202.43706000007,10981.61815069389
2011-04-12,39327.30067000006,10896.217407277969
2011-04-13,39334.50596200007,10898.290255547086
2011-04-14,39339.692724000066,10899.202192705994
2011-04-15,41246.49676000006,10941.98606288793
2011-04-16,41260.19427600006,10941.98606288793
2011-04-17,41258.17280000005,10941.98606288793
2011-04-18,41314.622986000046,10821.428884191762
2011-04-19,41317.68213200006,10883.44833857588
2011-04-20,41377.450360000046,11030.537568838483
2011-04-21,41379.27392400005,11088.743314063147
2011-04-22,41397.23876800003,11088.743314063147
2011-04-23,41403.55844000002,11088.743314063147
2011-04-24,41407.20170200002,11088.743314063147
2011-04-25,41397.167084000015,11071.082605353306
2011-04-26,41371.18353400002,11170.49632542622
2011-04-27,41507.058433999984,11240.310219951372
2011-04-28,41484.650972,11280.27428684472
2011-04-29,41486.73549799998,11306.22638863103
2011-04-30,41460.42106999997,11306.22638863103
2011-05-01,41632.48915199997,11306.22638863103
2011-05-02,41643.276052,11286.409843098769
2011-05-03,41691.921604,11248.269633940452
2011-05-04,41673.88025800002,11171.159272051043
2011-05-05,41861.01480800002,11069.838697398402
2011-05-06,41879.74413000003,11112.12459480356
2011-05-07,41879.53348200003,11112.12459480356
2011-05-08,41885.490756000036,11112.12459480356
2011-05-09,41880.74542400004,11162.619908281837
2011-05-10,41877.607520000034,11252.747309566073
2011-05-11,41878.02510200002,11127.712455244284
2011-05-12,41888.913762000026,11182.187471571406
2011-05-13,41887.71129400002,11091.977081733865
2011-05-14,41980.110514000036,11091.977081733865
2011-05-15,43940.28589600005,11091.977081733865
2011-05-16,45316.93595400005,11023.158112920924
2011-05-17,45397.75072600004,11019.095404935993
2011-05-18,45381.30727200004,11116.10531749375
2011-05-19,45393.47533600003,11140.315538548375
2011-05-20,45401.89102800003,11054.66581288976
2011-05-21,48878.15932600002,11054.66581288976
2011-05-22,48911.29151400001,11054.66581288976
2011-05-23,48943.92282400001,10922.8324556891
2011-05-24,48948.03463800001,10913.795119143115
2011-05-25,49028.75032000001,10948.535575232716
2011-05-26,49047.59592400001,10991.816398350085
2011-05-27,49063.17114000001,11036.673125092531
2011-05-28,49106.36184800002,11036.673125092531
2011-05-29,49959.39857600003,11036.673125092531
2011-05-30,49959.20176600003,11036.673125092531
2011-05-31,49933.63219800002,11153.581560185898
