Date,Value,s&pValue
2010-12-01,10000.0,10000.0
2010-12-02,9684.469449999997,10128.185625147815
2010-12-03,9548.91604999999,10154.551691316252
2010-12-04,9575.06089999999,10154.551691316252
2010-12-05,9649.210889999991,10154.551691316252
2010-12-06,9942.61401999999,10141.368658232033
2010-12-07,9935.546459999992,10146.592277327172
2010-12-08,9923.692949999991,10184.15252841397
2010-12-09,9707.122249999997,10223.287663284498
2010-12-10,9538.11167999999,10284.644171043792
2010-12-11,9693.561669999992,10284.644171043792
2010-12-12,9815.962649999989,10284.644171043792
2010-12-13,9324.158019999992,10285.141132270615
2010-12-14,9285.793509999994,10294.51044790399
2010-12-15,9120.511559999999,10241.77730401716
2010-12-16,9130.440069999997,10305.123671492267
2010-12-17,10310.190479999996,10313.747043656123
2010-12-18,10863.229350000009,10313.747043656123
2010-12-19,11211.132330000004,10313.747043656123
2010-12-20,11311.147330000013,10340.030112979866
2010-12-21,11254.768290000016,10402.381554742762
2010-12-22,11388.63937000001,10437.536978473056
2010-12-23,12186.062360000005,10420.374242539992
2010-12-24,12804.495000000004,10420.374242539992
2010-12-25,12720.700639999995,10420.374242539992
2010-12-26,12808.244689999996,10420.374242539992
2010-12-27,13134.001249999998,10426.758772745341
2010-12-28,13059.603999999996,10434.801183579115
2010-12-29,13011.536029999996,10445.331410322699
2010-12-30,13024.64894,10429.577564483976
2010-12-31,12889.066639999992,10427.587713059555
2011-01-01,12787.27472999999,10427.587713059555
2011-01-02,12676.064319999989,10427.587713059555
2011-01-03,12622.504949999988,10545.574070709827
2011-01-04,12580.407059999983,10531.727079450831
2011-01-05,12470.740089999981,10584.461234887614
2011-01-06,12697.12378999998,10561.990871464763
2011-01-07,12636.460499999976,10542.5062967285
2011-01-08,25079.393819999965,10542.5062967285
2011-01-09,25043.452709999958,10542.5062967285
2011-01-10,24756.946099999957,10527.99635884468
2011-01-11,24905.03004999996,10567.214482268511
2011-01-12,24577.27298999996,10662.399517249889
2011-01-13,24505.963039999955,10644.158858759922
2011-01-14,27074.22807999995,10722.761099296973
2011-01-15,26818.728369999946,10722.761099296973
2011-01-16,26957.42996999995,10722.761099296973
2011-01-17,26956.308279999957,10722.761099296973
2011-01-18,26926.06667999996,10737.520027714876
2011-01-19,27067.91599999996,10628.902977406586
2011-01-20,26821.14994999997,10615.138982992285
2011-01-21,26588.397839999976,10640.759105691204
2011-01-22,27039.282109999982,10640.759105691204
2011-01-23,27502.501999999986,10640.759105691204
2011-01-24,27252.95306999997,10702.861556920017
2011-01-25,27287.42858999997,10705.681360208606
2011-01-26,27436.04952999997,10750.869046197093
2011-01-27,27360.88494999997,10774.99728195698
2011-01-28,27377.02186999997,10582.636357311238
2011-01-29,27510.45467999997,10582.636357311238
2011-01-30,27263.906049999965,10582.636357311238
2011-01-31,27091.795189999964,10663.726422049489
2011-02-01,27178.437549999962,10841.742390950849
2011-02-02,27335.35177999996,10812.225553956388
2011-02-03,27858.16322999997,10837.67969125731
2011-02-04,28245.724469999972,10868.93840069206
2011-02-05,27867.407769999973,10868.93840069206
2011-02-06,28507.42679999996,10868.93840069206
2011-02-07,28610.265859999952,10936.762443792792
2011-02-08,28287.394409999957,10982.530079561406
2011-02-09,28344.980559999953,10951.935328301432
2011-02-10,28121.55021999995,10960.143724533204
2011-02-11,28244.19208999995,11020.505306580288
2011-02-12,27872.87307999995,11020.505306580288
2011-02-13,27812.525619999928,11020.505306580288
2011-02-14,27816.667569999932,11046.78837590403
2011-02-15,27605.692099999917,11011.053002393612
2011-02-16,27668.026969999915,11079.9539482099
2011-02-17,27594.7281399999,11114.032469224632
2011-02-18,27541.081889999896,11135.423898540625
2011-02-19,27562.281429999883,11135.423898540625
2011-02-20,27548.065069999877,11135.423898540625
2011-02-21,27292.955499999884,11135.423898540625
2011-02-22,27426.30131999988,10906.829619316293
2011-02-23,27553.87237999987,10840.167507167118
2011-02-24,27548.532259999858,10829.388298180842
2011-02-25,27730.119189999867,10943.643935224964
2011-02-26,27674.980199999864,10943.643935224964
2011-02-27,27561.854109999847,10943.643935224964
2011-02-28,28613.75678999985,11004.502478498871
2011-03-01,28530.291959999857,10831.29515276057
2011-03-02,28618.336639999863,10848.789867781019
2011-03-03,28550.182649999868,11035.595202535626
2011-03-04,28877.449609999865,10954.174161968547
2011-03-05,28646.699139999862,10954.174161968547
2011-03-06,28780.713239999885,10954.174161968547
2011-03-07,28931.314649999884,10862.802852729406
2011-03-08,28923.146739999887,10959.728748601121
2011-03-09,38480.674889999886,10944.804854626565
2011-03-10,38353.66028999989,10738.265962893001
2011-03-11,38244.80733999991,10814.298402225504
2011-03-12,38642.913429999935,10814.298402225504
2011-03-13,39092.51658999991,10814.298402225504
2011-03-14,39234.604879999926,10748.879194772671
2011-03-15,39499.817399999905,10628.488001474501
2011-03-16,39498.912809999885,10421.286171407508
2011-03-17,39592.954099999915,10560.912948907857
2011-03-18,39813.996129999934,10606.432613983734
2011-03-19,39872.14993999994,10606.432613983734
2011-03-20,39839.15552999994,10606.432613983734
2011-03-21,40514.88311999993,10765.378984080911
2011-03-22,40730.23977999993,10727.155786369292
2011-03-23,40623.25335999993,10758.414495804043
2011-03-24,40933.02632999992,10858.906138433866
2011-03-25,42480.10418999993,10893.232630141336
2011-03-26,42563.058629999934,10893.232630141336
2011-03-27,42585.07534999991,10893.232630141336
2011-03-28,42696.778269999886,10863.299805664838
2011-03-29,42678.022119999914,10939.995191622163
2011-03-30,42509.6557499999,11013.125850662727
2011-03-31,42514.0226999999,10992.977317751685
2011-04-01,42593.52809999989,11047.535330923502
2011-04-02,42761.399339999865,11047.535330923502
2011-04-03,42985.79172999985,11047.535330923502
2011-04-04,42887.142309999865,11051.349048374348
2011-04-05,45397.09221999988,11049.359196949925
2011-04-06,45432.44175999989,11073.487432709811
2011-04-07,45405.350329999885,11056.655664314183
2011-04-08,45266.85789999987,11012.37990719321
2011-04-09,45241.40352999987,11012.37990719321
2011-04-10,45410.41820999988,11012.37990719321
