Date,Value,s&pValue
2010-12-01,10000.0,10000.0
2010-12-02,9685.219380000004,10128.185625147815
2010-12-03,9628.444740000004,10154.551691316252
2010-12-04,9707.49794,10154.551691316252
2010-12-05,9800.900390000008,10154.551691316252
2010-12-06,9887.557080000008,10141.368658232033
2010-12-07,9892.961800000006,10146.592277327172
2010-12-08,9822.755580000008,10184.15252841397
2010-12-09,11211.826940000015,10223.287663284498
2010-12-10,11199.852200000012,10284.644171043792
2010-12-11,11352.486620000012,10284.644171043792
2010-12-12,11156.44948000001,10284.644171043792
2010-12-13,11092.461190000007,10285.141132270615
2010-12-14,11057.724540000005,10294.51044790399
2010-12-15,11089.101430000004,10241.77730401716
2010-12-16,11093.57789,10305.123671492267
2010-12-17,11622.124630000002,10313.747043656123
2010-12-18,13262.794660000005,10313.747043656123
2010-12-19,12929.392380000007,10313.747043656123
2010-12-20,12901.19078000001,10340.030112979866
2010-12-21,12841.510580000013,10402.381554742762
2010-12-22,12997.058040000009,10437.536978473056
2010-12-23,13728.736470000014,10420.374242539992
2010-12-24,14362.574620000018,10420.374242539992
2010-12-25,14354.03178000001,10420.374242539992
2010-12-26,14599.30557000001,10420.374242539992
2010-12-27,14454.349480000012,10426.758772745341
2010-12-28,14552.988290000014,10434.801183579115
2010-12-29,14485.431300000013,10445.331410322699
2010-12-30,14534.848960000014,10429.577564483976
2010-12-31,14609.046700000017,10427.587713059555
2011-01-01,14744.576800000017,10427.587713059555
2011-01-02,14714.060360000012,10427.587713059555
2011-01-03,14620.958670000013,10545.574070709827
2011-01-04,14648.938060000011,10531.727079450831
2011-01-05,14521.355850000009,10584.461234887614
2011-01-06,14592.898820000013,10561.990871464763
2011-01-07,14650.896630000012,10542.5062967285
2011-01-08,14757.025480000013,10542.5062967285
2011-01-09,14490.820280000013,10542.5062967285
2011-01-10,14649.80616000001,10527.99635884468
2011-01-11,14406.877220000008,10567.214482268511
2011-01-12,14422.884750000007,10662.399517249889
2011-01-13,14538.706760000005,10644.158858759922
2011-01-14,14514.535290000007,10722.761099296973
2011-01-15,14462.267930000005,10722.761099296973
2011-01-16,14681.716690000007,10722.761099296973
2011-01-17,14681.385860000006,10722.761099296973
2011-01-18,14615.625030000005,10737.520027714876
2011-01-19,14751.987430000006,10628.902977406586
2011-01-20,14519.282160000012,10615.138982992285
2011-01-21,14582.200300000011,10640.759105691204
2011-01-22,14941.248810000006,10640.759105691204
2011-01-23,14937.682280000005,10640.759105691204
2011-01-24,14758.566580000008,10702.861556920017
2011-01-25,14742.293120000006,10705.681360208606
2011-01-26,14898.464910000012,10750.869046197093
2011-01-27,14905.447640000008,10774.99728195698
2011-01-28,14904.597320000004,10582.636357311238
2011-01-29,15025.534160000005,10582.636357311238
2011-01-30,14877.254150000002,10582.636357311238
2011-01-31,14587.119100000005,10663.726422049489
2011-02-01,14781.075460000005,10841.742390950849
2011-02-02,14902.176809999995,10812.225553956388
2011-02-03,14902.176809999995,10837.67969125731
2011-02-04,14902.176809999995,10868.93840069206
2011-02-05,14902.176809999995,10868.93840069206
2011-02-06,14481.131329999998,10868.93840069206
2011-02-07,14372.33406,10936.762443792792
2011-02-08,14171.997309999995,10982.530079561406
2011-02-09,14123.291269999994,10951.935328301432
2011-02-10,13929.195949999998,10960.143724533204
2011-02-11,14096.998689999995,11020.505306580288
2011-02-12,13772.664869999995,11020.505306580288
2011-02-13,13694.131759999986,11020.505306580288
2011-02-14,13651.921949999984,11046.78837590403
2011-02-15,13587.266299999983,11011.053002393612
2011-02-16,13946.124659999989,11079.9539482099
2011-02-17,14111.142389999985,11114.032469224632
2011-02-18,14014.405089999987,11135.423898540625
2011-02-19,14218.409939999989,11135.423898540625
2011-02-20,14221.29184999998,11135.423898540625
2011-02-21,14038.371689999984,11135.423898540625
2011-02-22,14228.682119999981,10906.829619316293
2011-02-23,14338.363909999984,10840.167507167118
2011-02-24,14329.489849999984,10829.388298180842
2011-02-25,14294.609009999984,10943.643935224964
2011-02-26,14440.598739999983,10943.643935224964
2011-02-27,14352.065669999984,10943.643935224964
2011-02-28,16011.13962999998,11004.502478498871
2011-03-01,17037.004199999974,10831.29515276057
2011-03-02,17231.105549999982,10848.789867781019
2011-03-03,17530.96737999997,11035.595202535626
2011-03-04,18157.976369999968,10954.174161968547
2011-03-05,18215.73295999996,10954.174161968547
2011-03-06,18765.60937999996,10954.174161968547
2011-03-07,19065.86536999996,10862.802852729406
2011-03-08,19050.34237999996,10959.728748601121
2011-03-09,28926.703929999952,10944.804854626565
2011-03-10,28923.982299999952,10738.265962893001
2011-03-11,28772.662359999937,10814.298402225504
2011-03-12,29383.48578999995,10814.298402225504
2011-03-13,30317.15538999996,10814.298402225504
2011-03-14,30309.731459999963,10748.879194772671
2011-03-15,30683.72937999996,10628.488001474501
2011-03-16,30685.93838999996,10421.286171407508
2011-03-17,30863.79860999995,10560.912948907857
2011-03-18,31261.421219999953,10606.432613983734
2011-03-19,31696.828089999955,10606.432613983734
2011-03-20,32106.680719999946,10606.432613983734
2011-03-21,33256.25968999993,10765.378984080911
2011-03-22,33524.35980999995,10727.155786369292
2011-03-23,33718.08899999996,10758.414495804043
2011-03-24,33948.32519999995,10858.906138433866
2011-03-25,35755.440109999974,10893.232630141336
2011-03-26,36080.52051999996,10893.232630141336
2011-03-27,36164.38268999996,10893.232630141336
2011-03-28,36376.99759999994,10863.299805664838
2011-03-29,36511.869129999934,10939.995191622163
2011-03-30,36482.170679999916,11013.125850662727
2011-03-31,36528.79296999993,10992.977317751685
2011-04-01,36572.906909999954,11047.535330923502
2011-04-02,36846.59086999996,11047.535330923502
2011-04-03,37223.68069999995,11047.535330923502
2011-04-04,37009.45708999997,11051.349048374348
2011-04-05,37694.660439999985,11049.359196949925
2011-04-06,37790.5153,11073.487432709811
2011-04-07,37769.663189999985,11056.655664314183
2011-04-08,37781.109460000014,11012.37990719321
2011-04-09,37840.33920000003,11012.37990719321
2011-04-10,37960.64357000005,11012.37990719321
2011-04-11,38210.50259000004,10981.61815069389
2011-04-12,38956.175980000036,10896.217407277969
2011-04-13,39005.900460000026,10898.290255547086
2011-04-14,38988.13589000005,10899.202192705994
2011-04-15,39174.69122000005,10941.98606288793
2011-04-16,39257.11960000004,10941.98606288793
2011-04-17,39322.88996000003,10941.98606288793
2011-04-18,39583.557720000026,10821.428884191762
2011-04-19,39615.69738000003,10883.44833857588
2011-04-20,39616.632780000036,11030.537568838483
2011-04-21,39686.865960000025,11088.743314063147
2011-04-22,39688.84655000002,11088.743314063147
2011-04-23,39691.995189999994,11088.743314063147
2011-04-24,39658.97753000002,11088.743314063147
2011-04-25,39733.38543000003,11071.082605353306
2011-04-26,43413.80103000004,11170.49632542622
2011-04-27,48926.89407000004,11240.310219951372
2011-04-28,49214.945050000046,11280.27428684472
2011-04-29,49335.57382000003,11306.22638863103
2011-04-30,49285.990470000026,11306.22638863103
2011-05-01,49646.82227000004,11306.22638863103
2011-05-02,50014.04831000003,11286.409843098769
2011-05-03,50106.15949000003,11248.269633940452
2011-05-04,50813.51009000002,11171.159272051043
2011-05-05,50975.48312000001,11069.838697398402
2011-05-06,51261.58511000002,11112.12459480356
2011-05-07,51305.50191000004,11112.12459480356
2011-05-08,51385.94234000001,11112.12459480356
2011-05-09,51456.58314999999,11162.619908281837
2011-05-10,51371.57204,11252.747309566073
2011-05-11,51331.24627999999,11127.712455244284
2011-05-12,51339.88117999999,11182.187471571406
2011-05-13,51353.69378999998,11091.977081733865
2011-05-14,51532.60369999997,11091.977081733865
2011-05-15,51551.93721999998,11091.977081733865
2011-05-16,51464.12066999998,11023.158112920924
2011-05-17,51463.36102999997,11019.095404935993
2011-05-18,51406.405979999974,11116.10531749375
2011-05-19,51723.81910999994,11140.315538548375
2011-05-20,51632.60755999994,11054.66581288976
2011-05-21,51986.31412999994,11054.66581288976
2011-05-22,52225.06210999996,11054.66581288976
2011-05-23,52841.75319999996,10922.8324556891
2011-05-24,52920.43453999998,10913.795119143115
2011-05-25,53104.90547999999,10948.535575232716
2011-05-26,53043.34378999998,10991.816398350085
2011-05-27,53546.67070999999,11036.673125092531
2011-05-28,54519.70331,11036.673125092531
2011-05-29,55210.49497000001,11036.673125092531
2011-05-30,54997.07912000001,11036.673125092531
2011-05-31,55014.57240000001,11153.581560185898
2011-06-01,55037.99449999999,10899.451174948686
2011-06-02,55136.45481000001,10886.101136625124
2011-06-03,55089.12302000002,10780.137904207424
2011-06-04,55167.05095000001,10780.137904207424
2011-06-05,55158.66916000001,10780.137904207424
2011-06-06,55107.99522000002,10664.141397981573
2011-06-07,55187.696790000016,10653.942130484033
2011-06-08,55385.86411000003,10609.335414117018
2011-06-09,55863.23414000004,10687.605675566681
2011-06-10,55678.48276000006,10538.194606500874
2011-06-11,55992.332940000066,10538.194606500874
2011-06-12,56006.15419000007,10538.194606500874
2011-06-13,56037.594080000075,10545.242091622438
2011-06-14,56997.27739000005,10678.236359933308
2011-06-15,56855.42525000005,10492.094991644872
2011-06-16,56914.332910000056,10510.50164382423
2011-06-17,57065.607520000056,10542.5062967285
2011-06-18,57081.33272000007,10542.5062967285
2011-06-19,57063.45236000005,10542.5062967285
2011-06-20,57121.15025000004,10599.38512886217
2011-06-21,57471.53691000002,10741.665724253111
2011-06-22,57159.95690000003,10672.183808815347
2011-06-23,57398.78356000001,10642.00301364611
2011-06-24,57509.27018000001,10517.217141567013
2011-06-25,57625.19387,10517.217141567013
2011-06-26,57733.75651000001,10517.217141567013
2011-06-27,57735.81899,10613.812078192686
2011-06-28,58165.21001,10751.201025284483
2011-06-29,57854.14992999999,10840.250504011814
2011-06-30,57845.78313999999,10949.94547687701
2011-07-01,57782.31594999999,11107.730927572587
2011-07-02,58127.46584999997,11107.730927572587
2011-07-03,57845.048539999974,11107.730927572587
2011-07-04,57890.96841999996,11107.730927572587
2011-07-05,57876.68605999996,11092.88901060138
2011-07-06,57875.86112999996,11103.999195416482
2011-07-07,57895.13930999997,11220.078698487028
2011-07-08,57931.96202999997,11141.974422435364
2011-07-09,58114.96074999996,11141.974422435364
2011-07-10,58172.36508999996,11141.974422435364
2011-07-11,58148.25072999996,10940.410167554246
2011-07-12,58139.63415999996,10891.905725341738
2011-07-13,58519.48263999993,10925.73424427243
2011-07-14,58545.04339999993,10852.355614539127
2011-07-15,58227.36257999995,10912.634208032907
2011-07-16,58544.845829999955,10912.634208032907
2011-07-17,58211.72249999994,10912.634208032907
2011-07-18,58283.77782999995,10823.915688551617
2011-07-19,58632.31671999995,11000.439770513942
2011-07-20,58292.29795999995,10993.060314596381
2011-07-21,58574.71690999995,11141.974422435364
2011-07-22,58299.23644999995,11152.089681538255
2011-07-23,58295.80671999997,11152.089681538255
2011-07-24,58295.07784999996,11152.089681538255
2011-07-25,58255.60735999996,11089.15828999523
2011-07-26,58247.08855999997,11043.637605078007
2011-07-27,58214.41558999997,10819.356035922647
2011-07-28,58196.74443999997,10784.366597590353
2011-07-29,58477.21638999997,10714.801685307893
2011-07-30,58215.03601999997,10714.801685307893
