Date,Value,s&pValue
2010-12-01,10000.0,10000.0
2010-12-02,9920.277343999998,10128.185625147815
2010-12-03,9897.317328000003,10154.551691316252
2010-12-04,9896.310622000006,10154.551691316252
2010-12-05,9868.243888000008,10154.551691316252
2010-12-06,10002.032182000012,10141.368658232033
2010-12-07,10156.634576000013,10146.592277327172
2010-12-08,10063.06094200001,10184.15252841397
2010-12-09,10103.94618400001,10223.287663284498
2010-12-10,10090.169470000006,10284.644171043792
2010-12-11,14243.006152000005,10284.644171043792
2010-12-12,14229.829000000002,10284.644171043792
2010-12-13,13983.775256,10285.141132270615
2010-12-14,13976.381424,10294.51044790399
2010-12-15,13952.774763999994,10241.77730401716
2010-12-16,13977.379645999992,10305.123671492267
2010-12-17,13926.276657999993,10313.747043656123
2010-12-18,14057.828089999988,10313.747043656123
2010-12-19,14058.08281999999,10313.747043656123
2010-12-20,14057.49874599999,10340.030112979866
2010-12-21,14049.207833999988,10402.381554742762
2010-12-22,14123.723633999984,10437.536978473056
2010-12-23,14276.701759999984,10420.374242539992
2010-12-24,14380.785653999988,10420.374242539992
2010-12-25,14375.690999999986,10420.374242539992
2010-12-26,14375.735669999987,10420.374242539992
2010-12-27,14444.032609999986,10426.758772745341
2010-12-28,14457.184673999987,10434.801183579115
2010-12-29,14452.925863999988,10445.331410322699
2010-12-30,14458.697865999993,10429.577564483976
2010-12-31,14474.78578399999,10427.587713059555
2011-01-01,14369.51247999999,10427.587713059555
2011-01-02,14347.224501999992,10427.587713059555
2011-01-03,14311.68277999999,10545.574070709827
2011-01-04,14311.452469999993,10531.727079450831
2011-01-05,14269.025169999995,10584.461234887614
2011-01-06,14073.284317999995,10561.990871464763
2011-01-07,13849.704979999995,10542.5062967285
2011-01-08,19155.91391399999,10542.5062967285
2011-01-09,19150.42665199999,10542.5062967285
2011-01-10,19146.111083999996,10527.99635884468
2011-01-11,19136.214536,10567.214482268511
2011-01-12,19155.20911400001,10662.399517249889
2011-01-13,19120.60410800001,10644.158858759922
2011-01-14,19082.74949400001,10722.761099296973
2011-01-15,19066.62317600001,10722.761099296973
2011-01-16,19040.43312000002,10722.761099296973
2011-01-17,19060.846728000033,10722.761099296973
2011-01-18,18983.269430000033,10737.520027714876
2011-01-19,18979.451104000025,10628.902977406586
2011-01-20,18957.59394400002,10615.138982992285
2011-01-21,18806.521134000017,10640.759105691204
2011-01-22,18911.232768000038,10640.759105691204
2011-01-23,19061.129056000038,10640.759105691204
2011-01-24,19049.844820000028,10702.861556920017
2011-01-25,19679.666820000035,10705.681360208606
2011-01-26,19688.81216800004,10750.869046197093
2011-01-27,19681.538306000035,10774.99728195698
2011-01-28,19438.864280000038,10582.636357311238
2011-01-29,19433.111946000023,10582.636357311238
2011-01-30,19420.01793200003,10582.636357311238
2011-01-31,19389.131900000033,10663.726422049489
2011-02-01,19386.017840000033,10841.742390950849
2011-02-02,20025.578442000042,10812.225553956388
2011-02-03,21439.81168200004,10837.67969125731
2011-02-04,21152.035786000037,10868.93840069206
2011-02-05,21099.780012000032,10868.93840069206
2011-02-06,21065.561120000035,10868.93840069206
2011-02-07,21060.853408000043,10936.762443792792
2011-02-08,21004.586528000036,10982.530079561406
2011-02-09,20817.847404000026,10951.935328301432
2011-02-10,20766.013560000032,10960.143724533204
2011-02-11,20700.715394000028,11020.505306580288
2011-02-12,20692.764166000023,11020.505306580288
2011-02-13,20691.832594000032,11020.505306580288
2011-02-14,20682.875744000037,11046.78837590403
2011-02-15,21096.19612400003,11011.053002393612
2011-02-16,21941.486030000047,11079.9539482099
2011-02-17,22090.493096000053,11114.032469224632
2011-02-18,22464.890858000053,11135.423898540625
2011-02-19,22453.495852000055,11135.423898540625
2011-02-20,22470.27441000006,11135.423898540625
2011-02-21,22456.748456000052,11135.423898540625
2011-02-22,22763.637458000067,10906.829619316293
2011-02-23,22730.352894000072,10840.167507167118
2011-02-24,22714.19133400007,10829.388298180842
2011-02-25,22710.33314800006,10943.643935224964
2011-02-26,22700.001286000064,10943.643935224964
2011-02-27,22675.63780000007,10943.643935224964
2011-02-28,23045.940376000068,11004.502478498871
2011-03-01,23812.531374000064,10831.29515276057
2011-03-02,23772.443638000062,10848.789867781019
2011-03-03,23773.81823800006,11035.595202535626
2011-03-04,23672.345870000077,10954.174161968547
2011-03-05,23654.782220000077,10954.174161968547
2011-03-06,23794.163910000083,10954.174161968547
2011-03-07,23846.456578000078,10862.802852729406
2011-03-08,23840.718606000068,10959.728748601121
2011-03-09,25808.581416000063,10944.804854626565
2011-03-10,25797.322166000053,10738.265962893001
2011-03-11,25798.90921400005,10814.298402225504
2011-03-12,25941.439702000054,10814.298402225504
2011-03-13,26093.153390000058,10814.298402225504
2011-03-14,26088.049194000057,10748.879194772671
2011-03-15,26118.12202200008,10628.488001474501
2011-03-16,26128.26495600008,10421.286171407508
2011-03-17,26168.676528000084,10560.912948907857
2011-03-18,26236.711520000088,10606.432613983734
2011-03-19,26355.254378000067,10606.432613983734
2011-03-20,26365.995564000063,10606.432613983734
2011-03-21,26566.207314000072,10765.378984080911
2011-03-22,26625.10483000007,10727.155786369292
2011-03-23,26491.93629200006,10758.414495804043
2011-03-24,26427.797664000067,10858.906138433866
2011-03-25,26792.95580400006,10893.232630141336
2011-03-26,29308.774050000062,10893.232630141336
2011-03-27,29502.25312200008,10893.232630141336
2011-03-28,29507.57080200008,10863.299805664838
2011-03-29,29481.558762000084,10939.995191622163
2011-03-30,29453.629170000084,11013.125850662727
2011-03-31,29454.602548000083,10992.977317751685
2011-04-01,29414.962532000096,11047.535330923502
2011-04-02,29457.291676000088,11047.535330923502
2011-04-03,29520.226760000096,11047.535330923502
2011-04-04,29441.324084000094,11051.349048374348
2011-04-05,29443.5540440001,11049.359196949925
2011-04-06,29438.9351540001,11073.487432709811
2011-04-07,29429.771846000098,11056.655664314183
2011-04-08,29423.252620000098,11012.37990719321
2011-04-09,29439.686738000102,11012.37990719321
2011-04-10,29438.979392000114,11012.37990719321
2011-04-11,29469.036946000124,10981.61815069389
2011-04-12,29550.53868200012,10896.217407277969
2011-04-13,29530.19648200013,10898.290255547086
2011-04-14,29543.33857200012,10899.202192705994
2011-04-15,29540.804666000124,10941.98606288793
2011-04-16,29549.80865800012,10941.98606288793
2011-04-17,29548.628628000133,10941.98606288793
2011-04-18,29597.623836000133,10821.428884191762
2011-04-19,29583.905934000126,10883.44833857588
2011-04-20,29598.078024000126,11030.537568838483
2011-04-21,29643.346388000133,11088.743314063147
2011-04-22,29585.732450000138,11088.743314063147
2011-04-23,29591.839882000142,11088.743314063147
2011-04-24,29615.460278000148,11088.743314063147
2011-04-25,29598.603050000125,11071.082605353306
2011-04-26,31449.846154000137,11170.49632542622
2011-04-27,31555.686404000167,11240.310219951372
2011-04-28,32018.612366000165,11280.27428684472
2011-04-29,32010.75790200016,11306.22638863103
2011-04-30,31988.742522000168,11306.22638863103
2011-05-01,32016.011730000177,11306.22638863103
2011-05-02,32133.196634000175,11286.409843098769
2011-05-03,32130.15639400018,11248.269633940452
2011-05-04,32126.68053800017,11171.159272051043
2011-05-05,32165.186080000167,11069.838697398402
2011-05-06,32207.17711000016,11112.12459480356
2011-05-07,32210.625422000165,11112.12459480356
2011-05-08,32207.79229200017,11112.12459480356
2011-05-09,32209.002442000176,11162.619908281837
2011-05-10,32200.30663200017,11252.747309566073
2011-05-11,32204.577420000172,11127.712455244284
2011-05-12,32207.326042000164,11182.187471571406
2011-05-13,32209.76202600017,11091.977081733865
2011-05-14,32469.160664000163,11091.977081733865
2011-05-15,32458.02312400016,11091.977081733865
2011-05-16,33828.73652400016,11023.158112920924
2011-05-17,33862.88100000018,11019.095404935993
2011-05-18,33831.5825120002,11116.10531749375
2011-05-19,33916.787296000184,11140.315538548375
2011-05-20,33907.970296000174,11054.66581288976
