Date,Value,s&pValue
2010-12-01,10000.0,10000.0
2010-12-02,9919.659539999997,10128.185625147815
2010-12-03,9876.327596000003,10154.551691316252
2010-12-04,9866.197668000012,10154.551691316252
2010-12-05,9882.019230000004,10154.551691316252
2010-12-06,9889.965830000003,10141.368658232033
2010-12-07,10083.540316000004,10146.592277327172
2010-12-08,10049.362480000009,10184.15252841397
2010-12-09,10332.426784000012,10223.287663284498
2010-12-10,10280.203286000013,10284.644171043792
2010-12-11,14495.724538000011,10284.644171043792
2010-12-12,14522.201272000013,10284.644171043792
2010-12-13,14534.239290000018,10285.141132270615
2010-12-14,14529.573938000014,10294.51044790399
2010-12-15,14526.20046600002,10241.77730401716
2010-12-16,14527.521972000019,10305.123671492267
2010-12-17,14301.19155000002,10313.747043656123
2010-12-18,14393.471644000017,10313.747043656123
2010-12-19,14552.11750200002,10313.747043656123
2010-12-20,14540.366224000018,10340.030112979866
2010-12-21,14533.847316000014,10402.381554742762
2010-12-22,14459.889364000011,10437.536978473056
2010-12-23,14508.774986000013,10420.374242539992
2010-12-24,14584.391160000012,10420.374242539992
2010-12-25,14626.434044000012,10420.374242539992
2010-12-26,14575.983102000013,10420.374242539992
2010-12-27,14723.970414000005,10426.758772745341
2010-12-28,14724.812932000004,10434.801183579115
2010-12-29,14678.448108000004,10445.331410322699
2010-12-30,14703.545890000005,10429.577564483976
2010-12-31,14715.059982000002,10427.587713059555
2011-01-01,14613.799898,10427.587713059555
2011-01-02,14552.855330000002,10427.587713059555
2011-01-03,14626.549216000007,10545.574070709827
2011-01-04,14622.921214000005,10531.727079450831
2011-01-05,14531.952356000002,10584.461234887614
2011-01-06,14360.045446000006,10561.990871464763
2011-01-07,14213.521934000006,10542.5062967285
2011-01-08,17014.851310000002,10542.5062967285
2011-01-09,16987.637241999997,10542.5062967285
2011-01-10,16993.288662000006,10527.99635884468
2011-01-11,16971.97189,10567.214482268511
2011-01-12,17471.214407999993,10662.399517249889
2011-01-13,17515.894603999983,10644.158858759922
2011-01-14,17494.358827999993,10722.761099296973
2011-01-15,17472.058237999998,10722.761099296973
2011-01-16,17441.171956000006,10722.761099296973
2011-01-17,17434.698744000016,10722.761099296973
2011-01-18,17418.988913999998,10737.520027714876
2011-01-19,17435.323235999993,10628.902977406586
2011-01-20,17414.33749399998,10615.138982992285
2011-01-21,17277.929163999986,10640.759105691204
2011-01-22,17267.292401999992,10640.759105691204
2011-01-23,17486.172181999995,10640.759105691204
2011-01-24,17473.65481799999,10702.861556920017
2011-01-25,17483.982581999993,10705.681360208606
2011-01-26,17302.023301999998,10750.869046197093
2011-01-27,17231.433640000007,10774.99728195698
2011-01-28,17228.684376000016,10582.636357311238
2011-01-29,17212.19352000002,10582.636357311238
2011-01-30,17191.618068000003,10582.636357311238
2011-01-31,17123.244582,10663.726422049489
2011-02-01,17173.238812000007,10841.742390950849
2011-02-02,17014.676564000005,10812.225553956388
2011-02-03,19223.847850000006,10837.67969125731
2011-02-04,19024.376468000002,10868.93840069206
2011-02-05,19005.496456,10868.93840069206
2011-02-06,19054.06175400001,10868.93840069206
2011-02-07,19041.212760000017,10936.762443792792
2011-02-08,18993.866754000006,10982.530079561406
2011-02-09,18860.752724,10951.935328301432
