Date,Value,s&pValue
2010-12-01,10000.0,10000.0
2010-12-02,9679.36242,10128.185625147815
2010-12-03,10063.56465,10154.551691316252
2010-12-04,10302.391929999996,10154.551691316252
2010-12-05,10223.59836999999,10154.551691316252
2010-12-06,10315.79790999999,10141.368658232033
2010-12-07,11440.599379999996,10146.592277327172
2010-12-08,11464.410989999993,10184.15252841397
2010-12-09,11302.344789999992,10223.287663284498
2010-12-10,11463.47470999999,10284.644171043792
2010-12-11,32826.93950999997,10284.644171043792
2010-12-12,33098.17003999998,10284.644171043792
2010-12-13,32407.42114999998,10285.141132270615
2010-12-14,32392.11710999998,10294.51044790399
2010-12-15,32412.556409999976,10241.77730401716
2010-12-16,32451.712779999976,10305.123671492267
2010-12-17,30917.14866999998,10313.747043656123
2010-12-18,31501.857479999984,10313.747043656123
2010-12-19,31917.061919999996,10313.747043656123
2010-12-20,31857.64685,10340.030112979866
2010-12-21,31862.2391,10402.381554742762
2010-12-22,31934.08216,10437.536978473056
2010-12-23,31653.264380000004,10420.374242539992
2010-12-24,31550.810889999993,10420.374242539992
2010-12-25,31762.912460000003,10420.374242539992
2010-12-26,31602.99366,10420.374242539992
2010-12-27,32262.385239999985,10426.758772745341
2010-12-28,32254.640029999977,10434.801183579115
2010-12-29,32238.437489999986,10445.331410322699
2010-12-30,32197.250529999976,10429.577564483976
2010-12-31,32249.155759999965,10427.587713059555
2011-01-01,31424.277609999965,10427.587713059555
2011-01-02,31072.74356999997,10427.587713059555
2011-01-03,31461.912229999965,10545.574070709827
2011-01-04,31468.553479999966,10531.727079450831
2011-01-05,31155.73806999997,10584.461234887614
2011-01-06,37795.753929999984,10561.990871464763
2011-01-07,36596.54682999998,10542.5062967285
2011-01-08,50741.66984999997,10542.5062967285
2011-01-09,50693.13544999997,10542.5062967285
2011-01-10,50657.57947999995,10527.99635884468
2011-01-11,50527.59017999994,10567.214482268511
2011-01-12,51164.75350999993,10662.399517249889
2011-01-13,55714.20676999995,10644.158858759922
2011-01-14,73158.94223999996,10722.761099296973
2011-01-15,73054.13975999995,10722.761099296973
2011-01-16,73043.1947,10722.761099296973
2011-01-17,72920.37445000003,10722.761099296973
2011-01-18,73030.77697000004,10737.520027714876
2011-01-19,72903.04903000002,10628.902977406586
2011-01-20,72841.06371,10615.138982992285
2011-01-21,74078.12488000005,10640.759105691204
2011-01-22,74201.04929000004,10640.759105691204
2011-01-23,75353.45341,10640.759105691204
2011-01-24,75008.47568999999,10702.861556920017
2011-01-25,75148.57642000001,10705.681360208606
2011-01-26,74482.90641000001,10750.869046197093
2011-01-27,74115.0754,10774.99728195698
2011-01-28,74133.52158999999,10582.636357311238
2011-01-29,74027.35746,10582.636357311238
2011-01-30,73625.13232,10582.636357311238
2011-01-31,73466.27909999996,10663.726422049489
2011-02-01,73464.83601999992,10841.742390950849
