Date,Value,s&pValue
2010-12-01,10000.0,10000.0
2010-12-02,9892.747438,10128.185625147815
2010-12-03,10140.092364,10154.551691316252
2010-12-04,10137.858658,10154.551691316252
2010-12-05,10218.430074,10154.551691316252
2010-12-06,10385.192754000002,10141.368658232033
2010-12-07,10653.537222,10146.592277327172
2010-12-08,10809.223426,10184.15252841397
2010-12-09,10857.614990000002,10223.287663284498
2010-12-10,11531.581824000004,10284.644171043792
2010-12-11,15815.711708000004,10284.644171043792
2010-12-12,15946.407334000005,10284.644171043792
2010-12-13,15896.12862,10285.141132270615
2010-12-14,16093.583874000005,10294.51044790399
2010-12-15,16100.748396000005,10241.77730401716
2010-12-16,16124.532714000008,10305.123671492267
2010-12-17,16222.423082000005,10313.747043656123
2010-12-18,16328.654006000002,10313.747043656123
2010-12-19,16525.886278,10313.747043656123
2010-12-20,16559.41172400001,10340.030112979866
2010-12-21,16727.065731999992,10402.381554742762
2010-12-22,16812.513251999993,10437.536978473056
2010-12-23,16980.848968000006,10420.374242539992
2010-12-24,17079.914418,10420.374242539992
2010-12-25,17066.320596,10420.374242539992
2010-12-26,17112.818182000006,10420.374242539992
2010-12-27,17215.624850000004,10426.758772745341
2010-12-28,17445.292394000007,10434.801183579115
2010-12-29,17452.69394000001,10445.331410322699
2010-12-30,17522.307728,10429.577564483976
2010-12-31,17519.166641999993,10427.587713059555
2011-01-01,17398.187378,10427.587713059555
2011-01-02,17391.747971999994,10427.587713059555
2011-01-03,17436.154398,10545.574070709827
2011-01-04,17436.725743999996,10531.727079450831
2011-01-05,17436.898619999993,10584.461234887614
2011-01-06,17261.433144,10561.990871464763
2011-01-07,17063.295783999994,10542.5062967285
2011-01-08,22360.888226,10542.5062967285
2011-01-09,22358.037272,10542.5062967285
2011-01-10,22366.034541999998,10527.99635884468
2011-01-11,22362.940558,10567.214482268511
2011-01-12,22574.74774600001,10662.399517249889
2011-01-13,22572.38443200001,10644.158858759922
2011-01-14,22572.74139800002,10722.761099296973
2011-01-15,22693.761240000025,10722.761099296973
2011-01-16,22698.693520000026,10722.761099296973
2011-01-17,22701.40789800003,10722.761099296973
2011-01-18,22714.793834000044,10737.520027714876
2011-01-19,22717.017342000043,10628.902977406586
2011-01-20,22768.792216000038,10615.138982992285
2011-01-21,22447.305482000047,10640.759105691204
2011-01-22,22457.38077400005,10640.759105691204
2011-01-23,22640.526348000065,10640.759105691204
2011-01-24,22578.392244000068,10702.861556920017
2011-01-25,22581.876530000067,10705.681360208606
2011-01-26,22695.570564000078,10750.869046197093
2011-01-27,22672.57568400008,10774.99728195698
2011-01-28,22637.071218000077,10582.636357311238
2011-01-29,22643.051702000084,10582.636357311238
2011-01-30,22637.968588000083,10582.636357311238
2011-01-31,22633.595132000068,10663.726422049489
2011-02-01,22706.357238000077,10841.742390950849
2011-02-02,22681.287296000082,10812.225553956388
2011-02-03,24512.018084000083,10837.67969125731
2011-02-04,24126.842232000068,10868.93840069206
2011-02-05,24035.70690000007,10868.93840069206
2011-02-06,24032.04691000007,10868.93840069206
2011-02-07,24029.569600000068,10936.762443792792
2011-02-08,23982.46166600007,10982.530079561406
2011-02-09,24097.27557800007,10951.935328301432
2011-02-10,24199.96094600007,10960.143724533204
2011-02-11,24152.595154000068,11020.505306580288
2011-02-12,24121.25583000008,11020.505306580288
2011-02-13,24169.532820000077,11020.505306580288
2011-02-14,24179.637052000082,11046.78837590403
2011-02-15,24187.654888000085,11011.053002393612
2011-02-16,24178.689786000083,11079.9539482099
2011-02-17,24360.528006000084,11114.032469224632
2011-02-18,24721.236018000072,11135.423898540625
2011-02-19,24689.221674000077,11135.423898540625
2011-02-20,24625.89758600008,11135.423898540625
2011-02-21,24541.866464000082,11135.423898540625
2011-02-22,24598.326866000094,10906.829619316293
2011-02-23,24309.446514000087,10840.167507167118
2011-02-24,24408.984248000084,10829.388298180842
2011-02-25,24470.592172000088,10943.643935224964
2011-02-26,24496.685844000094,10943.643935224964
2011-02-27,24526.737456000097,10943.643935224964
2011-02-28,24759.232208000107,11004.502478498871
2011-03-01,25066.467472000106,10831.29515276057
2011-03-02,25078.224186000123,10848.789867781019
2011-03-03,25062.90788200013,11035.595202535626
2011-03-04,24906.481536000123,10954.174161968547
2011-03-05,24949.403248000133,10954.174161968547
2011-03-06,24995.52441000015,10954.174161968547
2011-03-07,25070.472270000155,10862.802852729406
2011-03-08,24991.19845600017,10959.728748601121
2011-03-09,27006.47868200018,10944.804854626565
2011-03-10,27016.311174000184,10738.265962893001
2011-03-11,27108.40107800019,10814.298402225504
2011-03-12,27425.94864600018,10814.298402225504
2011-03-13,27465.57058200017,10814.298402225504
2011-03-14,27458.212102000187,10748.879194772671
2011-03-15,27485.910196000186,10628.488001474501
2011-03-16,27578.860764000186,10421.286171407508
2011-03-17,27603.26993800019,10560.912948907857
2011-03-18,27691.9700660002,10606.432613983734
2011-03-19,27870.957644000184,10606.432613983734
2011-03-20,27958.6255080002,10606.432613983734
2011-03-21,28007.9175760002,10765.378984080911
2011-03-22,28153.502884000194,10727.155786369292
2011-03-23,28304.516748000187,10758.414495804043
2011-03-24,28390.7800820002,10858.906138433866
2011-03-25,28696.7516220002,10893.232630141336
2011-03-26,31306.3775920002,10893.232630141336
2011-03-27,31563.447260000186,10893.232630141336
2011-03-28,31515.069858000184,10863.299805664838
2011-03-29,31506.0235020002,10939.995191622163
2011-03-30,31545.903356000195,11013.125850662727
2011-03-31,31542.201606000184,10992.977317751685
2011-04-01,31727.62171000018,11047.535330923502
2011-04-02,31706.497056000186,11047.535330923502
2011-04-03,31677.063684000186,11047.535330923502
2011-04-04,31784.000182000185,11051.349048374348
2011-04-05,33662.05041400019,11049.359196949925
2011-04-06,33514.87174800019,11073.487432709811
2011-04-07,33486.021202000185,11056.655664314183
2011-04-08,33419.232692000216,11012.37990719321
2011-04-09,33437.33114200023,11012.37990719321
2011-04-10,33507.41486800022,11012.37990719321
2011-04-11,35465.65226000021,10981.61815069389
2011-04-12,36099.4572340002,10896.217407277969
2011-04-13,36244.71196400018,10898.290255547086
2011-04-14,36003.24458000019,10899.202192705994
2011-04-15,36142.60187600018,10941.98606288793
2011-04-16,36216.15610200018,10941.98606288793
2011-04-17,36289.782964000166,10941.98606288793
2011-04-18,36238.12053600016,10821.428884191762
2011-04-19,36364.75376000019,10883.44833857588
2011-04-20,36420.402378000246,11030.537568838483
2011-04-21,36567.58066600027,11088.743314063147
2011-04-22,36642.08165800027,11088.743314063147
2011-04-23,36840.72697400031,11088.743314063147
2011-04-24,36744.54292000031,11088.743314063147
2011-04-25,36736.94880200032,11071.082605353306
2011-04-26,36727.775426000335,11170.49632542622
2011-04-27,36731.63314600035,11240.310219951372
2011-04-28,37125.166762000335,11280.27428684472
2011-04-29,37351.93668000033,11306.22638863103
