Date,Value,s&pValue
2010-12-01,10000.0,10000.0
2010-12-02,9814.284520000001,10128.185625147815
2010-12-03,9858.3903,10154.551691316252
2010-12-04,9968.94265,10154.551691316252
2010-12-05,10025.1048,10154.551691316252
2010-12-06,10332.63974,10141.368658232033
2010-12-07,10332.63974,10146.592277327172
2010-12-08,10130.47265,10184.15252841397
2010-12-09,10225.57311,10223.287663284498
2010-12-10,10472.20276,10284.644171043792
2010-12-11,10260.481590000001,10284.644171043792
2010-12-12,10317.304479999997,10284.644171043792
2010-12-13,10559.834339999996,10285.141132270615
2010-12-14,10354.667649999996,10294.51044790399
2010-12-15,10412.083429999997,10241.77730401716
2010-12-16,10495.50497999999,10305.123671492267
2010-12-17,10726.081919999991,10313.747043656123
2010-12-18,10750.691809999991,10313.747043656123
2010-12-19,10540.277599999996,10313.747043656123
2010-12-20,10565.684849999996,10340.030112979866
2010-12-21,10610.349089999994,10402.381554742762
2010-12-22,10633.258729999992,10437.536978473056
2010-12-23,10867.335319999991,10420.374242539992
2010-12-24,10867.335319999991,10420.374242539992
2010-12-25,10872.343349999994,10420.374242539992
2010-12-26,10875.551579999994,10420.374242539992
2010-12-27,10656.782809999992,10426.758772745341
2010-12-28,10673.743979999994,10434.801183579115
2010-12-29,10683.85267999999,10445.331410322699
2010-12-30,10767.113959999991,10429.577564483976
2010-12-31,10837.979859999992,10427.587713059555
2011-01-01,11119.009149999993,10427.587713059555
2011-01-02,11125.863879999994,10427.587713059555
2011-01-03,10897.64105999999,10545.574070709827
2011-01-04,10913.94983999999,10531.727079450831
2011-01-05,10949.461019999992,10584.461234887614
2011-01-06,11187.837179999993,10561.990871464763
2011-01-07,11187.837179999993,10542.5062967285
2011-01-08,10970.069089999994,10542.5062967285
2011-01-09,10987.74025999999,10542.5062967285
2011-01-10,11236.425279999989,10527.99635884468
2011-01-11,11249.978179999986,10567.214482268511
2011-01-12,11302.383109999988,10662.399517249889
2011-01-13,11302.383109999988,10644.158858759922
2011-01-14,11302.383109999988,10722.761099296973
2011-01-15,11302.383109999988,10722.761099296973
2011-01-16,11302.383109999988,10722.761099296973
2011-01-17,11302.383109999988,10722.761099296973
2011-01-18,11154.775649999989,10737.520027714876
2011-01-19,11180.583379999987,10628.902977406586
2011-01-20,11231.391069999987,10615.138982992285
2011-01-21,11467.167489999987,10640.759105691204
2011-01-22,11495.719529999988,10640.759105691204
2011-01-23,11364.612589999988,10640.759105691204
2011-01-24,11614.796339999988,10702.861556920017
2011-01-25,11390.473909999988,10705.681360208606
