Date,Value,s&pValue
2010-12-01,10000.0,10000.0
2010-12-02,9821.68217,10128.185625147815
2010-12-03,10016.3627,10154.551691316252
2010-12-04,9841.64523,10154.551691316252
2010-12-05,10062.25278,10154.551691316252
2010-12-06,10134.28085,10141.368658232033
2010-12-07,10134.28085,10146.592277327172
2010-12-08,9960.02665,10184.15252841397
2010-12-09,10223.65288,10223.287663284498
2010-12-10,10465.561179999997,10284.644171043792
2010-12-11,10401.954819999997,10284.644171043792
2010-12-12,10584.736539999996,10284.644171043792
2010-12-13,10584.736539999996,10285.141132270615
2010-12-14,10403.818449999997,10294.51044790399
2010-12-15,10428.908409999998,10241.77730401716
2010-12-16,10445.471590000001,10305.123671492267
2010-12-17,10644.45169,10313.747043656123
2010-12-18,10644.45169,10313.747043656123
2010-12-19,10494.06058,10313.747043656123
2010-12-20,10507.18822,10340.030112979866
2010-12-21,10590.379829999998,10402.381554742762
2010-12-22,10791.625199999997,10437.536978473056
2010-12-23,10827.652229999998,10420.374242539992
2010-12-24,10827.652229999998,10420.374242539992
2010-12-25,10843.615449999998,10420.374242539992
2010-12-26,10843.615449999998,10420.374242539992
2010-12-27,10685.56157,10426.758772745341
2010-12-28,10750.58628,10434.801183579115
2010-12-29,10971.328559999998,10445.331410322699
2010-12-30,10847.73839,10429.577564483976
2010-12-31,10921.626509999998,10427.587713059555
2011-01-01,11117.406929999996,10427.587713059555
2011-01-02,11117.406929999996,10427.587713059555
2011-01-03,10939.789169999996,10545.574070709827
2011-01-04,10959.753689999998,10531.727079450831
2011-01-05,11162.233439999998,10584.461234887614
2011-01-06,11173.661149999998,10561.990871464763
2011-01-07,11173.661149999998,10542.5062967285
2011-01-08,11173.661149999998,10542.5062967285
2011-01-09,11173.661149999998,10542.5062967285
2011-01-10,11207.190229999998,10527.99635884468
2011-01-11,11207.190229999998,10567.214482268511
2011-01-12,11207.190229999998,10662.399517249889
2011-01-13,11207.190229999998,10644.158858759922
2011-01-14,11207.190229999998,10722.761099296973
2011-01-15,11207.190229999998,10722.761099296973
2011-01-16,11207.190229999998,10722.761099296973
2011-01-17,11207.190229999998,10722.761099296973
2011-01-18,11207.190229999998,10737.520027714876
2011-01-19,11219.853519999995,10628.902977406586
2011-01-20,11101.461669999995,10615.138982992285
2011-01-21,11341.506299999995,10640.759105691204
2011-01-22,11355.771109999994,10640.759105691204
2011-01-23,11259.885749999996,10640.759105691204
2011-01-24,11508.590349999993,10702.861556920017
2011-01-25,11332.372729999992,10705.681360208606
2011-01-26,11551.050859999992,10750.869046197093
2011-01-27,11551.050859999992,10774.99728195698
2011-01-28,11376.733429999993,10582.636357311238
2011-01-29,11387.296189999995,10582.636357311238
2011-01-30,11433.520779999993,10582.636357311238
2011-01-31,11622.665479999992,10663.726422049489
2011-02-01,11527.238969999993,10841.742390950849
2011-02-02,11779.95358999999,10812.225553956388
2011-02-03,12438.44021999999,10837.67969125731
