Date,Value,s&pValue
2010-12-01,10000.0,10000.0
2010-12-02,9995.079508,10128.185625147815
2010-12-03,10008.518164,10154.551691316252
2010-12-04,10003.137626000002,10154.551691316252
2010-12-05,10065.870708,10154.551691316252
2010-12-06,10112.105027999998,10141.368658232033
2010-12-07,10112.105027999998,10146.592277327172
2010-12-08,10141.541772,10184.15252841397
2010-12-09,10156.378879999997,10223.287663284498
2010-12-10,10208.990789999994,10284.644171043792
2010-12-11,10209.270817999997,10284.644171043792
2010-12-12,10238.386473999994,10284.644171043792
2010-12-13,10238.386473999994,10285.141132270615
2010-12-14,10265.438115999996,10294.51044790399
2010-12-15,10283.193899999991,10241.77730401716
2010-12-16,10395.256699999994,10305.123671492267
2010-12-17,10458.845547999992,10313.747043656123
2010-12-18,10458.845547999992,10313.747043656123
2010-12-19,10457.345397999992,10313.747043656123
2010-12-20,10471.243891999991,10340.030112979866
2010-12-21,10602.666447999994,10402.381554742762
2010-12-22,10615.665147999996,10437.536978473056
2010-12-23,10615.665147999996,10420.374242539992
2010-12-24,10615.665147999996,10420.374242539992
2010-12-25,10630.063159999994,10420.374242539992
2010-12-26,10630.063159999994,10420.374242539992
2010-12-27,10622.062359999994,10426.758772745341
2010-12-28,10638.939995999996,10434.801183579115
2010-12-29,10661.857703999996,10445.331410322699
2010-12-30,10682.695519999996,10429.577564483976
2010-12-31,10821.196731999991,10427.587713059555
2011-01-01,10839.714747999991,10427.587713059555
2011-01-02,10839.714747999991,10427.587713059555
2011-01-03,10836.854461999992,10545.574070709827
2011-01-04,10904.68600599999,10531.727079450831
2011-01-05,10941.141323999991,10584.461234887614
2011-01-06,10943.799413999988,10561.990871464763
2011-01-07,10943.799413999988,10542.5062967285
2011-01-08,10943.799413999988,10542.5062967285
2011-01-09,10943.799413999988,10542.5062967285
2011-01-10,10943.799413999988,10527.99635884468
2011-01-11,10943.799413999988,10567.214482268511
2011-01-12,10943.799413999988,10662.399517249889
2011-01-13,10943.799413999988,10644.158858759922
2011-01-14,10946.997829999988,10722.761099296973
2011-01-15,10970.515477999988,10722.761099296973
2011-01-16,10970.515477999988,10722.761099296973
2011-01-17,10970.515477999988,10722.761099296973
2011-01-18,10980.712777999988,10737.520027714876
2011-01-19,11002.049695999987,10628.902977406586
2011-01-20,10997.849275999984,10615.138982992285
2011-01-21,11083.978029999987,10640.759105691204
2011-01-22,11179.066847999988,10640.759105691204
2011-01-23,11226.045497999983,10640.759105691204
2011-01-24,11251.240085999987,10702.861556920017
2011-01-25,11305.550409999987,10705.681360208606
2011-01-26,11342.766687999987,10750.869046197093
2011-01-27,11366.94346599999,10774.99728195698
2011-01-28,11366.94346599999,10582.636357311238
2011-01-29,11380.522179999987,10582.636357311238
2011-01-30,11390.86100999999,10582.636357311238
2011-01-31,11395.35955999999,10663.726422049489
2011-02-01,11446.052437999993,10841.742390950849
2011-02-02,11663.624125999993,10812.225553956388
2011-02-03,11663.624125999993,10837.67969125731
2011-02-04,11663.624125999993,10868.93840069206
2011-02-05,11667.482479999993,10868.93840069206
2011-02-06,11706.017505999991,10868.93840069206
2011-02-07,11706.017505999991,10936.762443792792
2011-02-08,11716.653825999987,10982.530079561406
2011-02-09,11813.822055999988,10951.935328301432
2011-02-10,11939.185889999986,10960.143724533204
2011-02-11,11932.065177999986,11020.505306580288
2011-02-12,11952.603123999988,11020.505306580288
2011-02-13,11947.022565999987,11020.505306580288
2011-02-14,12004.453837999989,11046.78837590403
2011-02-15,12016.952587999987,11011.053002393612
2011-02-16,12038.988567999988,11079.9539482099
2011-02-17,12169.77463199999,11114.032469224632
2011-02-18,12263.06552199999,11135.423898540625
2011-02-19,12270.40435199999,11135.423898540625
