Date,SettlementPointPrice,Predicted,Indicator,Direction
2018-08-23 04:00:00,16.77,18.302410125732422,0,0
2018-08-23 04:15:00,16.42,18.302410125732422,0,0
2018-08-23 04:30:00,15.83,18.302410125732422,0,0
2018-08-23 04:45:00,15.85,18.302410125732422,0,0
2018-08-23 05:00:00,16.08,18.302410125732422,0,0
2018-08-23 05:15:00,16.85,18.302410125732422,0,0
2018-08-23 05:30:00,16.85,18.302410125732422,0,0
2018-08-23 05:45:00,17.49,18.302410125732422,0,0
2018-08-23 06:00:00,19.15,18.302410125732422,0,0
2018-08-23 06:15:00,19.58,18.302410125732422,0,0
2018-08-23 06:30:00,20.18,18.302410125732422,0,0
2018-08-23 06:45:00,20.4,18.302410125732422,0,0
2018-08-23 07:00:00,20.04,18.302410125732422,0,0
2018-08-23 07:15:00,18.74,18.302410125732422,0,0
2018-08-23 07:30:00,18.58,18.302410125732422,0,0
2018-08-23 07:45:00,18.59,18.302410125732422,0,0
2018-08-23 08:00:00,17.72,18.302410125732422,0,0
2018-08-23 08:15:00,16.52,18.302410125732422,0,0
2018-08-23 08:30:00,17.89,18.302410125732422,0,0
2018-08-23 08:45:00,18.25,18.302410125732422,0,0
2018-08-23 09:00:00,18.16,18.302410125732422,0,0
2018-08-23 09:15:00,18.13,18.302410125732422,0,0
2018-08-23 09:30:00,17.98,18.302410125732422,0,0
2018-08-23 09:45:00,17.92,18.302410125732422,0,0
2018-08-23 10:00:00,17.64,18.302410125732422,0,0
2018-08-23 10:15:00,17.86,18.302410125732422,0,0
2018-08-23 10:30:00,17.41,18.302410125732422,0,0
2018-08-23 10:45:00,16.18,18.302410125732422,0,0
2018-08-23 11:00:00,15.55,18.302410125732422,0,0
2018-08-23 11:15:00,13.66,18.302410125732422,0,0
2018-08-23 11:30:00,14.42,18.302410125732422,0,0
2018-08-23 11:45:00,12.27,18.302410125732422,0,0
2018-08-23 12:00:00,12.4,18.302410125732422,0,0
2018-08-23 12:15:00,13.75,18.302410125732422,0,0
2018-08-23 12:30:00,14.1,18.302410125732422,0,0
2018-08-23 12:45:00,16.59,18.302410125732422,0,0
2018-08-23 13:00:00,18.86,18.302410125732422,0,0
2018-08-23 13:15:00,23.2,18.302410125732422,0,0
2018-08-23 13:30:00,26.51,18.302410125732422,0,0
2018-08-23 13:45:00,27.83,18.302410125732422,0,0
2018-08-23 14:00:00,28.13,18.302410125732422,0,0
2018-08-23 14:15:00,29.54,18.302410125732422,0,0
2018-08-23 14:30:00,32.48,18.302410125732422,0,0
2018-08-23 14:45:00,36.33,18.302410125732422,0,0
2018-08-23 15:00:00,40.42,18.302410125732422,0,0
2018-08-23 15:15:00,41.45,18.302410125732422,0,0
2018-08-23 15:30:00,40.7,18.302410125732422,0,0
2018-08-23 15:45:00,40.5,18.302410125732422,0,0
2018-08-23 16:00:00,40.08,18.302410125732422,0,0
2018-08-23 16:15:00,37.95,18.302410125732422,0,0
2018-08-23 16:30:00,38.94,18.302410125732422,0,0
2018-08-23 16:45:00,42.0,18.302410125732422,0,0
2018-08-23 17:00:00,40.45,18.302410125732422,0,0
2018-08-23 17:15:00,37.87,18.302410125732422,0,0
2018-08-23 17:30:00,41.47,18.302410125732422,0,0
2018-08-23 17:45:00,44.85,18.302410125732422,0,0
2018-08-23 18:00:00,42.5,18.302410125732422,0,0
2018-08-23 18:15:00,38.02,18.302410125732422,0,0
2018-08-23 18:30:00,35.49,18.302410125732422,0,0
2018-08-23 18:45:00,34.54,18.302410125732422,0,0
2018-08-23 19:00:00,33.32,18.302410125732422,0,0
2018-08-23 19:15:00,34.5,18.302410125732422,0,0
2018-08-23 19:30:00,33.51,18.302410125732422,0,0
2018-08-23 19:45:00,33.16,18.302410125732422,0,0
2018-08-23 20:00:00,32.49,18.302410125732422,0,0
2018-08-23 20:15:00,33.77,18.302410125732422,0,0
2018-08-23 20:30:00,33.18,18.302410125732422,0,0
2018-08-23 20:45:00,31.65,18.302410125732422,0,0
2018-08-23 21:00:00,27.5,18.302410125732422,0,0
2018-08-23 21:15:00,27.71,18.302410125732422,0,0
2018-08-23 21:30:00,22.46,18.302410125732422,0,0
2018-08-23 21:45:00,16.23,18.302410125732422,0,0
2018-08-23 22:00:00,11.33,18.302410125732422,0,0
2018-08-23 22:15:00,19.94,18.302410125732422,0,0
2018-08-23 22:30:00,20.42,18.302410125732422,0,0
2018-08-23 22:45:00,19.56,18.302410125732422,0,0
2018-08-23 23:00:00,19.49,18.302410125732422,0,0
2018-08-23 23:15:00,19.56,18.302410125732422,0,0
2018-08-23 23:30:00,19.27,18.302410125732422,0,0
2018-08-23 23:45:00,18.77,18.302410125732422,0,0
2018-08-24 00:00:00,18.47,18.302410125732422,0,0
2018-08-24 00:15:00,18.31,18.302410125732422,0,0
2018-08-24 00:30:00,18.14,18.302410125732422,0,0
2018-08-24 00:45:00,17.82,18.302410125732422,0,0
2018-08-24 01:00:00,17.57,18.302410125732422,0,0
2018-08-24 01:15:00,18.12,18.302410125732422,0,0
2018-08-24 01:30:00,17.46,18.302410125732422,0,0
2018-08-24 01:45:00,17.13,18.302410125732422,0,0
2018-08-24 02:00:00,16.75,18.302410125732422,0,0
2018-08-24 02:15:00,16.57,18.302410125732422,0,0
2018-08-24 02:30:00,16.41,18.302410125732422,0,0
2018-08-24 02:45:00,15.9,18.302410125732422,0,0
2018-08-24 03:00:00,15.99,18.302410125732422,0,0
2018-08-24 03:15:00,15.74,18.302410125732422,0,0
2018-08-24 03:30:00,15.6,18.302410125732422,0,0
2018-08-24 03:45:00,15.38,18.302410125732422,0,0
2018-08-24 04:00:00,15.33,18.302410125732422,0,0
2018-08-24 04:15:00,15.28,18.302410125732422,0,0
2018-08-24 04:30:00,15.52,18.302410125732422,0,0
2018-08-24 04:45:00,15.6,18.302410125732422,0,0
2018-08-24 05:00:00,15.68,18.302410125732422,0,0
2018-08-24 05:15:00,16.15,18.302410125732422,0,0
2018-08-24 05:30:00,16.39,18.302410125732422,0,0
2018-08-24 05:45:00,16.74,18.302410125732422,0,0
2018-08-24 06:00:00,17.07,18.302410125732422,0,0
2018-08-24 06:15:00,17.5,18.302410125732422,0,0
2018-08-24 06:30:00,17.87,18.302410125732422,0,0
2018-08-24 06:45:00,17.99,18.302410125732422,0,0
2018-08-24 07:00:00,17.93,18.302410125732422,0,0
2018-08-24 07:15:00,17.67,18.302410125732422,0,0
2018-08-24 07:30:00,17.67,18.302410125732422,0,0
2018-08-24 07:45:00,17.64,18.302410125732422,0,0
2018-08-24 08:00:00,18.19,18.302410125732422,0,0
2018-08-24 08:15:00,18.92,18.302410125732422,0,0
2018-08-24 08:30:00,18.85,18.302410125732422,0,0
2018-08-24 08:45:00,18.73,18.302410125732422,0,0
2018-08-24 09:00:00,18.12,18.302410125732422,0,0
2018-08-24 09:15:00,17.8,18.302410125732422,0,0
2018-08-24 09:30:00,17.44,18.302410125732422,0,0
2018-08-24 09:45:00,9.22,18.302410125732422,0,0
2018-08-24 10:00:00,4.65,18.302410125732422,0,0
2018-08-24 10:15:00,9.01,18.302410125732422,0,0
2018-08-24 10:30:00,13.66,18.302410125732422,0,0
2018-08-24 10:45:00,14.34,18.302410125732422,0,0
2018-08-24 11:00:00,14.42,18.302410125732422,0,0
2018-08-24 11:15:00,8.97,18.302410125732422,0,0
2018-08-24 11:30:00,12.48,18.302410125732422,0,0
2018-08-24 11:45:00,15.19,18.302410125732422,0,0
2018-08-24 12:00:00,17.05,18.302410125732422,0,0
2018-08-24 12:15:00,18.88,18.302410125732422,0,0
2018-08-24 12:30:00,21.15,18.302410125732422,0,0
2018-08-24 12:45:00,24.69,18.302410125732422,0,0
2018-08-24 13:00:00,26.86,18.302410125732422,0,0
2018-08-24 13:15:00,27.43,18.302410125732422,0,0
2018-08-24 13:30:00,32.54,18.302410125732422,0,0
2018-08-24 13:45:00,35.02,18.302410125732422,0,0
2018-08-24 14:00:00,36.58,18.302410125732422,0,0
2018-08-24 14:15:00,39.03,18.302410125732422,0,0
2018-08-24 14:30:00,40.32,18.302410125732422,0,0
2018-08-24 14:45:00,41.64,18.302410125732422,0,0
2018-08-24 15:00:00,50.75,18.302410125732422,0,0
2018-08-24 15:15:00,52.87,18.302410125732422,0,0
2018-08-24 15:30:00,55.57,18.302410125732422,0,0
2018-08-24 15:45:00,115.55,18.302410125732422,0,0
2018-08-24 16:00:00,80.77,18.302410125732422,0,0
2018-08-24 16:15:00,70.87,18.302410125732422,0,0
2018-08-24 16:30:00,78.58,18.302410125732422,0,0
2018-08-24 16:45:00,75.22,18.302410125732422,0,0
2018-08-24 17:00:00,61.27,18.302410125732422,0,0
2018-08-24 17:15:00,56.87,18.302410125732422,0,0
2018-08-24 17:30:00,56.48,18.302410125732422,0,0
2018-08-24 17:45:00,53.37,18.302410125732422,0,0
2018-08-24 18:00:00,47.84,18.302410125732422,0,0
2018-08-24 18:15:00,43.69,18.302410125732422,0,0
2018-08-24 18:30:00,42.82,18.302410125732422,0,0
2018-08-24 18:45:00,41.37,18.302410125732422,0,0
2018-08-24 19:00:00,34.49,18.302410125732422,0,0
2018-08-24 19:15:00,41.73,18.302410125732422,0,0
2018-08-24 19:30:00,34.95,18.302410125732422,0,0
2018-08-24 19:45:00,31.98,18.302410125732422,0,0
2018-08-24 20:00:00,32.39,18.302410125732422,0,0
2018-08-24 20:15:00,32.71,18.302410125732422,0,0
2018-08-24 20:30:00,32.61,18.302410125732422,0,0
2018-08-24 20:45:00,30.67,18.302410125732422,0,0
2018-08-24 21:00:00,29.92,18.302410125732422,0,0
2018-08-24 21:15:00,28.5,18.302410125732422,0,0
2018-08-24 21:30:00,26.24,18.302410125732422,0,0
2018-08-24 21:45:00,24.45,18.302410125732422,0,0
2018-08-24 22:00:00,21.04,18.302410125732422,0,0
2018-08-24 22:15:00,19.81,18.302410125732422,0,0
2018-08-24 22:30:00,19.63,18.302410125732422,0,0
2018-08-24 22:45:00,18.9,18.302410125732422,0,0
2018-08-24 23:00:00,18.27,18.302410125732422,0,0
2018-08-24 23:15:00,18.0,18.302410125732422,0,0
2018-08-24 23:30:00,17.76,18.302410125732422,0,0
2018-08-24 23:45:00,17.67,18.302410125732422,0,0
2018-08-25 00:00:00,17.49,18.302410125732422,0,0
2018-08-25 00:15:00,17.59,18.302410125732422,0,0
2018-08-25 00:30:00,17.77,18.302410125732422,0,0
2018-08-25 00:45:00,17.59,18.302410125732422,0,0
2018-08-25 01:00:00,17.34,18.302410125732422,0,0
2018-08-25 01:15:00,17.27,18.302410125732422,0,0
2018-08-25 01:30:00,17.13,18.302410125732422,0,0
2018-08-25 01:45:00,16.8,18.302410125732422,0,0
2018-08-25 02:00:00,16.62,18.302410125732422,0,0
2018-08-25 02:15:00,16.74,18.302410125732422,0,0
2018-08-25 02:30:00,16.59,18.302410125732422,0,0
2018-08-25 02:45:00,16.4,18.302410125732422,0,0
2018-08-25 03:00:00,16.16,18.302410125732422,0,0
2018-08-25 03:15:00,16.03,18.302410125732422,0,0
2018-08-25 03:30:00,15.86,18.302410125732422,0,0
2018-08-25 03:45:00,15.39,18.302410125732422,0,0
2018-08-25 04:00:00,14.95,18.302410125732422,0,0
2018-08-25 04:15:00,14.99,18.302410125732422,0,0
2018-08-25 04:30:00,14.84,18.302410125732422,0,0
2018-08-25 04:45:00,14.84,18.302410125732422,0,0
2018-08-25 05:00:00,14.85,18.302410125732422,0,0
2018-08-25 05:15:00,14.88,18.302410125732422,0,0
2018-08-25 05:30:00,14.95,18.302410125732422,0,0
2018-08-25 05:45:00,14.93,18.302410125732422,0,0
2018-08-25 06:00:00,14.77,18.302410125732422,0,0
2018-08-25 06:15:00,14.88,18.302410125732422,0,0
2018-08-25 06:30:00,14.91,18.302410125732422,0,0
2018-08-25 06:45:00,14.94,18.302410125732422,0,0
2018-08-25 07:00:00,14.96,18.302410125732422,0,0
2018-08-25 07:15:00,14.94,18.302410125732422,0,0
2018-08-25 07:30:00,15.15,18.302410125732422,0,0
2018-08-25 07:45:00,15.5,18.302410125732422,0,0
2018-08-25 08:00:00,15.6,18.302410125732422,0,0
2018-08-25 08:15:00,16.24,18.302410125732422,0,0
2018-08-25 08:30:00,16.89,18.302410125732422,0,0
2018-08-25 08:45:00,17.32,18.302410125732422,0,0
2018-08-25 09:00:00,17.1,18.302410125732422,0,0
2018-08-25 09:15:00,17.26,18.302410125732422,0,0
2018-08-25 09:30:00,17.52,18.302410125732422,0,0
2018-08-25 09:45:00,17.29,18.302410125732422,0,0
2018-08-25 10:00:00,17.15,18.302410125732422,0,0
2018-08-25 10:15:00,17.43,18.302410125732422,0,0
2018-08-25 10:30:00,17.49,18.302410125732422,0,0
2018-08-25 10:45:00,16.85,18.302410125732422,0,0
2018-08-25 11:00:00,18.27,18.302410125732422,0,0
2018-08-25 11:15:00,18.83,18.302410125732422,0,0
2018-08-25 11:30:00,18.45,18.302410125732422,0,0
2018-08-25 11:45:00,19.1,18.302410125732422,0,0
2018-08-25 12:00:00,22.08,18.302410125732422,0,0
2018-08-25 12:15:00,21.86,18.302410125732422,0,0
2018-08-25 12:30:00,22.1,18.302410125732422,0,0
2018-08-25 12:45:00,28.26,18.302410125732422,0,0
2018-08-25 13:00:00,31.66,18.302410125732422,0,0
2018-08-25 13:15:00,32.42,18.302410125732422,0,0
2018-08-25 13:30:00,33.42,18.302410125732422,0,0
2018-08-25 13:45:00,34.74,18.302410125732422,0,0
2018-08-25 14:00:00,34.85,18.302410125732422,0,0
2018-08-25 14:15:00,35.63,18.302410125732422,0,0
2018-08-25 14:30:00,36.26,18.302410125732422,0,0
2018-08-25 14:45:00,36.41,18.302410125732422,0,0
2018-08-25 15:00:00,36.66,18.302410125732422,0,0
2018-08-25 15:15:00,36.86,18.302410125732422,0,0
2018-08-25 15:30:00,37.24,18.302410125732422,0,0
2018-08-25 15:45:00,38.87,18.302410125732422,0,0
2018-08-25 16:00:00,39.27,18.302410125732422,0,0
2018-08-25 16:15:00,39.11,18.302410125732422,0,0
2018-08-25 16:30:00,37.44,18.302410125732422,0,0
2018-08-25 16:45:00,36.99,18.302410125732422,0,0
2018-08-25 17:00:00,36.61,18.302410125732422,0,0
2018-08-25 17:15:00,36.44,18.302410125732422,0,0
2018-08-25 17:30:00,34.19,18.302410125732422,0,0
2018-08-25 17:45:00,33.31,18.302410125732422,0,0
2018-08-25 18:00:00,31.74,18.302410125732422,0,0
2018-08-25 18:15:00,30.1,18.302410125732422,0,0
2018-08-25 18:30:00,29.53,18.302410125732422,0,0
2018-08-25 18:45:00,28.42,18.302410125732422,0,0
2018-08-25 19:00:00,27.85,18.302410125732422,0,0
