Date,Value,s&pValue
2010-12-01,10000.0,10000.0
2010-12-02,9963.917505999998,10128.185625147815
2010-12-03,10009.272969999998,10154.551691316252
2010-12-04,9987.992121999998,10154.551691316252
2010-12-05,9996.585535999997,10154.551691316252
2010-12-06,10058.691803999996,10141.368658232033
2010-12-07,10058.691803999996,10146.592277327172
2010-12-08,10022.709491999996,10184.15252841397
2010-12-09,10067.325029999996,10223.287663284498
2010-12-10,10073.447067999998,10284.644171043792
2010-12-11,10031.102833999998,10284.644171043792
2010-12-12,10079.380827999998,10284.644171043792
2010-12-13,10081.711989999998,10285.141132270615
2010-12-14,10081.711989999998,10294.51044790399
2010-12-15,10037.967615999998,10241.77730401716
2010-12-16,10047.509871999997,10305.123671492267
2010-12-17,10099.904631999996,10313.747043656123
2010-12-18,10102.955969999995,10313.747043656123
2010-12-19,10102.955969999995,10313.747043656123
2010-12-20,10060.562892,10340.030112979866
2010-12-21,10066.545631999998,10402.381554742762
2010-12-22,10068.396989999996,10437.536978473056
2010-12-23,10114.163787999996,10420.374242539992
2010-12-24,10114.163787999996,10420.374242539992
2010-12-25,10114.163787999996,10420.374242539992
2010-12-26,10115.974929999997,10420.374242539992
2010-12-27,10119.085857999997,10426.758772745341
2010-12-28,10077.261675999996,10434.801183579115
2010-12-29,10080.253127999997,10445.331410322699
2010-12-30,10097.797693999997,10429.577564483976
2010-12-31,10100.140101999998,10427.587713059555
2011-01-01,10147.906803999997,10427.587713059555
2011-01-02,10148.138031999997,10427.587713059555
2011-01-03,10148.138031999997,10545.574070709827
2011-01-04,10114.987267999997,10531.727079450831
2011-01-05,10124.069945999994,10584.461234887614
2011-01-06,10169.165435999994,10561.990871464763
2011-01-07,10169.165435999994,10542.5062967285
2011-01-08,10169.165435999994,10542.5062967285
2011-01-09,10128.292429999994,10542.5062967285
2011-01-10,10172.468011999994,10527.99635884468
2011-01-11,10172.468011999994,10567.214482268511
2011-01-12,10172.468011999994,10662.399517249889
2011-01-13,10172.468011999994,10644.158858759922
2011-01-14,10172.468011999994,10722.761099296973
2011-01-15,10172.468011999994,10722.761099296973
2011-01-16,10172.468011999994,10722.761099296973
2011-01-17,10172.468011999994,10722.761099296973
2011-01-18,10142.297149999997,10737.520027714876
2011-01-19,10186.712707999995,10628.902977406586
2011-01-20,10157.764681999994,10615.138982992285
2011-01-21,10206.57107999999,10640.759105691204
2011-01-22,10209.262045999994,10640.759105691204
2011-01-23,10243.046215999992,10640.759105691204
2011-01-24,10243.046215999992,10702.861556920017
2011-01-25,10243.046215999992,10705.681360208606
2011-01-26,10255.579475999994,10750.869046197093
2011-01-27,10255.579475999994,10774.99728195698
2011-01-28,10223.267185999992,10582.636357311238
2011-01-29,10228.977933999991,10582.636357311238
2011-01-30,10234.280397999992,10582.636357311238
2011-01-31,10239.063101999991,10663.726422049489
2011-02-01,10257.636421999989,10841.742390950849
2011-02-02,10306.57152799999,10812.225553956388
2011-02-03,10343.260721999988,10837.67969125731
2011-02-04,10343.260721999988,10868.93840069206
2011-02-05,10343.260721999988,10868.93840069206
2011-02-06,10345.072019999989,10868.93840069206
2011-02-07,10306.010323999992,10936.762443792792
2011-02-08,10352.68565599999,10982.530079561406
2011-02-09,10313.623463999997,10951.935328301432
2011-02-10,10358.578967999994,10960.143724533204
2011-02-11,10358.578967999994,11020.505306580288
2011-02-12,10359.190177999997,11020.505306580288
2011-02-13,10360.501285999997,11020.505306580288
2011-02-14,10320.650492,11046.78837590403
2011-02-15,10321.841608,11011.053002393612
2011-02-16,10327.784256,11079.9539482099
2011-02-17,10348.338866,11114.032469224632
2011-02-18,10377.892384,11135.423898540625
2011-02-19,10384.80418,11135.423898540625
2011-02-20,10387.135338,11135.423898540625
2011-02-21,10388.0577,11135.423898540625
2011-02-22,10437.744709999997,10906.829619316293
2011-02-23,10406.103679999998,10840.167507167118
2011-02-24,10408.03471,10829.388298180842
2011-02-25,10408.865942,10943.643935224964
2011-02-26,10411.297242,10943.643935224964
2011-02-27,10416.75105,10943.643935224964
2011-02-28,10460.886636,11004.502478498871
2011-03-01,10477.361698,10831.29515276057
2011-03-02,10434.799735999997,10848.789867781019
2011-03-03,10454.152687999998,11035.595202535626
2011-03-04,10454.903839999997,10954.174161968547
2011-03-05,10461.305969999998,10954.174161968547
2011-03-06,10568.228678,10954.174161968547
2011-03-07,10570.793326,10862.802852729406
2011-03-08,10574.844736,10959.728748601121
2011-03-09,10580.475944000002,10944.804854626565
2011-03-10,10595.107700000002,10738.265962893001
2011-03-11,10638.092722000003,10814.298402225504
2011-03-12,10735.865588000006,10814.298402225504
2011-03-13,10871.605688000003,10814.298402225504
2011-03-14,10833.792968000003,10748.879194772671
2011-03-15,10881.219764000003,10628.488001474501
2011-03-16,10898.523480000003,10421.286171407508
2011-03-17,10912.249128000003,10560.912948907857
2011-03-18,10918.251678000002,10606.432613983734
2011-03-19,10949.027778,10606.432613983734
2011-03-20,10974.392206,10606.432613983734
2011-03-21,11154.231222000002,10765.378984080911
2011-03-22,11161.26281,10727.155786369292
2011-03-23,11170.545524,10758.414495804043
2011-03-24,11187.048027999996,10858.906138433866
2011-03-25,11194.330965999998,10893.232630141336
2011-03-26,11207.87325,10893.232630141336
2011-03-27,11215.515364,10893.232630141336
2011-03-28,11242.244417999998,10863.299805664838
2011-03-29,11251.646744,10939.995191622163
2011-03-30,11253.278028,11013.125850662727
2011-03-31,11221.365282,10992.977317751685
2011-04-01,11227.928279999995,11047.535330923502
2011-04-02,11293.145127999998,11047.535330923502
2011-04-03,11372.355281999995,11047.535330923502
2011-04-04,11383.077791999995,11051.349048374348
2011-04-05,11513.551726,11049.359196949925
2011-04-06,11516.443092,11073.487432709811
2011-04-07,11518.734394,11056.655664314183
2011-04-08,11558.980754,11012.37990719321
2011-04-09,11558.980754,11012.37990719321
2011-04-10,11567.083606000002,11012.37990719321
2011-04-11,11585.276216,10981.61815069389
2011-04-12,11616.589156,10896.217407277969
2011-04-13,11619.180295999999,10898.290255547086
2011-04-14,11630.373642,10899.202192705994
2011-04-15,11630.373642,10941.98606288793
2011-04-16,11630.373642,10941.98606288793
2011-04-17,11637.878748000005,10941.98606288793
2011-04-18,11665.275048000005,10821.428884191762
2011-04-19,11670.825832000004,10883.44833857588
2011-04-20,11670.825832000004,11030.537568838483
2011-04-21,11670.825832000004,11088.743314063147
2011-04-22,11670.825832000004,11088.743314063147
2011-04-23,11688.751048000006,11088.743314063147
2011-04-24,11692.784430000007,11088.743314063147
2011-04-25,11692.784430000007,11071.082605353306
2011-04-26,11807.455986000004,11170.49632542622
2011-04-27,11859.741266000005,11240.310219951372
2011-04-28,12142.041726,11280.27428684472
2011-04-29,12114.309754,11306.22638863103
2011-04-30,12165.336462,11306.22638863103
2011-05-01,12179.861342000006,11306.22638863103
2011-05-02,12170.319606000005,11286.409843098769
2011-05-03,12231.058266000005,11248.269633940452
2011-05-04,12189.265256000002,11171.159272051043
2011-05-05,12210.449000000002,11069.838697398402
2011-05-06,12259.075392000002,11112.12459480356
2011-05-07,12259.075392000002,11112.12459480356
2011-05-08,12260.826544000005,11112.12459480356
2011-05-09,12264.168888000006,11162.619908281837
2011-05-10,12268.411186000005,11252.747309566073
2011-05-11,12278.524664000004,11127.712455244284
2011-05-12,12278.524664000004,11182.187471571406
2011-05-13,12237.971602000005,11091.977081733865
2011-05-14,12282.727126000005,11091.977081733865
2011-05-15,12284.318338000005,11091.977081733865
2011-05-16,12301.791286000007,11023.158112920924
2011-05-17,12262.478292000005,11019.095404935993
2011-05-18,12308.193720000005,11116.10531749375
2011-05-19,12312.216436000004,11140.315538548375
2011-05-20,12312.216436000004,11054.66581288976
2011-05-21,12312.216436000004,11054.66581288976
2011-05-22,12312.216436000004,11054.66581288976
2011-05-23,12312.216436000004,10922.8324556891
2011-05-24,12312.216436000004,10913.795119143115
2011-05-25,12312.216436000004,10948.535575232716
2011-05-26,12312.216436000004,10991.816398350085
2011-05-27,12312.216436000004,11036.673125092531
2011-05-28,12312.216436000004,11036.673125092531
2011-05-29,12316.207312000004,11036.673125092531
2011-05-30,12319.538446000004,11036.673125092531
2011-05-31,12319.538446000004,11153.581560185898
2011-06-01,12319.538446000004,10899.451174948686
2011-06-02,12319.538446000004,10886.101136625124
2011-06-03,12321.349488000007,10780.137904207424
2011-06-04,12321.349488000007,10780.137904207424
2011-06-05,12326.720466000008,10780.137904207424
2011-06-06,12331.16293600001,10664.141397981573
2011-06-07,12335.23454400001,10653.942130484033
2011-06-08,12337.52591000001,10609.335414117018
2011-06-09,12344.77725600001,10687.605675566681
2011-06-10,12349.459278000013,10538.194606500874
2011-06-11,12352.190336000012,10538.194606500874
2011-06-12,12358.661356000011,10538.194606500874
2011-06-13,12374.51512800001,10545.242091622438
2011-06-14,12408.898616000008,10678.236359933308
2011-06-15,12440.921056000007,10492.094991644872
2011-06-16,12440.921056000007,10510.50164382423
2011-06-17,12445.35241200001,10542.5062967285
2011-06-18,12445.35241200001,10542.5062967285
2011-06-19,12445.35241200001,10542.5062967285
2011-06-20,12449.643414000007,10599.38512886217
2011-06-21,12449.643414000007,10741.665724253111
2011-06-22,12449.643414000007,10672.183808815347
2011-06-23,12449.643414000007,10642.00301364611
2011-06-24,12454.934948000006,10517.217141567013
2011-06-25,12456.845968000007,10517.217141567013
2011-06-26,12456.845968000007,10517.217141567013
2011-06-27,12459.957160000007,10613.812078192686
2011-06-28,12459.957160000007,10751.201025284483
2011-06-29,12459.957160000007,10840.250504011814
2011-06-30,12461.679586000013,10949.94547687701
2011-07-01,12464.23095000001,11107.730927572587
2011-07-02,12467.282088000007,11107.730927572587
2011-07-03,12469.913292000007,11107.730927572587
