Date,Value,s&pValue
2010-12-01,10000.0,10000.0
2010-12-02,9963.148284,10128.185625147815
2010-12-03,10108.323545999998,10154.551691316252
2010-12-04,10071.911786,10154.551691316252
2010-12-05,10080.268015999998,10154.551691316252
2010-12-06,10123.136584,10141.368658232033
2010-12-07,10141.907309999999,10146.592277327172
2010-12-08,10103.343454000002,10184.15252841397
2010-12-09,10144.639324000002,10223.287663284498
2010-12-10,10144.639324000002,10284.644171043792
2010-12-11,10185.573374000003,10284.644171043792
2010-12-12,10225.389392000003,10284.644171043792
2010-12-13,10225.389392000003,10285.141132270615
2010-12-14,10225.389392000003,10294.51044790399
2010-12-15,10187.525606000003,10241.77730401716
2010-12-16,10206.481352000004,10305.123671492267
2010-12-17,10255.136486000003,10313.747043656123
2010-12-18,10255.136486000003,10313.747043656123
2010-12-19,10255.136486000003,10313.747043656123
2010-12-20,10217.532726000003,10340.030112979866
2010-12-21,10219.645098000005,10402.381554742762
2010-12-22,10261.953350000003,10437.536978473056
2010-12-23,10263.385486000003,10420.374242539992
2010-12-24,10263.385486000003,10420.374242539992
2010-12-25,10263.385486000003,10420.374242539992
2010-12-26,10263.385486000003,10420.374242539992
2010-12-27,10268.609502000003,10426.758772745341
2010-12-28,10231.137924000004,10434.801183579115
2010-12-29,10278.066098000003,10445.331410322699
2010-12-30,10243.419032000003,10429.577564483976
2010-12-31,10246.071258000004,10427.587713059555
2011-01-01,10285.427322000009,10427.587713059555
2011-01-02,10285.427322000009,10427.587713059555
2011-01-03,10285.427322000009,10545.574070709827
2011-01-04,10251.636040000009,10531.727079450831
2011-01-05,10292.131990000009,10584.461234887614
2011-01-06,10296.796130000008,10561.990871464763
2011-01-07,10296.796130000008,10542.5062967285
2011-01-08,10296.796130000008,10542.5062967285
2011-01-09,10259.012352000009,10542.5062967285
2011-01-10,10298.808372000009,10527.99635884468
2011-01-11,10298.808372000009,10567.214482268511
2011-01-12,10487.141084000006,10662.399517249889
2011-01-13,10487.141084000006,10644.158858759922
2011-01-14,10487.141084000006,10722.761099296973
2011-01-15,10487.141084000006,10722.761099296973
2011-01-16,10487.141084000006,10722.761099296973
2011-01-17,10487.141084000006,10722.761099296973
2011-01-18,10448.557226000006,10737.520027714876
2011-01-19,10489.673114000008,10628.902977406586
2011-01-20,10456.998154000008,10615.138982992285
2011-01-21,10503.638644000006,10640.759105691204
2011-01-22,10503.638644000006,10640.759105691204
2011-01-23,10530.294292000006,10640.759105691204
