hub,date,year,month,day,hour,price,predicted_price
HB_BUSAVG,2015-01-01,2015,1,1,1.0,22.4675,
HB_BUSAVG,2015-01-01,2015,1,1,2.0,22.305,
HB_BUSAVG,2015-01-01,2015,1,1,3.0,22.2025,
HB_BUSAVG,2015-01-01,2015,1,1,4.0,22.127499999999998,
HB_BUSAVG,2015-01-01,2015,1,1,5.0,22.155,
HB_BUSAVG,2015-01-01,2015,1,1,6.0,22.61,
HB_BUSAVG,2015-01-01,2015,1,1,7.0,23.38,
HB_BUSAVG,2015-01-01,2015,1,1,8.0,23.777500000000003,
HB_BUSAVG,2015-01-01,2015,1,1,9.0,24.46,
HB_BUSAVG,2015-01-01,2015,1,1,10.0,26.9925,
HB_BUSAVG,2015-01-01,2015,1,1,11.0,28.0325,
HB_BUSAVG,2015-01-01,2015,1,1,12.0,28.490000000000002,
HB_BUSAVG,2015-01-01,2015,1,1,13.0,27.58,
HB_BUSAVG,2015-01-01,2015,1,1,14.0,26.265,
HB_BUSAVG,2015-01-01,2015,1,1,15.0,24.915000000000003,
HB_BUSAVG,2015-01-01,2015,1,1,16.0,24.674999999999997,
HB_BUSAVG,2015-01-01,2015,1,1,17.0,25.5875,
HB_BUSAVG,2015-01-01,2015,1,1,18.0,29.37,
HB_BUSAVG,2015-01-01,2015,1,1,19.0,28.655,
HB_BUSAVG,2015-01-01,2015,1,1,20.0,27.605000000000004,
HB_BUSAVG,2015-01-01,2015,1,1,21.0,27.455,
HB_BUSAVG,2015-01-01,2015,1,1,22.0,25.4375,
HB_BUSAVG,2015-01-01,2015,1,1,23.0,24.32,23.272104263305664
HB_BUSAVG,2015-01-01,2015,1,1,24.0,22.86,21.66180419921875
HB_BUSAVG,2015-01-02,2015,1,2,1.0,21.97,21.31780433654785
HB_BUSAVG,2015-01-02,2015,1,2,2.0,21.32,21.197208404541016
HB_BUSAVG,2015-01-02,2015,1,2,3.0,20.9375,21.247705459594727
